rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.7478178279569,81.30384974507182,002179,中航光电,bottom_area,2023-06-05,41.35,2023-06-05,40.93,1.0261421939897426,3.322746151966771,28.743036211699163,False,-1.4538,0.3809,1,1,1,100.0,46.79276315789475,46.79276315789475,18.97385780601026,1.0261421939897426,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
2,93.48595665611853,78.38939271146175,002795,永和智控,bottom_area,2023-06-05,8.9,2023-06-05,8.87,0.33821871476889676,3.0439684329199705,32.803030303030305,False,-0.5587,2.2889,3,3,3,100.0,29.196405274918448,31.302270011947446,19.661781285231104,0.33821871476889676,历史3/3次成功; 当前距低点0.34%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
3,91.3209949454083,80.28637472283813,000890,法尔胜,bottom_area,2023-06-05,4.22,2023-05-19,4.1,2.926829268292686,7.56097560975611,27.689594356261026,True,0.716,1.1851,1,1,1,100.0,32.954545454545446,32.954545454545446,17.073170731707314,2.926829268292686,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
4,87.45717486805773,75.39698432514913,688289,圣湘生物,bottom_area,2023-06-05,18.13,2023-05-29,17.8,1.8539325842696532,3.8202247191011214,27.789046653144013,False,-0.7663,0.4729,1,1,1,100.0,25.182530200451346,25.182530200451346,18.14606741573035,1.8539325842696532,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
5,86.84414038719754,75.29954214805306,600935,华塑股份,bottom_area,2023-06-05,3.77,2023-05-31,3.69,2.168021680216804,3.2520325203252063,27.788649706457928,False,-0.7895,0.1984,1,1,1,100.0,28.50877192982458,28.50877192982458,17.831978319783197,2.168021680216804,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
6,85.46760429732262,74.51924320615184,300753,爱朋医疗,bottom_area,2023-06-05,19.48,2023-06-05,19.01,2.472382956338763,4.576538663861112,30.519005847953206,False,-1.3671,28.2043,1,1,1,100.0,28.044496487119456,28.044496487119456,17.527617043661238,2.472382956338763,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
7,85.34809142461754,75.076040901749,300363,博腾股份,bottom_area,2023-06-05,31.34,2023-05-30,30.44,2.9566360052562373,5.946123521681993,27.01989930472309,False,-2.1237,1.1912,1,1,1,100.0,36.97403760071621,36.97403760071621,17.043363994743764,2.9566360052562373,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
8,84.38050885322407,75.69320190352202,601111,中国国航,bottom_area,2023-06-05,8.26,2023-06-02,7.94,4.030226700251881,4.408060453400488,29.920564872021178,False,1.3497,0.5526,1,1,1,100.0,30.97913322632423,30.97913322632423,15.96977329974812,4.030226700251881,历史1/1次成功; 当前距低点4.03%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
9,83.66198805678701,73.06948984903696,002041,登海种业,bottom_area,2023-06-05,15.59,2023-05-30,15.2,2.565789473684214,3.552631578947375,28.30188679245283,False,-0.574,0.2818,1,1,1,100.0,21.395106715252467,21.395106715252467,17.434210526315784,2.565789473684214,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
10,82.19072046810778,74.00898787207085,688075,安旭生物,bottom_area,2023-06-05,67.39,2023-05-10,64.65,4.2382057231245085,7.764887857695276,30.37906525953047,True,-0.8533,1.6155,4,5,4,80.0,31.086542584917854,40.134529147982065,15.761794276875493,4.2382057231245085,历史4/5次成功; 当前距低点4.24%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
11,81.92172161248864,74.41782111901836,300762,上海瀚讯,bottom_area,2023-06-05,11.98,2023-05-10,11.44,4.720279720279728,6.6433566433566416,27.50316856780735,False,0.8418,1.0527,1,1,1,100.0,32.580961727183514,32.580961727183514,15.279720279720275,4.720279720279728,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
