rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
26,76.39661598027305,74.94577073914213,002682,龙洲股份,bottom_area,2024-09-11,3.43,2024-08-28,3.33,3.003003003003006,6.606606606606599,30.76923076923076,False,-1.1527,1.2422,2,2,2,100.0,20.175363365532185,26.929674099485425,4.9969969969969945,3.003003003003006,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
27,76.36843996586563,71.75849996792611,000966,长源电力,bottom_area,2024-09-11,3.96,2024-09-10,3.93,0.7633587786259493,2.5445292620865163,27.222222222222225,False,-1.2469,0.2182,2,2,2,100.0,15.424505285985354,20.94117647058823,7.236641221374052,0.7633587786259493,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
28,76.32374110785086,76.19746282670677,000532,华金资本,bottom_area,2024-09-11,10.62,2024-09-04,10.22,3.913894324853215,7.632093933463789,27.926657263751757,True,-0.7477,2.5078,2,2,2,100.0,28.877106921355356,32.044198895027606,4.0861056751467855,3.913894324853215,历史2/2次成功; 当前距低点3.91%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
29,76.1867773235349,75.96393430768956,301509,金凯生科,bottom_area,2024-09-11,26.18,2024-08-28,25.21,3.8476794922649695,6.902023006743349,29.6792189679219,False,0.4219,2.1044,2,2,2,100.0,13.530341666955287,15.05054819877544,4.1523205077350305,3.8476794922649695,历史2/2次成功; 当前距低点3.85%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
30,75.33197359808756,70.162236732116,601808,中海油服,bottom_area,2024-09-11,13.17,2024-09-11,13.13,0.30464584920029814,1.5232292460015178,29.9359658484525,False,-1.8629,0.1963,1,1,1,100.0,17.88617886178861,17.88617886178861,7.695354150799702,0.30464584920029814,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
31,75.33038114888163,72.6418252018252,601117,中国化学,bottom_area,2024-09-11,6.29,2024-09-10,6.16,2.1103896103896087,3.2467532467532494,28.78612716763006,False,-0.317,0.364,1,1,1,100.0,13.513513513513523,13.513513513513523,5.889610389610392,2.1103896103896087,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
32,75.22088833101473,70.81464382626909,002840,华统股份,bottom_area,2024-09-11,10.53,2024-09-11,10.44,0.86206896551724,2.4904214559386952,27.04402515723271,False,-1.4045,1.8701,2,2,2,100.0,11.560005740045224,14.46540880503144,7.13793103448276,0.86206896551724,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
33,74.59647164878349,69.79742694226657,000898,鞍钢股份,bottom_area,2024-09-11,1.85,2024-09-11,1.84,0.5434782608695656,3.2608695652173822,29.230769230769234,False,-2.6316,0.4071,1,1,1,100.0,18.852459016393443,18.852459016393443,7.456521739130434,0.5434782608695656,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
34,74.09746564396411,69.57508511170339,000539,粤电力A,bottom_area,2024-09-11,4.16,2024-08-26,4.13,0.7263922518159867,6.7796610169491585,31.395348837209298,False,-1.1876,0.2796,1,1,1,100.0,19.89924433249369,19.89924433249369,7.273607748184014,0.7263922518159867,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
35,73.70483641091243,72.709618676006,603291,联合水务,bottom_area,2024-09-11,9.41,2024-08-28,9.11,3.2930845225027525,5.92755214050495,29.65250965250965,False,-0.4233,0.5578,2,2,2,100.0,11.708878426410102,12.102772143340088,4.7069154774972475,3.2930845225027525,历史2/2次成功; 当前距低点3.29%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
36,73.33622881981913,72.89656815272446,301518,长华化学,bottom_area,2024-09-11,14.06,2024-08-28,13.56,3.687315634218289,6.12094395280236,28.21598729486501,False,0.6442,1.3158,1,1,1,100.0,11.740041928721173,11.740041928721173,4.3126843657817115,3.687315634218289,历史1/1次成功; 当前距低点3.69%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
37,73.19859709111914,68.38718350077121,002140,东华科技,bottom_area,2024-09-11,6.47,2024-09-10,6.44,0.46583850931676024,2.018633540372669,28.44444444444444,False,-1.2214,0.4344,1,1,1,100.0,10.318791946308728,10.318791946308728,7.53416149068324,0.46583850931676024,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
38,72.86328080892261,68.09959873328057,601866,中远海发,bottom_area,2024-09-11,2.07,2024-09-11,2.06,0.4854368932038731,2.427184466019409,27.97202797202797,False,-1.8957,0.475,1,1,1,100.0,9.012875536480685,9.012875536480685,7.5145631067961265,0.4854368932038731,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
39,72.77221361796549,68.59650022496098,001286,陕西能源,bottom_area,2024-09-11,8.7,2024-09-11,8.62,0.928074245939676,3.8283062645011614,31.749802058590664,False,-2.9018,1.4672,1,1,1,100.0,17.110266159695826,17.110266159695826,7.071925754060324,0.928074245939676,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
40,72.51246332530818,71.32170101274752,600166,福田汽车,bottom_area,2024-09-11,2.3,2024-08-28,2.23,3.1390134529147913,7.174887892376688,27.5974025974026,True,-0.4329,0.5475,1,1,1,100.0,9.831460674157306,9.831460674157306,4.860986547085209,3.1390134529147913,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-0.43%; 状态bottom_area; 底部已确认
41,71.57536542544312,67.44368049426303,002302,西部建设,bottom_area,2024-09-11,5.55,2024-09-11,5.5,0.909090909090906,2.363636363636362,32.26600985221674,False,-1.5957,2.7866,1,1,1,100.0,10.679611650485443,10.679611650485443,7.090909090909095,0.909090909090906,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
42,70.37492832359936,66.01914812379147,000883,湖北能源,bottom_area,2024-09-11,4.45,2024-09-11,4.42,0.6787330316742138,4.072398190045242,28.70967741935484,False,-3.0501,0.4588,1,1,1,100.0,10.412147505422983,10.412147505422983,7.321266968325786,0.6787330316742138,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
43,70.25765980035784,71.52309346494512,688187,时代电气,bottom_area,2024-09-11,43.86,2024-09-10,41.8,4.928229665071776,5.143540669856473,27.114210985178733,False,3.6145,1.9914,1,1,1,100.0,19.566973662950396,19.566973662950396,3.071770334928224,4.928229665071776,历史1/1次成功; 当前距低点4.93%; 最新日涨幅3.61%; 状态bottom_area; 底部未确认
44,65.62777663514845,66.49829983296176,300478,杭州高新,confirmed_rebound,2024-09-11,7.15,2024-08-28,6.83,4.685212298682289,8.052708638360173,28.10526315789474,True,-0.2789,1.7036,1,1,1,100.0,13.067655236329937,13.067655236329937,3.314787701317712,4.685212298682289,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-0.28%; 状态confirmed_rebound; 底部已确认
45,59.790034251819826,56.20589050920392,000922,佳电股份,bottom_area,2024-09-11,8.97,2024-09-11,8.9,0.7865168539325874,1.7977528089887655,29.08366533864542,False,-0.3333,0.7306,1,2,1,50.0,40.42553191489362,40.42553191489362,7.2134831460674125,0.7865168539325874,历史1/2次成功; 当前距低点0.79%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
46,54.95450953014936,55.07298586949887,000625,长安汽车,confirmed_rebound,2024-09-11,11.9,2024-08-29,11.43,4.111986001749787,8.136482939632543,29.138251704897705,True,0.0,0.7725,1,2,1,50.0,13.808139534883724,13.808139534883724,3.888013998250213,4.111986001749787,历史1/2次成功; 当前距低点4.11%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
