rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.45400000000001,80.05,000957,中通客车,confirmed_rebound,2024-02-05,6.02,2024-02-05,6.02,0.0,11.129568106312307,29.009433962264158,False,-10.0149,2.7516,4,4,4,100.0,101.48868676450815,354.54545454545456,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态confirmed_rebound; 底部未确认
2,85.22801592994182,80.99817012089248,603236,移远通信,confirmed_rebound,2024-02-05,30.7,2024-02-05,30.29,1.3535820402773198,10.927698910531536,30.046189376443415,False,-8.7938,3.0424,4,4,4,100.0,19.593210606047055,39.389337383102855,6.6464179597226805,1.3535820402773198,历史4/4次成功; 当前距低点1.35%; 最新日涨幅-8.79%; 状态confirmed_rebound; 底部未确认
3,85.00228382510882,80.97758575384698,603005,晶方科技,confirmed_rebound,2024-02-05,13.73,2024-02-05,13.53,1.4781966001478277,11.01256467110126,28.639240506329124,False,-8.6494,5.0207,4,4,4,100.0,21.010075280559192,31.53503893214682,6.521803399852172,1.4781966001478277,历史4/4次成功; 当前距低点1.48%; 最新日涨幅-8.65%; 状态confirmed_rebound; 底部未确认
4,84.6750287300226,78.40280437965055,000815,美利云,bottom_area,2024-02-05,6.8,2024-02-05,6.8,0.0,0.0,27.65957446808511,False,-10.0529,0.464,4,4,4,100.0,30.929055804572812,55.703211517165016,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
5,84.5999793672402,81.0189688342562,688248,南网科技,confirmed_rebound,2024-02-05,17.43,2024-02-05,17.13,1.7513134851138394,13.076474022183316,29.73748974569319,False,-9.1714,1.9405,4,4,4,100.0,24.58044935653627,49.406593406593416,6.248686514886161,1.7513134851138394,历史4/4次成功; 当前距低点1.75%; 最新日涨幅-9.17%; 状态confirmed_rebound; 底部未确认
6,84.51369762954837,80.20298201374185,603033,三维股份,confirmed_rebound,2024-02-05,10.3,2024-02-05,10.17,1.2782694198623479,11.799410029498517,29.619377162629757,False,-8.8496,1.265,4,4,4,100.0,14.39481876896768,24.922480620155024,6.721730580137653,1.2782694198623479,历史4/4次成功; 当前距低点1.28%; 最新日涨幅-8.85%; 状态confirmed_rebound; 底部未确认
7,84.11543891362406,80.81116035681218,688302,海创药业,confirmed_rebound,2024-02-05,29.25,2024-02-05,28.7,1.9163763066202117,19.721254355400696,31.909845788849346,False,-13.8693,1.3354,4,4,4,100.0,25.486550193044376,40.24920312952768,6.0836236933797885,1.9163763066202117,历史4/4次成功; 当前距低点1.92%; 最新日涨幅-13.87%; 状态confirmed_rebound; 底部未确认
8,83.99942387652106,79.99533808765833,605133,嵘泰股份,confirmed_rebound,2024-02-05,16.67,2024-02-05,16.43,1.4607425441266098,9.86001217285454,27.171985815602834,False,-8.3562,5.7175,2,2,2,100.0,48.8485542379945,60.01483679525222,6.53925745587339,1.4607425441266098,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-8.36%; 状态confirmed_rebound; 底部未确认
9,83.92764064394039,79.77301898409746,300589,江龙船艇,confirmed_rebound,2024-02-05,8.94,2024-02-05,8.82,1.360544217687066,12.925170068027217,28.17589576547231,False,-11.1332,3.2876,3,3,3,100.0,29.758386023784738,44.07616361071933,6.639455782312933,1.360544217687066,历史3/3次成功; 当前距低点1.36%; 最新日涨幅-11.13%; 状态confirmed_rebound; 底部未确认
10,83.80142094024302,80.47622724084029,688167,炬光科技,confirmed_rebound,2024-02-05,63.99,2024-02-05,62.8,1.894904458598734,17.484076433121025,31.70943888647238,False,-13.6204,7.1056,4,4,4,100.0,23.422631217448355,39.13715105373497,6.105095541401266,1.894904458598734,历史4/4次成功; 当前距低点1.89%; 最新日涨幅-13.62%; 状态confirmed_rebound; 底部未确认
11,83.56610042062954,77.59808154849011,600343,航天动力,confirmed_rebound,2024-02-05,6.73,2024-02-05,6.72,0.14880952380953386,11.160714285714286,29.48583420776495,False,-9.9063,2.2504,4,4,4,100.0,26.383694961160476,55.72413793103447,7.851190476190466,0.14880952380953386,历史4/4次成功; 当前距低点0.15%; 最新日涨幅-9.91%; 状态confirmed_rebound; 底部未确认
12,83.10600000000001,76.95,603273,天元智能,confirmed_rebound,2024-02-05,15.23,2024-02-05,15.23,0.0,11.030860144451736,29.81566820276497,False,-9.9882,9.5077,3,3,3,100.0,73.40045465785695,201.34228187919464,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态confirmed_rebound; 底部未确认
13,83.00958612061585,79.63673612022966,300342,天银机电,confirmed_rebound,2024-02-05,8.84,2024-02-05,8.68,1.8433179723502322,16.244239631336406,31.974921630094045,False,-12.6482,6.5637,4,4,4,100.0,18.276887619291326,26.68539325842696,6.156682027649768,1.8433179723502322,历史4/4次成功; 当前距低点1.84%; 最新日涨幅-12.65%; 状态confirmed_rebound; 底部未确认
14,82.69842042325871,79.20649660184776,300409,道氏技术,confirmed_rebound,2024-02-05,6.95,2024-02-05,6.83,1.756954612005858,17.276720351390917,31.356783919597987,False,-13.5572,3.2784,3,3,3,100.0,31.571790952801642,50.03460207612457,6.243045387994142,1.756954612005858,历史3/3次成功; 当前距低点1.76%; 最新日涨幅-13.56%; 状态confirmed_rebound; 底部未确认
15,82.34543132286339,79.32270119863736,688322,奥比中光,confirmed_rebound,2024-02-05,19.86,2024-02-05,19.46,2.055498458376149,15.00513874614593,32.757429163787144,False,-11.9681,2.5824,5,5,5,100.0,19.18944991255361,28.749462827675128,5.9445015416238505,2.055498458376149,历史5/5次成功; 当前距低点2.06%; 最新日涨幅-11.97%; 状态confirmed_rebound; 底部未确认
16,82.33798462495797,76.23887465273886,603327,福蓉科技,confirmed_rebound,2024-02-05,8.2,2024-02-05,8.2,0.0,10.975609756097567,27.30496453900709,False,-9.989,0.8471,4,4,4,100.0,29.510078778165898,52.609776304888165,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态confirmed_rebound; 底部未确认
17,82.31870251640726,76.22102084852523,000889,中嘉博创,bottom_area,2024-02-05,1.62,2024-02-05,1.62,0.0,0.0,31.93277310924369,False,-4.7059,0.1943,5,5,5,100.0,19.199036820028066,34.408602150537625,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
18,82.30359914615701,76.20703624644167,002584,西陇科学,confirmed_rebound,2024-02-05,6.16,2024-02-05,6.16,0.0,11.038961038961034,31.40311804008909,False,-9.9415,9.4307,4,4,4,100.0,29.338904550761658,68.08510638297875,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态confirmed_rebound; 底部未确认
