rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.97613905990497,77.67138543227088,002130,沃尔核材,bottom_area,2024-09-20,10.73,2024-09-19,10.59,1.3220018885741318,3.3994334277620344,27.416038382453735,False,-0.6481,3.4216,1,1,1,100.0,30.89005235602093,30.89005235602093,18.677998111425868,1.3220018885741318,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
2,88.45748737824108,76.3836323970548,002674,兴业科技,bottom_area,2024-09-20,7.87,2024-09-18,7.72,1.9430051813471552,3.367875647668403,32.16168717047452,False,-0.8816,0.3911,1,1,1,100.0,31.578947368421055,31.578947368421055,18.056994818652846,1.9430051813471552,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
3,87.52016198004355,76.58345990671083,301386,未来电器,bottom_area,2024-09-20,17.31,2024-09-18,16.86,2.6690391459074694,4.626334519572961,28.224776500638566,False,-0.9725,0.8671,2,2,2,100.0,24.88639332999926,27.880184331797242,17.33096085409253,2.6690391459074694,历史2/2次成功; 当前距低点2.67%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
4,85.75453192531432,72.21004829105915,301456,盘古智能,bottom_area,2024-09-20,17.7,2024-09-20,17.6,0.568181818181806,5.113636363636355,29.599999999999994,False,-4.3243,3.2586,1,1,1,100.0,42.34141309953585,42.34141309953585,19.431818181818194,0.568181818181806,历史1/1次成功; 当前距低点0.57%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
5,85.60208672421633,74.7470946368296,300761,立华股份,bottom_area,2024-09-20,17.27,2024-09-20,16.84,2.553444180522564,3.50356294536817,32.369477911646584,False,-1.0882,0.7765,1,1,1,100.0,30.263157894736853,30.263157894736853,17.44655581947744,2.553444180522564,历史1/1次成功; 当前距低点2.55%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
6,85.06893267332532,73.89855295116972,603079,圣达生物,bottom_area,2024-09-20,10.36,2024-09-18,10.13,2.270483711747272,4.6396841066140055,30.616438356164377,False,-1.8009,0.8753,1,1,1,100.0,22.232558139534888,22.232558139534888,17.72951628825273,2.270483711747272,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
7,81.05418439065797,71.63204414429252,688009,中国通号,bottom_area,2024-09-20,4.82,2024-09-18,4.67,3.211991434689515,4.282655246252681,28.153846153846157,False,-0.6186,0.2146,1,1,1,100.0,21.588089330024815,21.588089330024815,16.788008565310484,3.211991434689515,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
8,75.08393438656742,65.94197830357217,688358,祥生医疗,bottom_area,2024-09-20,19.36,2024-09-18,18.82,2.8692879914984015,5.5791710945802375,29.274708756106726,False,-1.7259,0.4685,2,3,2,66.66666666666666,25.684345470547626,29.46360153256704,17.1307120085016,2.8692879914984015,历史2/3次成功; 当前距低点2.87%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
9,73.91801817758596,65.11642653581038,300521,爱司凯,bottom_area,2024-09-20,10.18,2024-09-18,9.88,3.0364372469635517,4.048582995951403,28.920863309352512,False,-0.3914,0.7742,3,6,3,50.0,42.739265907996135,73.27586206896554,16.96356275303645,3.0364372469635517,历史3/6次成功; 当前距低点3.04%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
10,73.77643965517235,62.78845928099776,000922,佳电股份,bottom_area,2024-09-20,8.8,2024-09-18,8.7,1.1494252873563382,3.6781609195402334,30.6772908366534,False,-0.6772,0.7713,1,2,1,50.0,40.42553191489362,40.42553191489362,18.850574712643663,1.1494252873563382,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
11,70.88101390432409,62.95979338743927,002806,华锋股份,bottom_area,2024-09-20,8.6,2024-09-18,8.31,3.4897713598074502,7.701564380264727,32.05233033524121,True,-0.6928,4.0274,2,4,2,50.0,27.507914450538966,34.66407010710809,16.51022864019255,3.4897713598074502,历史2/4次成功; 当前距低点3.49%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
12,68.76780837023304,61.34829255691399,301326,捷邦科技,bottom_area,2024-09-20,30.61,2024-09-18,29.51,3.7275499830565835,6.743476787529645,30.054515287982923,False,0.7903,7.2215,1,2,1,50.0,41.81240063593006,41.81240063593006,16.272450016943417,3.7275499830565835,历史1/2次成功; 当前距低点3.73%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
13,67.77334145896165,59.40697954718242,000591,太阳能,bottom_area,2024-09-20,4.09,2024-08-23,3.98,2.763819095477384,7.035175879396981,28.158844765342963,True,-0.4866,0.35,1,2,1,50.0,32.84132841328414,32.84132841328414,17.236180904522616,2.763819095477384,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
14,64.89399181377125,58.2776318174297,603306,华懋科技,bottom_area,2024-09-20,17.81,2024-09-19,17.11,4.091174751607244,8.12390414962011,31.367829923786605,False,0.6215,6.6565,1,3,1,33.33333333333333,49.205252246026255,49.205252246026255,15.908825248392757,4.091174751607244,历史1/3次成功; 当前距低点4.09%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
15,63.28567451146423,56.028348845225786,300455,航天智装,bottom_area,2024-09-20,9.99,2024-09-18,9.67,3.3092037228541913,5.3774560496380515,29.82583454281567,False,-1.382,1.0191,1,3,1,33.33333333333333,53.103448275862064,53.103448275862064,16.690796277145807,3.3092037228541913,历史1/3次成功; 当前距低点3.31%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
