rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.27025508715883,84.58806722689076,301260,格力博,bottom_area,2025-06-17,19.36,2025-06-16,19.04,1.6806722689075646,3.046218487394968,27.272727272727277,False,0.207,3.0745,1,1,1,100.0,58.71313672922254,58.71313672922254,13.319327731092434,1.6806722689075646,历史1/1次成功; 当前距低点1.68%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,92.6210165326866,82.56912326557334,002041,登海种业,bottom_area,2025-06-17,9.89,2025-06-03,9.76,1.3319672131147622,6.249999999999995,28.023598820059004,False,0.3043,0.6697,2,2,2,100.0,18.2043468358871,21.395106715252467,13.668032786885236,1.3319672131147622,历史2/2次成功; 当前距低点1.33%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
3,91.18766664285148,83.185661039503,603198,迎驾贡酒,bottom_area,2025-06-17,38.76,2025-06-16,37.79,2.5668166181529473,3.2283672929346356,29.78446674098848,False,0.3625,0.7157,2,2,2,100.0,36.655929725224325,39.66017405719024,12.433183381847051,2.5668166181529473,历史2/2次成功; 当前距低点2.57%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
4,88.74336560113791,78.85154821495513,002909,集泰股份,bottom_area,2025-06-17,6.13,2025-06-16,6.06,1.15511551155116,2.640264026402643,27.598566308243726,False,-0.487,3.6163,1,1,1,100.0,35.18930957683742,35.18930957683742,13.84488448844884,1.15511551155116,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,87.83228898738012,79.43882468168462,001230,劲旅环境,bottom_area,2025-06-17,20.85,2025-06-13,20.42,2.105778648383936,5.484818805093033,27.356812522234076,False,-1.2316,6.9859,1,1,1,100.0,84.69119579500656,84.69119579500656,12.894221351616064,2.105778648383936,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
6,86.86425010885043,75.86244020423209,605377,华旺科技,bottom_area,2025-06-17,8.64,2025-06-17,8.62,0.2320185614849345,0.8120649651972192,28.64238410596027,False,0.0,0.4413,1,1,1,100.0,25.16904583020285,25.16904583020285,14.767981438515065,0.2320185614849345,历史1/1次成功; 当前距低点0.23%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,85.78821878422774,75.44818181818178,605005,合兴股份,bottom_area,2025-06-17,18.26,2025-06-17,18.15,0.6060606060606225,2.3691460055096405,31.79255918827509,False,-1.4039,1.1414,1,1,1,100.0,96.96521095484826,96.96521095484826,14.393939393939375,0.6060606060606225,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
8,85.58052030721966,76.6937806451613,002471,中超控股,bottom_area,2025-06-17,5.04,2025-06-16,4.96,1.6129032258064528,6.854838709677416,27.272727272727277,False,-2.3256,15.0656,1,1,1,100.0,29.2,29.2,13.387096774193546,1.6129032258064528,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
9,85.47710994503609,76.48515864332607,603577,汇金通,bottom_area,2025-06-17,9.28,2025-06-16,9.14,1.5317286652078643,2.297592997811806,28.926905132192836,False,-0.6424,3.2011,1,1,1,100.0,27.083333333333325,27.083333333333325,13.468271334792133,1.5317286652078643,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
10,85.41297911605126,78.11535996173161,600770,综艺股份,bottom_area,2025-06-17,5.32,2025-06-13,5.18,2.702702702702714,4.247104247104259,31.390728476821195,False,0.0,2.2092,1,1,1,100.0,27.72861356932153,27.72861356932153,12.297297297297286,2.702702702702714,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,84.20322335635643,73.84489032442367,000811,冰轮环境,bottom_area,2025-06-17,8.84,2025-06-17,8.8,0.4545454545454448,2.045454545454542,31.7300232738557,False,-1.2291,1.7302,4,5,4,80.0,32.856204090254195,47.451868629671566,14.545454545454556,0.4545454545454448,历史4/5次成功; 当前距低点0.45%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
