rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.06494726716423,81.8909433962264,603004,鼎龙科技,bottom_area,2024-09-10,16.28,2024-09-10,15.9,2.389937106918244,3.773584905660375,28.184281842818425,False,-0.489,11.8217,2,2,2,100.0,52.20363732099522,55.7168784029038,12.610062893081755,2.389937106918244,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
2,89.399273269168,80.59213980898191,002674,兴业科技,bottom_area,2024-09-10,7.92,2024-08-21,7.77,1.9305019305019353,6.30630630630631,31.72231985940247,False,0.7634,0.2759,1,1,1,100.0,31.578947368421055,31.578947368421055,13.069498069498064,1.9305019305019353,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
3,89.19430422106421,79.23087300986168,603027,千禾味业,bottom_area,2024-09-10,10.64,2024-09-10,10.52,1.1406844106463974,2.7566539923954463,27.04576976421637,False,-1.4815,1.265,1,1,1,100.0,37.051792828685265,37.051792828685265,13.859315589353601,1.1406844106463974,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
4,85.06867575291925,75.54914607455214,001286,陕西能源,bottom_area,2024-09-10,8.96,2024-09-09,8.86,1.1286681715575781,1.8058690744921009,29.849564528899453,False,-0.3337,0.835,1,1,1,100.0,17.110266159695826,17.110266159695826,13.87133182844242,1.1286681715575781,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
5,85.00433669771796,75.68854801039969,688187,时代电气,bottom_area,2024-09-10,42.33,2024-09-10,41.8,1.2679425837320604,3.6842105263158045,27.114210985178733,False,-0.8665,1.2054,1,1,1,100.0,19.566973662950396,19.566973662950396,13.73205741626794,1.2679425837320604,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
6,84.20599071207432,76.00894736842106,300761,立华股份,bottom_area,2024-09-10,18.36,2024-09-10,18.0,1.999999999999997,3.4999999999999947,27.710843373493972,False,-1.1841,0.4921,1,1,1,100.0,30.263157894736853,30.263157894736853,13.000000000000004,1.999999999999997,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
7,83.46824080965983,74.788803366354,000898,鞍钢股份,bottom_area,2024-09-10,1.9,2024-09-10,1.87,1.6042780748662995,3.208556149732611,28.076923076923077,False,-1.0417,0.3173,1,1,1,100.0,18.852459016393443,18.852459016393443,13.3957219251337,1.6042780748662995,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
8,83.15823646816544,76.45256091501223,603079,圣达生物,bottom_area,2024-09-10,10.7,2024-08-26,10.39,2.983638113570729,6.929740134744936,28.83561643835616,False,0.0935,1.0123,1,1,1,100.0,22.232558139534888,22.232558139534888,12.016361886429271,2.983638113570729,历史1/1次成功; 当前距低点2.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
9,83.01220311875248,74.46682926829267,601808,中海油服,bottom_area,2024-09-10,13.42,2024-09-10,13.2,1.6666666666666714,2.8787878787878847,29.5624332977588,False,-0.223,0.1582,1,1,1,100.0,17.88617886178861,17.88617886178861,13.333333333333327,1.6666666666666714,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
10,82.80147772292426,78.5927270145737,000532,华金资本,bottom_area,2024-09-10,10.7,2024-09-04,10.22,4.696673189823861,7.632093933463789,27.926657263751757,True,0.0,2.6206,2,2,2,100.0,28.877106921355356,32.044198895027606,10.303326810176138,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
11,82.32605182271996,74.22479455480267,000539,粤电力A,bottom_area,2024-09-10,4.21,2024-08-26,4.13,1.9370460048426168,6.7796610169491585,31.395348837209298,False,-0.237,0.4534,1,1,1,100.0,19.89924433249369,19.89924433249369,13.062953995157384,1.9370460048426168,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
