rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.11732513984488,82.60804944548838,603839,安正时尚,bottom_area,2025-08-18,7.55,2025-08-08,7.47,1.070950468540831,5.488621151271756,28.03468208092486,False,0.2656,1.941,1,1,1,100.0,31.88073394495412,31.88073394495412,13.929049531459167,1.070950468540831,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
2,91.35764525740582,81.67749271925679,605033,美邦股份,bottom_area,2025-08-18,21.17,2025-08-08,20.86,1.486097794822638,3.4515819750719023,32.926045016077175,False,0.6657,1.9176,1,1,1,100.0,31.96664350243223,31.96664350243223,13.513902205177361,1.486097794822638,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
3,88.79890409888601,80.83740407106954,003002,壶化股份,bottom_area,2025-08-18,25.46,2025-08-15,24.85,2.4547283702213254,2.857142857142846,28.199942213233165,False,0.3152,2.5294,1,1,1,100.0,39.32357395254923,39.32357395254923,12.545271629778673,2.4547283702213254,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
4,88.68251272089144,79.25996315385133,603511,爱慕股份,bottom_area,2025-08-18,15.2,2025-08-15,14.98,1.4686248331108067,2.2696929238985306,29.999999999999993,False,0.1978,0.8044,1,1,1,100.0,18.754988028731056,18.754988028731056,13.531375166889193,1.4686248331108067,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
5,87.48947201532533,79.38648811678127,600620,天宸股份,bottom_area,2025-08-18,6.28,2025-08-04,6.14,2.2801302931596186,4.560260586319222,27.078384798099762,False,0.641,1.3304,1,1,1,100.0,29.38271604938273,29.38271604938273,12.719869706840381,2.2801302931596186,历史1/1次成功; 当前距低点2.28%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
6,84.98079107042402,78.13333257348019,300069,金利华电,bottom_area,2025-08-18,21.72,2025-08-15,21.09,2.9871977240398246,3.129445234708393,31.45921351966201,False,1.4953,11.0811,1,1,1,100.0,31.312598840274124,31.312598840274124,12.012802275960174,2.9871977240398246,历史1/1次成功; 当前距低点2.99%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
7,81.4328857692429,77.02849539500068,002041,登海种业,bottom_area,2025-08-18,9.96,2025-06-23,9.53,4.512067156348389,7.345225603357829,29.719764011799416,True,0.5045,1.1063,2,2,2,100.0,18.2043468358871,21.395106715252467,10.48793284365161,4.512067156348389,历史2/2次成功; 当前距低点4.51%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
8,79.94634927626134,73.5974760916733,002795,永和智控,bottom_area,2025-08-18,5.06,2025-08-14,4.91,3.0549898167006,5.702647657841146,28.84057971014493,False,2.4291,7.499,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,11.9450101832994,3.0549898167006,历史4/6次成功; 当前距低点3.05%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
9,70.34939596142006,63.11333601501743,603022,新通联,bottom_area,2025-08-18,10.34,2025-07-24,10.17,1.6715830875122901,3.539823008849552,32.33532934131736,False,0.291,3.3102,1,2,1,50.0,26.099706744868023,26.099706744868023,13.32841691248771,1.6715830875122901,历史1/2次成功; 当前距低点1.67%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
10,68.50534057515283,62.37299557728952,000637,茂化实华,bottom_area,2025-08-18,4.16,2025-07-07,4.06,2.4630541871921316,7.142857142857144,27.370304114490168,True,0.241,3.1458,1,2,1,50.0,22.627737226277358,22.627737226277358,12.536945812807868,2.4630541871921316,历史1/2次成功; 当前距低点2.46%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
11,63.49693299344723,57.8224691862445,002775,文科股份,bottom_area,2025-08-18,4.56,2025-08-14,4.45,2.471910112359538,4.044943820224713,30.46875,False,0.0,8.0603,1,3,1,33.33333333333333,26.909090909090917,26.909090909090917,12.528089887640462,2.471910112359538,历史1/3次成功; 当前距低点2.47%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,58.78862612433482,55.682668450973885,605099,共创草坪,bottom_area,2025-08-18,31.49,2025-08-08,30.11,4.583194951843239,6.775157754898702,27.93202489229297,False,-0.1585,1.0927,1,2,1,50.0,44.31372549019606,44.31372549019606,10.41680504815676,4.583194951843239,历史1/2次成功; 当前距低点4.58%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
13,57.37973891583471,53.50907769441009,603080,新疆火炬,bottom_area,2025-08-18,21.87,2025-08-15,21.08,3.7476280834914744,8.82352941176472,27.310344827586214,False,-1.7079,10.5968,1,2,1,50.0,22.385321100917427,22.385321100917427,11.252371916508524,3.7476280834914744,历史1/2次成功; 当前距低点3.75%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
