rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.4433619255935,79.15316427922578,300849,锦盛新材,bottom_area,2025-07-03,13.28,2025-07-01,13.01,2.075326671790927,5.073020753266719,32.204273058884844,False,-1.2639,7.0172,1,1,1,100.0,48.090909090909086,48.090909090909086,17.924673328209074,2.075326671790927,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
2,90.64773694771242,78.34809110667149,000999,华润三九,bottom_area,2025-07-03,31.2,2025-06-23,30.59,1.9941157240928389,4.347826086956528,29.645814167433297,False,1.0036,0.4639,1,1,1,100.0,20.293951384963254,20.293951384963254,18.005884275907164,1.9941157240928389,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
3,89.1154046802534,77.56405317626889,605198,安德利,bottom_area,2025-07-03,40.06,2025-06-20,39.13,2.376693074367492,5.877843087145405,29.748653500897664,False,-0.3483,0.6171,1,1,1,100.0,43.241469816272954,43.241469816272954,17.62330692563251,2.376693074367492,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
4,82.42063049890979,74.3644786456329,600770,综艺股份,bottom_area,2025-07-03,5.28,2025-06-23,5.06,4.347826086956535,6.916996047430842,32.980132450331126,False,0.3802,1.6694,1,1,1,100.0,27.72861356932153,27.72861356932153,15.652173913043466,4.347826086956535,历史1/1次成功; 当前距低点4.35%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
5,81.29448649203931,73.54818808654788,605377,华旺科技,bottom_area,2025-07-03,8.83,2025-06-23,8.45,4.497041420118353,4.852071005917162,30.04966887417219,False,0.4551,0.6897,1,1,1,100.0,25.16904583020285,25.16904583020285,15.502958579881648,4.497041420118353,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
6,81.17423514534349,73.73218385857467,002155,湖南黄金,bottom_area,2025-07-03,18.21,2025-06-30,17.39,4.715353651523866,5.405405405405392,29.28019520130134,False,0.6077,1.8775,1,1,1,100.0,28.834355828220854,28.834355828220854,15.284646348476135,4.715353651523866,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
7,76.95372692790191,66.24183521987743,688114,华大智造,bottom_area,2025-07-03,63.2,2025-06-23,62.1,1.771336553945252,7.004830917874398,28.20809248554913,True,-0.0474,1.028,2,4,2,50.0,24.08861592942264,27.745919717688572,18.22866344605475,1.771336553945252,历史2/4次成功; 当前距低点1.77%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
8,72.22471419900225,61.211065770889796,001282,三联锻造,bottom_area,2025-07-03,19.73,2025-06-26,19.55,0.9207161125319678,7.161125319693087,30.62455642299503,True,0.2031,3.6852,1,2,1,50.0,37.31343283582089,37.31343283582089,19.079283887468033,0.9207161125319678,历史1/2次成功; 当前距低点0.92%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
9,66.72590511644901,58.01538055691257,688059,华锐精密,bottom_area,2025-07-03,45.89,2025-07-02,44.85,2.318840579710143,4.19175027870679,32.52595155709342,False,1.392,1.8735,1,5,1,20.0,38.29213483146067,38.29213483146067,17.68115942028986,2.318840579710143,历史1/5次成功; 当前距低点2.32%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
10,65.95203110234678,59.43674294060368,605136,丽人丽妆,bottom_area,2025-07-03,10.71,2025-06-26,10.27,4.284323271665056,8.081791626095425,29.318651066758434,True,1.5166,9.7272,1,4,1,25.0,52.667814113597245,52.667814113597245,15.715676728334946,4.284323271665056,历史1/4次成功; 当前距低点4.28%; 最新日涨幅1.52%; 状态bottom_area; 底部已确认
11,65.89888251274742,58.393666134451436,002041,登海种业,bottom_area,2025-07-03,9.85,2025-06-23,9.53,3.3578174186778624,3.4627492130115436,29.719764011799416,False,0.1016,0.5928,1,2,1,50.0,21.395106715252467,21.395106715252467,16.64218258132214,3.3578174186778624,历史1/2次成功; 当前距低点3.36%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
12,64.52052420651736,54.241544495772665,603022,新通联,bottom_area,2025-07-03,10.48,2025-07-03,10.43,0.4793863854266607,2.109300095877283,30.605455755156353,False,-1.6886,8.0271,1,2,1,50.0,26.099706744868023,26.099706744868023,19.52061361457334,0.4793863854266607,历史1/2次成功; 当前距低点0.48%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
13,59.21739488966317,53.83399535423925,002127,南极电商,bottom_area,2025-07-03,3.96,2025-06-20,3.78,4.761904761904766,6.878306878306885,29.34579439252336,False,1.2788,1.5148,1,3,1,33.33333333333333,33.53658536585366,33.53658536585366,15.238095238095234,4.761904761904766,历史1/3次成功; 当前距低点4.76%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
