rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,73.45266123557366,61.21055102964472,000506,招金黄金,bottom_area,2024-05-13,3.55,2024-05-13,3.55,0.0,0.0,31.467181467181465,False,-5.0802,0.0255,2,4,2,50.0,46.8309195142189,67.59259259259258,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
2,72.60214774718273,62.71502453385671,605155,西大门,bottom_area,2024-05-13,10.39,2024-05-13,10.19,1.9627085377821498,2.944062806673216,32.87220026350462,False,-1.0476,1.4471,1,2,1,50.0,57.16054477919933,57.16054477919933,18.03729146221785,1.9627085377821498,历史1/2次成功; 当前距低点1.96%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
3,59.96325342159768,50.49311597078319,688287,退市观典,bottom_area,2024-05-13,7.07,2024-05-13,7.03,0.5689900426742537,9.81507823613086,29.559118236472948,False,-9.2426,4.1763,1,3,1,33.33333333333333,36.70473083197391,36.70473083197391,19.43100995732575,0.5689900426742537,历史1/3次成功; 当前距低点0.57%; 最新日涨幅-9.24%; 状态bottom_area; 底部未确认
