rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.33321183235567,87.5221675249846,000619,海螺新材,bottom_area,2025-11-27,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,0.0,3.0708,4,4,4,100.0,30.81836553898465,43.133047210300425,12.09208400646204,2.9079159935379595,历史4/4次成功; 当前距低点2.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,92.87768999380903,86.0862549036477,002160,常铝股份,bottom_area,2025-11-27,5.14,2025-11-24,4.97,3.420523138832997,8.249496981891351,28.386167146974074,True,0.7843,9.2273,3,3,3,100.0,36.855094947241525,40.066225165562926,11.579476861167002,3.420523138832997,历史3/3次成功; 当前距低点3.42%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
3,86.75448566834301,79.49639657033906,603151,邦基科技,bottom_area,2025-11-27,18.68,2025-11-21,18.17,2.8068244358833128,3.742432581177764,32.62884686688913,False,1.2466,1.5117,1,1,1,100.0,36.42987249544626,36.42987249544626,12.193175564116688,2.8068244358833128,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
4,85.25224540314436,78.57826269648865,603173,福斯达,bottom_area,2025-11-27,38.0,2025-11-24,36.85,3.1207598371777436,4.640434192673001,32.86573146292585,False,0.4759,1.9197,1,1,1,100.0,35.34190927555856,35.34190927555856,11.879240162822256,3.1207598371777436,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
5,84.88465081310088,74.4266166628955,000803,山高环能,bottom_area,2025-11-27,6.8,2025-11-27,6.77,0.4431314623338294,1.3293943870014882,29.405630865484884,False,-0.1468,1.9226,2,2,2,100.0,25.843851596863644,36.1111111111111,14.55686853766617,0.4431314623338294,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
6,84.28116758284352,74.75657738221926,605333,沪光股份,bottom_area,2025-11-27,28.55,2025-11-27,28.25,1.0619469026548698,1.946902654867259,29.162487462387165,False,0.599,0.4656,3,5,3,60.0,26.224818926195436,29.01840490797546,13.93805309734513,1.0619469026548698,历史3/5次成功; 当前距低点1.06%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
7,83.92477054763611,75.02062370498173,301291,明阳电气,bottom_area,2025-11-27,41.2,2025-11-24,40.6,1.4778325123152742,4.926108374384236,27.0440251572327,False,-0.9615,2.5741,1,1,1,100.0,18.54882705946537,18.54882705946537,13.522167487684724,1.4778325123152742,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
8,83.84967584515333,73.3551559531467,600550,保变电气,bottom_area,2025-11-27,9.3,2025-11-27,9.27,0.323624595469268,2.588996763754048,28.692307692307693,False,-1.0638,3.0992,1,1,1,100.0,35.285053929121716,35.285053929121716,14.67637540453073,0.323624595469268,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
9,83.26699640418467,76.74868152323873,003038,鑫铂股份,bottom_area,2025-11-27,15.86,2025-11-24,15.38,3.1209362808842562,5.7867360208062335,28.76331635016211,False,1.5365,2.6356,1,1,1,100.0,25.507614213197975,25.507614213197975,11.879063719115743,3.1209362808842562,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
10,82.44420687301229,75.87169688620007,603178,圣龙股份,bottom_area,2025-11-27,18.32,2025-11-24,17.78,3.0371203599550007,4.049493813273334,27.694184627897517,False,1.2155,1.1928,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,11.962879640045,3.0371203599550007,历史5/7次成功; 当前距低点3.04%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
11,82.11587234012474,76.97034124061408,601011,宝泰隆,bottom_area,2025-11-27,3.62,2025-11-24,3.48,4.02298850574713,5.172413793103453,28.395061728395067,False,0.8357,3.6764,4,5,4,80.0,31.090080826438378,34.951456310679596,10.977011494252869,4.02298850574713,历史4/5次成功; 当前距低点4.02%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
12,81.49531138662374,71.60333837975172,600506,统一股份,bottom_area,2025-11-27,25.4,2025-11-27,25.26,0.5542359461599248,2.7315914489311073,30.794520547945204,False,-1.5504,11.9474,1,1,1,100.0,28.69352869352869,28.69352869352869,14.445764053840074,0.5542359461599248,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
13,81.25810418635584,74.1940959507924,601127,赛力斯,bottom_area,2025-11-27,125.57,2025-11-24,122.37,2.6150200212470285,3.914358094304153,28.854651162790695,False,0.3757,0.9787,6,9,6,66.66666666666666,27.793951250370768,42.19143576826195,12.38497997875297,2.6150200212470285,历史6/9次成功; 当前距低点2.62%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
