rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.88267790897305,85.31278323609226,300785,值得买,bottom_area,2025-12-19,39.27,2025-11-25,54.88,2025-12-17,38.33,2.4523871641012387,6.574484737803296,30.156705539358608,28.443877551020407,False,-2.240477968633303,11.900342235894344,4,4,4,100.0,35.829171883027264,53.370000000000005,2019-12-02; 2020-02-04; 2022-10-12; 2024-10-11,17.54761283589876,2.4523871641012387,历史4/4次成功; 当前距低点2.45%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
2,93.97916112213126,79.3608137432188,301171,易点天下,bottom_area,2025-12-19,33.42,2025-11-25,48.95,2025-12-16,33.18,0.7233273056057926,4.731766124171188,32.21654749744638,31.726251276813077,False,0.27002700270029045,5.555938452610574,1,1,1,100.0,64.71471471471472,64.71471471471472,2024-02-06,19.276672694394207,0.7233273056057926,历史1/1次成功; 当前距低点0.72%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
3,90.37554751220672,79.75855063260012,300047,天源迪科,bottom_area,2025-12-19,12.17,2025-11-03,16.7,2025-12-17,11.8,3.135593220338976,4.06779661016948,29.341317365269454,27.125748502994007,False,0.8285004142501995,2.792922361438081,4,5,4,80.0,35.20270524179029,56.159728122344944,2016-03-01; 2018-08-06; 2020-02-04; 2024-10-10,16.864406779661024,3.135593220338976,历史4/5次成功; 当前距低点3.14%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
4,87.45565771097434,78.61303880554907,300848,美瑞新材,bottom_area,2025-12-19,14.58,2025-11-06,19.3,2025-12-17,14.0,4.142857142857143,4.785714285714286,27.46113989637306,24.4559585492228,False,0.8298755186721962,1.0037827534099102,2,2,2,100.0,31.39114565195351,40.99378881987579,2024-02-06; 2024-10-11,15.857142857142858,4.142857142857143,历史2/2次成功; 当前距低点4.14%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
5,86.87953289018499,75.45930889062444,600048,保利发展,bottom_area,2025-12-19,6.33,2025-08-25,8.55,2025-12-17,6.19,2.2617124394184116,2.584814216478178,27.60233918128655,25.964912280701757,False,1.2799999999999923,1.1238330241516734,4,6,4,66.66666666666666,30.26530422490195,33.158289572393095,2008-07-18; 2015-08-25; 2021-08-02; 2022-11-01,17.73828756058159,2.2617124394184116,历史4/6次成功; 当前距低点2.26%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
6,84.01394176636734,74.90791925040809,603072,天和磁材,bottom_area,2025-12-19,40.95,2025-10-10,54.14,2025-12-17,39.49,3.697138516080022,3.950367181564941,27.05947543405984,24.362763206501658,False,1.6886019369257488,1.3756634714410203,1,1,1,100.0,22.674167027260935,22.674167027260935,2025-04-25,16.30286148391998,3.697138516080022,历史1/1次成功; 当前距低点3.70%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
7,82.69259463128675,74.87089940357852,688612,威迈斯,bottom_area,2025-12-19,31.55,2025-10-27,41.57,2025-12-17,30.18,4.539430086149771,6.295559973492375,27.399566995429396,24.103921096944912,False,1.4469453376205754,0.6130208179870947,1,1,1,100.0,32.8,32.8,2025-01-08,15.46056991385023,4.539430086149771,历史1/1次成功; 当前距低点4.54%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
8,80.82139490652403,71.71559710041345,002086,东方海洋,bottom_area,2025-12-19,2.41,2025-11-20,3.28,2025-12-17,2.33,3.433476394849788,3.8626609442060027,28.963414634146332,26.52439024390243,False,1.6877637130801704,3.0774272311139326,6,9,6,66.66666666666666,24.5013796451844,27.741935483870968,2007-06-05; 2012-12-04; 2013-06-25; 2015-06-30; 2015-09-02; 2018-02-12,16.566523605150213,3.433476394849788,历史6/9次成功; 当前距低点3.43%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
9,79.92316470543494,70.49322053675614,688363,华熙生物,bottom_area,2025-12-19,44.18,2025-09-08,61.85,2025-12-17,42.85,3.103850641773625,3.687281213535585,30.719482619240097,28.569118835893292,False,1.2838147638697839,0.6706967388270275,2,4,2,50.0,59.07358695086877,89.15474060822899,2024-02-05; 2024-09-18,16.896149358226374,3.103850641773625,历史2/4次成功; 当前距低点3.10%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
10,79.63832282740431,69.86606036480322,002453,华软科技,bottom_area,2025-12-19,6.22,2025-11-26,8.44,2025-12-17,6.05,2.8099173553718995,6.115702479338845,28.31753554502369,26.303317535545023,False,0.6472491909385036,4.352954948356381,4,7,4,57.14285714285714,27.54892745419206,35.23573200992555,2015-06-30; 2018-06-22; 2020-02-04; 2022-09-29,17.190082644628102,2.8099173553718995,历史4/7次成功; 当前距低点2.81%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
