rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.5288133369969,75.74559796888781,002300,太阳电缆,bottom_area,2025-04-02,6.1,2025-04-02,6.05,0.8264462809917326,3.4710743801652884,31.171786120591577,False,-1.1345,8.9062,2,2,2,100.0,37.633846718005124,38.41584158415842,19.173553719008268,0.8264462809917326,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
2,87.74026386190455,75.47443216080403,600579,中化装备,bottom_area,2025-04-02,7.63,2025-04-01,7.5,1.7333333333333318,6.666666666666667,27.466150870406185,False,-2.0539,3.1975,1,1,1,100.0,24.120603015075385,24.120603015075385,18.26666666666667,1.7333333333333318,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
3,87.07963571548846,76.94166453265042,002401,中远海科,bottom_area,2025-04-02,16.12,2025-03-31,15.62,3.201024327784903,5.953905249679908,28.414298808432637,False,-0.1858,2.2922,1,1,1,100.0,68.49925705794946,68.49925705794946,16.7989756722151,3.201024327784903,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
4,84.09649884311928,74.82963457687248,000815,美利云,bottom_area,2025-04-02,12.71,2025-03-31,12.27,3.58598207008966,8.39445802770987,29.76531196336577,True,-1.2432,4.5933,3,4,3,75.0,38.336955358478036,55.703211517165016,16.41401792991034,3.58598207008966,历史3/4次成功; 当前距低点3.59%; 最新日涨幅-1.24%; 状态bottom_area; 底部已确认
5,83.233876942844,73.4604439633696,603163,圣晖集成,bottom_area,2025-04-02,25.3,2025-03-31,24.53,3.139013452914796,4.15817366490012,27.05917335712162,False,-0.1579,2.4971,1,1,1,100.0,30.52362707535122,30.52362707535122,16.860986547085204,3.139013452914796,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
6,82.82765061392837,73.59802273850717,300720,海川智能,bottom_area,2025-04-02,20.94,2025-03-28,20.23,3.5096391497775623,5.981216015818096,31.423728813559322,False,0.2874,2.145,3,5,3,60.0,57.75229601757511,75.69193742478939,16.490360850222437,3.5096391497775623,历史3/5次成功; 当前距低点3.51%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
7,78.92306739964292,66.16240840432022,603028,赛福天,bottom_area,2025-04-02,6.17,2025-03-31,6.15,0.3252032520325134,5.040650406504058,32.713347921225385,False,-1.5949,4.9749,2,3,2,66.66666666666666,35.522608345632634,43.67816091954023,19.674796747967488,0.3252032520325134,历史2/3次成功; 当前距低点0.33%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
8,78.84276120705982,70.36934637253725,000757,浩物股份,bottom_area,2025-04-02,3.87,2025-03-31,3.73,3.7533512064343197,5.361930294906172,28.952380952380953,False,0.0,1.9517,2,3,2,66.66666666666666,37.851185250219494,52.941176470588246,16.246648793565683,3.7533512064343197,历史2/3次成功; 当前距低点3.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,76.371966132519,66.86056777686062,002406,远东传动,bottom_area,2025-04-02,7.62,2025-03-31,7.42,2.695417789757415,5.929919137466313,31.801470588235297,False,0.0,8.7662,2,5,2,40.0,47.12967923391146,67.88321167883211,17.304582210242586,2.695417789757415,历史2/5次成功; 当前距低点2.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,74.89819251553887,66.33839908519155,002682,龙洲股份,bottom_area,2025-04-02,4.34,2025-04-01,4.2,3.3333333333333255,16.66666666666667,29.76588628762542,True,-7.265,10.8751,2,3,2,66.66666666666666,34.52544311034879,42.121212121212146,16.666666666666675,3.3333333333333255,历史2/3次成功; 当前距低点3.33%; 最新日涨幅-7.26%; 状态bottom_area; 底部已确认
11,74.22567355061061,64.25103703230823,300697,电工合金,bottom_area,2025-04-02,15.73,2025-03-31,15.41,2.0765736534717734,5.12654120700843,27.34559170202735,False,-1.1314,7.083,2,4,2,50.0,26.320564313031607,31.64400494437578,17.923426346528228,2.0765736534717734,历史2/4次成功; 当前距低点2.08%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
12,73.92877965610572,64.33135582699686,000555,神州信息,bottom_area,2025-04-02,11.69,2025-03-31,11.42,2.364273204903674,5.5166374781085885,28.580362726704188,False,0.1714,2.2687,1,2,1,50.0,41.139240506329116,41.139240506329116,17.635726795096325,2.364273204903674,历史1/2次成功; 当前距低点2.36%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
