rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.88752564823614,81.44868453344962,000715,中兴商业,bottom_area,2023-01-30,6.34,2023-01-19,6.15,3.089430894308935,3.2520325203251916,31.05381165919282,False,1.6026,4.0577,3,3,3,100.0,17.056919206849418,24.33862433862435,4.910569105691065,3.089430894308935,历史3/3次成功; 当前距低点3.09%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
2,82.8090888191523,80.16118390562458,000419,通程控股,bottom_area,2023-01-30,6.2,2023-01-19,6.06,2.31023102310232,2.9702970297029805,29.039812646370024,False,0.9772,3.5194,2,2,2,100.0,17.250057195149854,24.82269503546099,5.68976897689768,2.31023102310232,历史2/2次成功; 当前距低点2.31%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
3,79.44515447444714,78.18695631048766,002095,生意宝,bottom_area,2023-01-30,20.83,2023-01-19,20.19,3.1698860822189054,3.9128281327389756,32.699999999999996,False,1.8582,5.7602,1,1,1,100.0,33.84030418250951,33.84030418250951,4.830113917781095,3.1698860822189054,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
4,78.8159218482022,74.39952657707775,000756,新华制药,bottom_area,2023-01-30,27.21,2023-01-30,26.94,1.0022271714922033,2.041573867854481,27.580645161290324,False,-0.7659,4.3976,1,1,1,100.0,9.379594236989137,9.379594236989137,6.997772828507796,1.0022271714922033,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
5,78.38910246713033,79.85473758069544,000679,大连友谊,bottom_area,2023-01-30,5.71,2023-01-18,5.44,4.963235294117639,5.6985294117646985,28.515111695137975,False,2.3297,2.259,4,4,4,100.0,14.78986049077237,24.94061757719715,3.0367647058823617,4.963235294117639,历史4/4次成功; 当前距低点4.96%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
6,76.96175864533166,76.95827833879288,002838,道恩股份,bottom_area,2023-01-30,17.69,2023-01-13,17.01,3.997648442092885,4.467960023515567,32.17703349282296,False,2.3135,3.1634,2,2,2,100.0,20.71460638045511,24.95606326889279,4.002351557907115,3.997648442092885,历史2/2次成功; 当前距低点4.00%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
7,76.40193239737214,76.41666332042185,300434,金石亚药,bottom_area,2023-01-30,12.45,2023-01-19,11.97,4.010025062656631,4.09356725146199,31.127733026467197,False,2.5535,3.8988,2,2,2,100.0,17.954411092897637,26.7379679144385,3.9899749373433693,4.010025062656631,历史2/2次成功; 当前距低点4.01%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
8,75.84675038784756,74.15599373078565,002349,精华制药,bottom_area,2023-01-30,12.0,2023-01-19,11.67,2.8277634961439593,4.284490145672665,28.44880441446965,False,-0.2494,2.9593,2,2,2,100.0,13.781153236526267,18.615984405458093,5.172236503856041,2.8277634961439593,历史2/2次成功; 当前距低点2.83%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
9,73.8433495146517,73.25441778681045,300485,赛升药业,bottom_area,2023-01-30,12.14,2023-01-12,11.72,3.583617747440272,4.351535836177472,27.69895126465145,False,0.0824,2.5427,1,1,1,100.0,12.392829306313327,12.392829306313327,4.416382252559728,3.583617747440272,历史1/1次成功; 当前距低点3.58%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
10,72.14337408733255,73.51222236586943,002043,兔宝宝,confirmed_rebound,2023-01-30,13.92,2023-01-20,13.26,4.977375565610861,8.371040723981896,28.671328671328673,True,0.8696,12.0936,2,2,2,100.0,15.218487394957986,15.96638655462185,3.0226244343891393,4.977375565610861,历史2/2次成功; 当前距低点4.98%; 最新日涨幅0.87%; 状态confirmed_rebound; 底部已确认
11,72.0586987330818,71.91486899509162,000650,仁和药业,bottom_area,2023-01-30,6.4,2023-01-12,6.16,3.8961038961038996,5.3571428571428585,27.444051825677267,False,-0.4666,2.7372,2,2,2,100.0,14.827881065637138,17.19038817005545,4.1038961038961,3.8961038961038996,历史2/2次成功; 当前距低点3.90%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
12,66.32514369282617,67.54531716417908,000919,金陵药业,bottom_area,2023-01-30,8.06,2022-12-29,7.68,4.947916666666677,6.510416666666667,31.12107623318386,False,-0.2475,2.0259,1,1,1,100.0,20.8955223880597,20.8955223880597,3.0520833333333233,4.947916666666677,历史1/1次成功; 当前距低点4.95%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
