rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.47377483338207,78.77528628495338,002388,新亚制程,bottom_area,2022-12-21,7.69,2022-12-21,7.51,2.3968042609853613,5.326231691078567,28.476190476190478,False,-2.4112,3.7047,1,1,1,100.0,50.505050505050505,50.505050505050505,17.60319573901464,2.3968042609853613,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
2,88.78836049708481,75.23201065472975,300624,万兴科技,bottom_area,2022-12-21,28.88,2022-12-21,28.62,0.9084556254367505,2.1663172606568746,31.678204822153255,False,-0.2762,1.3581,2,2,2,100.0,35.87790043400834,51.195680123425035,19.091544374563252,0.9084556254367505,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
3,86.51814554209847,72.20731982099637,001332,锡装股份,bottom_area,2022-12-21,60.8,2022-12-21,60.75,0.08230452674896652,3.176954732510288,27.271638932120197,False,-2.9994,3.5295,1,1,1,100.0,26.155774956903304,26.155774956903304,19.917695473251033,0.08230452674896652,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
4,83.92549878937528,74.26447915720642,002395,双象股份,bottom_area,2022-12-21,10.07,2022-12-20,9.75,3.2820512820512846,5.230769230769228,28.62371888726208,False,-1.2745,0.8149,1,1,1,100.0,36.59976387249114,36.59976387249114,16.717948717948715,3.2820512820512846,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
5,83.38077642007848,70.6081130788876,300667,必创科技,bottom_area,2022-12-21,14.97,2022-12-21,14.84,0.8760107816711642,2.762803234501349,27.821011673151748,False,-1.3834,1.382,1,1,1,100.0,27.287191726332534,27.287191726332534,19.123989218328838,0.8760107816711642,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
6,83.33241449129618,70.56497117015263,603289,泰瑞机器,bottom_area,2022-12-21,9.23,2022-12-21,9.15,0.8743169398907111,4.371584699453555,27.265500794912555,False,-2.9443,1.8028,1,1,1,100.0,27.034482758620705,27.034482758620705,19.12568306010929,0.8743169398907111,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
7,83.30772149820537,70.11419094419094,002047,宝鹰股份,bottom_area,2022-12-21,3.72,2022-12-21,3.7,0.540540540540541,3.51351351351351,31.608133086876155,False,-2.3622,1.2145,1,1,1,100.0,20.51948051948051,20.51948051948051,19.45945945945946,0.540540540540541,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
8,82.81906403940879,72.89379310344823,002795,永和智控,bottom_area,2022-12-21,8.96,2022-12-19,8.7,2.9885057471264553,10.344827586206902,29.268292682926838,False,-1.9694,3.163,1,1,1,100.0,25.632183908045985,25.632183908045985,17.011494252873547,2.9885057471264553,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
9,75.25951830537309,63.175022348372536,002603,以岭药业,bottom_area,2022-12-21,37.87,2022-12-21,37.72,0.39766702014845856,5.514316012725341,30.096367679762793,False,-4.1023,8.7196,2,3,2,66.66666666666666,30.564712299163222,39.661898569570866,19.602332979851543,0.39766702014845856,历史2/3次成功; 当前距低点0.40%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
10,75.22975736218073,63.91479005491914,300360,炬华科技,bottom_area,2022-12-21,13.41,2022-12-16,13.27,1.055011303692544,6.782215523737757,27.007700770077008,False,-1.5419,1.3087,1,2,1,50.0,45.323741007194236,45.323741007194236,18.94498869630746,1.055011303692544,历史1/2次成功; 当前距低点1.06%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
11,68.05427530665382,58.04108115346126,002534,西子洁能,bottom_area,2022-12-21,14.41,2022-12-21,14.23,1.2649332396345727,5.200281096275475,27.17502558853633,False,-3.4829,0.8833,1,2,1,50.0,26.532951289398277,26.532951289398277,18.73506676036543,1.2649332396345727,历史1/2次成功; 当前距低点1.26%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
