rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.1888471635287,85.36673984168863,000789,万年青,bottom_area,2021-10-29,11.5,2021-10-28,11.37,1.1433597185576148,3.6059806508355337,32.76167947959788,False,0.5245,1.335,1,1,1,100.0,47.599999999999994,47.599999999999994,6.856640281442386,1.1433597185576148,历史1/1次成功; 当前距低点1.14%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,83.59330333244975,79.21748059483053,002233,塔牌集团,bottom_area,2021-10-29,10.08,2021-10-29,9.96,1.2048192771084258,1.7068273092369468,30.59233449477351,False,0.4985,1.4626,1,1,1,100.0,15.292841648590022,15.292841648590022,6.795180722891575,1.2048192771084258,历史1/1次成功; 当前距低点1.20%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
3,82.92685980732831,80.00991228070176,002075,沙钢股份,bottom_area,2021-10-29,6.21,2021-10-28,6.08,2.1381578947368403,2.960526315789469,30.195177956371992,False,1.6367,1.1536,1,1,1,100.0,30.994152046783608,30.994152046783608,5.861842105263159,2.1381578947368403,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
4,82.26045933093637,79.28329085790486,300420,五洋自控,bottom_area,2021-10-29,3.43,2021-10-28,3.36,2.083333333333342,5.0595238095238075,28.205128205128204,False,2.0833,0.9304,2,2,2,100.0,9.748875580133735,10.579345088161196,5.916666666666658,2.083333333333342,历史2/2次成功; 当前距低点2.08%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
5,81.48803657798636,78.45522328578731,603069,海汽集团,bottom_area,2021-10-29,14.59,2021-10-29,14.3,2.027972027972022,2.2377622377622273,29.03225806451612,False,1.6017,0.6578,1,1,1,100.0,21.284943599803825,21.284943599803825,5.972027972027978,2.027972027972022,历史1/1次成功; 当前距低点2.03%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
6,80.57523927527765,77.1691525423729,000936,华西股份,bottom_area,2021-10-29,5.8,2021-10-29,5.7,1.7543859649122744,2.6315789473684115,28.571428571428577,False,0.5199,0.7445,1,1,1,100.0,11.016949152542363,11.016949152542363,6.245614035087725,1.7543859649122744,历史1/1次成功; 当前距低点1.75%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
7,80.29443946160461,76.0187252910583,300642,透景生命,bottom_area,2021-10-29,28.02,2021-10-29,27.7,1.155234657039712,2.8880866425992804,31.604938271604937,False,-1.0593,1.7542,1,1,1,100.0,19.960539296284104,19.960539296284104,6.8447653429602875,1.155234657039712,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
8,75.33210073797018,75.10447132707579,300417,南华仪器,bottom_area,2021-10-29,11.35,2021-10-28,10.93,3.8426349496797796,4.300091491308332,27.80713342140027,False,0.8889,2.3188,1,1,1,100.0,25.514403292181065,25.514403292181065,4.15736505032022,3.8426349496797796,历史1/1次成功; 当前距低点3.84%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
9,74.95523082010281,69.75809880679645,002111,威海广泰,bottom_area,2021-10-29,11.35,2021-10-29,11.32,0.2650176678445173,4.593639575971728,29.426433915211962,False,-2.4076,2.3854,1,1,1,100.0,15.227629513343796,15.227629513343796,7.734982332155482,0.2650176678445173,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
10,72.49185177952275,72.94321309814107,000868,安凯客车,bottom_area,2021-10-29,3.62,2021-10-29,3.47,4.322766570605185,4.322766570605185,28.008298755186722,False,2.8409,0.8089,1,1,1,100.0,19.780219780219785,19.780219780219785,3.6772334293948155,4.322766570605185,历史1/1次成功; 当前距低点4.32%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
11,72.15288062505063,71.90278398510245,688070,纵横股份,bottom_area,2021-10-29,29.9,2021-10-28,28.8,3.819444444444437,5.13888888888889,28.6422200198216,False,0.3693,1.807,1,1,1,100.0,8.016759776536327,8.016759776536327,4.180555555555563,3.819444444444437,历史1/1次成功; 当前距低点3.82%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
12,69.68829404705562,70.73927759996945,300644,南京聚隆,confirmed_rebound,2021-10-29,18.2,2021-10-22,17.37,4.778353483016685,8.232584916522738,27.169811320754718,True,2.4775,1.1457,1,1,1,100.0,14.537223340040246,14.537223340040246,3.2216465169833146,4.778353483016685,历史1/1次成功; 当前距低点4.78%; 最新日涨幅2.48%; 状态confirmed_rebound; 底部已确认
13,69.68093439085361,68.84374315205633,605300,佳禾食品,bottom_area,2021-10-29,17.17,2021-10-29,16.61,3.371462974111995,5.659241420830833,27.719756309834644,False,-0.0582,6.3264,1,1,1,100.0,8.552036199095008,8.552036199095008,4.628537025888005,3.371462974111995,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
14,66.48491879538848,66.1334039539032,603233,大参林,bottom_area,2021-10-29,35.37,2021-10-29,34.1,3.724340175953068,7.917888563049841,30.308604128346616,False,-4.1723,0.8841,1,1,1,100.0,8.520965349871906,8.520965349871906,4.275659824046932,3.724340175953068,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-4.17%; 状态bottom_area; 底部未确认
