code,name,latest_date,latest_close,current_stage,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,historical_valid_event_count
688768,容知日新,2026-03-10,36.85,bottom_area,50.84,2026-03-09,35.5,3.8028169014084545,5.605633802816907,30.173092053501183,27.517702596380804,False,19
001391,国货航,2026-03-10,5.72,bottom_area,7.73,2026-03-09,5.64,1.4184397163120581,2.3049645390070905,27.037516170763272,26.002587322121613,False,1
688697,纽威数控,2026-03-10,15.5,bottom_area,21.23,2026-03-09,14.86,4.306864064602965,4.374158815612385,30.004710315591147,26.9901083372586,False,21
001206,依依股份,2026-03-10,22.97,bottom_area,31.9,2026-03-04,22.0,4.409090909090904,4.909090909090901,31.034482758620683,27.993730407523508,False,1
688317,之江生物,2026-03-10,20.3,bottom_area,28.58,2026-03-04,19.52,3.995901639344268,4.76434426229508,31.700489853044083,28.971308607417768,False,3
603758,秦安股份,2026-03-10,14.01,bottom_area,19.16,2026-03-09,13.35,4.9438202247191025,6.217228464419476,30.323590814196244,26.87891440501044,False,4
688236,春立医疗,2026-03-10,20.76,bottom_area,27.56,2026-03-04,19.82,4.7426841574167575,5.095862764883945,28.084179970972418,24.67343976777938,False,3
601288,农业银行,2026-03-10,6.58,bottom_area,8.68,2026-03-02,6.33,3.949447077409163,7.898894154818326,27.073732718894007,24.193548387096772,True,1
603130,云中马,2026-03-10,43.39,bottom_area,61.5,2026-03-09,41.67,4.127669786417084,5.591552675785933,32.24390243902439,29.447154471544714,False,2
300133,华策影视,2026-03-10,8.02,bottom_area,11.45,2026-03-04,7.75,3.4838709677419297,7.741935483870963,32.314410480349345,29.95633187772926,True,7
601519,大智慧,2026-03-10,11.42,bottom_area,15.88,2026-03-09,11.04,3.442028985507254,5.072463768115947,30.478589420654924,28.085642317380355,False,4
600748,上实发展,2026-03-10,5.06,bottom_area,6.8,2026-03-04,4.87,3.901437371663234,4.312114989733059,28.38235294117647,25.588235294117652,False,11
002739,儒意电影,2026-03-10,10.23,bottom_area,13.87,2026-03-09,9.98,2.5050100200400798,3.206412825651305,28.04614275414563,26.243691420331643,False,2
600882,妙可蓝多,2026-03-10,21.0,bottom_area,29.91,2026-03-05,20.48,2.539062499999998,4.492187499999991,31.52791708458709,29.789368104312942,False,5
000997,新大陆,2026-03-10,23.07,bottom_area,31.6,2026-03-09,22.35,3.221476510067109,4.832214765100663,29.27215189873418,26.993670886075954,False,4
688318,财富趋势,2026-03-10,117.4,bottom_area,163.63,2026-03-09,111.83,4.980774389698657,6.858624698202631,31.656786652814272,28.252765385320533,False,5
600515,海南机场,2026-03-10,3.97,bottom_area,5.68,2026-03-09,3.9,1.7948717948718023,3.3333333333333424,31.33802816901408,30.105633802816893,False,3
603099,长白山,2026-03-10,38.83,bottom_area,52.2,2026-03-06,37.02,4.889249054565086,5.294435440302522,29.080459770114942,25.61302681992338,False,3
600415,小商品城,2026-03-10,14.28,bottom_area,19.01,2026-03-04,13.74,3.9301310043668063,4.221251819505095,27.722251446607054,24.881641241451877,False,2
002345,潮宏基,2026-03-10,10.79,bottom_area,14.25,2026-03-09,10.38,3.949903660886304,4.046242774566473,27.1578947368421,24.280701754385973,False,2
300482,万孚生物,2026-03-10,19.42,bottom_area,26.29,2026-03-04,19.09,1.728653745416458,2.671555788370883,27.38683910232027,26.131608976797256,False,1
601599,浙文影业,2026-03-10,4.14,bottom_area,5.64,2026-03-04,4.0,3.499999999999992,4.499999999999993,29.078014184397162,26.595744680851062,False,4
603882,金域医学,2026-03-10,28.7,bottom_area,40.68,2026-03-04,27.6,3.9855072463768035,5.108695652173913,32.15339233038348,29.44936086529007,False,2
600693,东百集团,2026-03-10,12.8,bottom_area,17.5,2026-03-04,12.3,4.0650406504065035,7.317073170731696,29.714285714285708,26.85714285714285,True,7
301110,青木科技,2026-03-10,63.35,bottom_area,87.5,2026-03-09,61.09,3.699459813390077,5.680144049762643,30.182857142857138,27.599999999999998,False,1
600814,杭州解百,2026-03-10,8.25,bottom_area,11.18,2026-03-04,8.0,3.125,3.499999999999992,28.44364937388193,26.207513416815743,False,2
