rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.34835748569756,81.18297792911058,688176,亚虹医药,bottom_area,2023-06-15,11.21,2023-06-15,11.08,1.1732851985559638,1.8953068592057678,31.520395550061803,False,0.0893,1.8141,1,1,1,100.0,25.473484848484844,25.473484848484844,18.826714801444037,1.1732851985559638,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
2,93.2138870518703,81.64513636395021,688075,安旭生物,bottom_area,2023-06-15,66.41,2023-05-10,64.65,2.722351121423033,7.764887857695276,30.37906525953047,True,0.1206,1.3792,4,5,4,80.0,31.086542584917854,40.134529147982065,17.27764887857697,2.722351121423033,历史4/5次成功; 当前距低点2.72%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
3,92.83632783209973,80.09742832691487,600935,华塑股份,bottom_area,2023-06-15,3.76,2023-05-31,3.69,1.8970189701896976,3.2520325203252063,27.788649706457928,False,1.0753,0.2085,1,1,1,100.0,28.50877192982458,28.50877192982458,18.1029810298103,1.8970189701896976,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
4,88.85070997850234,77.7365348869469,688289,圣湘生物,bottom_area,2023-06-15,17.36,2023-06-12,16.91,2.6611472501478373,2.6611472501478373,31.399594320486813,False,1.3427,0.6306,1,1,1,100.0,25.182530200451346,25.182530200451346,17.338852749852162,2.6611472501478373,历史1/1次成功; 当前距低点2.66%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
5,88.2103011270742,77.49434150534027,600995,南网储能,bottom_area,2023-06-15,11.05,2023-06-07,10.74,2.886405959031662,3.910614525139664,32.7909887359199,False,1.6559,0.8508,1,1,1,100.0,26.64165103189493,26.64165103189493,17.113594040968337,2.886405959031662,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
6,86.55127181901956,76.15808149023647,688102,斯瑞新材,bottom_area,2023-06-15,12.12,2023-06-15,11.77,2.973661852166522,6.202209005947328,31.410256410256416,False,0.2481,3.0867,1,1,1,100.0,20.52704576976421,20.52704576976421,17.026338147833478,2.973661852166522,历史1/1次成功; 当前距低点2.97%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
7,86.22944677377274,76.19989325602081,600256,广汇能源,bottom_area,2023-06-15,7.4,2023-06-01,7.17,3.2078103207810384,5.718270571827059,29.49852507374631,False,2.4931,1.4809,1,1,1,100.0,23.62204724409449,23.62204724409449,16.792189679218964,3.2078103207810384,历史1/1次成功; 当前距低点3.21%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
8,85.14088086917477,76.07857948888153,000723,美锦能源,bottom_area,2023-06-15,6.8,2023-06-14,6.55,3.816793893129771,4.12213740458016,30.907172995780595,False,2.2556,1.1809,1,1,1,100.0,30.434782608695667,30.434782608695667,16.18320610687023,3.816793893129771,历史1/1次成功; 当前距低点3.82%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
9,84.45524950229549,73.50524182792878,002041,登海种业,bottom_area,2023-06-15,15.52,2023-06-07,15.16,2.374670184696566,3.8918205804749335,28.49056603773585,False,-0.6402,0.4945,1,1,1,100.0,21.395106715252467,21.395106715252467,17.625329815303438,2.374670184696566,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
10,69.17199900423633,59.52744600021709,601666,平煤股份,bottom_area,2023-06-15,7.53,2023-06-15,7.4,1.756756756756755,1.8918918918918874,27.236971484759092,False,0.534,1.0162,1,3,1,33.33333333333333,27.30923694779115,27.30923694779115,18.243243243243246,1.756756756756755,历史1/3次成功; 当前距低点1.76%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
11,68.081965828311,59.97589851554543,600955,维远股份,bottom_area,2023-06-15,18.66,2023-06-12,18.11,3.036996134732196,4.0861402540033245,28.924646781789644,False,0.2148,0.2504,1,2,1,50.0,25.969084423305596,25.969084423305596,16.963003865267805,3.036996134732196,历史1/2次成功; 当前距低点3.04%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
12,67.1456821489808,57.746694150485986,605080,浙江自然,bottom_area,2023-06-15,29.54,2023-06-15,29.04,1.721763085399449,2.1694214876033144,31.47711184521001,False,-0.5722,0.586,1,2,1,50.0,20.335021425788852,20.335021425788852,18.27823691460055,1.721763085399449,历史1/2次成功; 当前距低点1.72%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
13,66.40991189598014,60.62747624850093,600183,生益科技,bottom_area,2023-06-15,15.14,2023-06-08,14.42,4.993065187239949,5.894590846047154,27.09807886754298,False,-0.2635,0.6078,2,3,2,66.66666666666666,23.14515165989969,25.158227848101262,15.006934812760054,4.993065187239949,历史2/3次成功; 当前距低点4.99%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
14,63.76780043958866,57.34514428020564,300546,雄帝科技,bottom_area,2023-06-15,19.5,2023-06-07,18.72,4.166666666666672,7.852564102564116,27.441860465116285,True,-1.9608,4.1499,2,5,2,40.0,27.285721936589546,33.791666666666664,15.83333333333333,4.166666666666672,历史2/5次成功; 当前距低点4.17%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
15,61.670602410983356,54.87316532258064,000545,金浦钛业,bottom_area,2023-06-15,2.89,2023-06-12,2.79,3.5842293906810068,4.3010752688172085,28.277634961439592,False,0.0,0.4145,1,3,1,33.33333333333333,24.6875,24.6875,16.415770609318994,3.5842293906810068,历史1/3次成功; 当前距低点3.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,61.46444169684786,52.30360415229551,688327,云从科技,bottom_area,2023-06-15,20.36,2023-06-15,20.13,1.142573273720817,5.017386984600107,32.5853985264568,False,-3.0938,5.2227,1,5,1,20.0,25.853071055800886,25.853071055800886,18.857426726279183,1.142573273720817,历史1/5次成功; 当前距低点1.14%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
