rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.641499430802,85.65553171785413,002116,中国海诚,bottom_area,2022-12-27,10.5,2022-12-27,10.39,1.0587102983638057,2.983638113570729,27.696590118302012,False,0.1908,2.255,3,3,3,100.0,14.781673108191493,18.51179673321235,6.941289701636194,1.0587102983638057,历史3/3次成功; 当前距低点1.06%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
2,86.78403435773055,85.20583756345181,002269,美邦服饰,bottom_area,2022-12-27,2.03,2022-12-23,1.97,3.0456852791878086,7.61421319796955,27.30627306273063,True,-1.9324,3.439,3,3,3,100.0,67.6633252638804,173.50993377483442,4.954314720812192,3.0456852791878086,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
3,84.99456091498168,79.5050380972653,688075,安旭生物,bottom_area,2022-12-27,85.45,2022-12-27,85.0,0.5294117647058857,4.494117647058816,28.499327052489903,False,-4.0858,7.6159,4,4,4,100.0,31.086542584917854,40.134529147982065,7.470588235294115,0.5294117647058857,历史4/4次成功; 当前距低点0.53%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
4,80.40613044088278,76.49631860126271,002795,永和智控,bottom_area,2022-12-27,8.64,2022-12-27,8.52,1.408450704225364,5.633802816901413,30.731707317073177,False,-1.8182,3.1337,1,1,1,100.0,25.632183908045985,25.632183908045985,6.591549295774636,1.408450704225364,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
5,79.09880428882657,77.0272625885722,605289,罗曼股份,bottom_area,2022-12-27,21.15,2022-12-23,20.61,2.6200873362445374,5.531295487627368,28.36287799791449,False,-0.8439,2.6496,3,3,3,100.0,10.005708146288955,11.881750994883456,5.379912663755462,2.6200873362445374,历史3/3次成功; 当前距低点2.62%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
6,78.6322279954791,77.52853838538796,688185,康希诺,bottom_area,2022-12-27,148.02,2022-12-27,143.34,3.264964420259527,6.732245011859918,30.417475728155335,False,-5.0545,6.9841,5,5,5,100.0,14.154071309568138,19.236097367900253,4.735035579740473,3.264964420259527,历史5/5次成功; 当前距低点3.26%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
7,78.45372492185012,75.01679852664698,000919,金陵药业,bottom_area,2022-12-27,7.91,2022-12-27,7.78,1.6709511568123379,4.241645244215928,30.22421524663677,False,-2.3457,3.2156,1,1,1,100.0,20.8955223880597,20.8955223880597,6.329048843187662,1.6709511568123379,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
8,77.92878908895469,74.15258845535713,002729,好利科技,bottom_area,2022-12-27,27.9,2022-12-23,27.51,1.4176663031624754,6.506724827335511,27.605263157894733,False,-1.4483,0.5367,1,1,1,100.0,13.144449605202036,13.144449605202036,6.582333696837525,1.4176663031624754,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
9,77.78745693344733,76.10840793390273,002423,中粮资本,bottom_area,2022-12-27,7.18,2022-12-23,6.98,2.8653295128939726,4.441260744985668,28.41025641025641,False,1.1268,1.2656,1,1,1,100.0,18.932038834951456,18.932038834951456,5.134670487106027,2.8653295128939726,历史1/1次成功; 当前距低点2.87%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
10,77.63059755857971,75.96058630912559,000411,英特集团,bottom_area,2022-12-27,12.19,2022-12-27,11.85,2.8691983122362856,7.42616033755275,29.840142095914747,False,-4.5419,5.3524,2,2,2,100.0,34.206228285076975,47.98426745329401,5.130801687763714,2.8691983122362856,历史2/2次成功; 当前距低点2.87%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
11,76.29007066278105,75.6119442266656,605266,健之佳,bottom_area,2022-12-27,71.45,2022-12-27,69.01,3.535719460947685,5.796261411389653,27.035314019877344,False,-0.7639,2.706,3,3,3,100.0,13.620347299066246,20.511627906976745,4.464280539052315,3.535719460947685,历史3/3次成功; 当前距低点3.54%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
