rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.80244734401698,84.9770949689176,301381,赛维时代,bottom_area,2025-04-08,18.08,2025-04-08,17.58,2.8441410693970424,6.655290102389088,28.44932844932846,False,1.8018,2.4312,2,2,2,100.0,49.686755952380956,66.46875000000001,17.155858930602957,2.8441410693970424,历史2/2次成功; 当前距低点2.84%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
2,94.53264492217356,80.83878041851216,605068,明新旭腾,bottom_area,2025-04-08,12.94,2025-04-08,12.76,1.4106583072100292,9.404388714733551,29.619415333701042,False,-8.7447,3.466,2,2,2,100.0,42.554200854575384,50.84621044885945,18.589341692789972,1.4106583072100292,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
3,94.50821302862698,82.27428624058881,300471,厚普股份,bottom_area,2025-04-08,7.29,2025-04-07,7.12,2.387640449438201,18.25842696629213,30.73929961089494,True,2.3876,2.6652,2,2,2,100.0,20.366163791978032,20.386007237635724,17.612359550561802,2.387640449438201,历史2/2次成功; 当前距低点2.39%; 最新日涨幅2.39%; 状态bottom_area; 底部已确认
4,93.73770899839147,82.70025109601589,300411,金盾股份,bottom_area,2025-04-08,10.25,2025-04-07,9.94,3.118712273641856,17.706237424547282,30.586592178770957,True,3.1187,4.6021,2,2,2,100.0,31.617823010318947,33.550488599348526,16.881287726358146,3.118712273641856,历史2/2次成功; 当前距低点3.12%; 最新日涨幅3.12%; 状态bottom_area; 底部已确认
5,93.26771957307156,81.94594059405942,000628,高新发展,bottom_area,2025-04-08,39.49,2025-04-08,38.38,2.8921313183949957,6.878582595101617,29.7069597069597,False,-4.3362,6.1118,3,3,3,100.0,50.322228985477345,99.77973568281939,17.107868681605005,2.8921313183949957,历史3/3次成功; 当前距低点2.89%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
6,93.01695545765926,81.27032084773462,002700,万憬能源,bottom_area,2025-04-08,8.33,2025-04-08,8.12,2.586206896551735,5.418719211822676,30.300429184549365,False,1.7094,1.9024,2,2,2,100.0,26.59608909608909,29.54545454545454,17.413793103448267,2.586206896551735,历史2/2次成功; 当前距低点2.59%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
7,91.01158223386338,77.78315458359256,002709,天赐材料,bottom_area,2025-04-08,16.17,2025-04-08,15.95,1.3793103448276014,5.768025078369917,29.111111111111114,False,-3.2895,2.4515,2,2,2,100.0,25.74183962257791,29.287749287749286,18.620689655172402,1.3793103448276014,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
8,90.89930391166027,78.63261584053657,000823,超声电子,bottom_area,2025-04-08,8.5,2025-04-08,8.33,2.0408163265306114,10.6842737094838,29.64527027027027,False,-8.2073,6.2473,2,2,2,100.0,38.41761862917399,43.585237258347966,17.95918367346939,2.0408163265306114,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-8.21%; 状态bottom_area; 底部未确认
9,90.58907912904286,80.08636076848143,300798,锦鸡股份,bottom_area,2025-04-08,6.39,2025-04-07,6.19,3.2310177705977265,16.15508885298869,27.85547785547785,False,3.231,9.8923,1,1,1,100.0,44.801512287334596,44.801512287334596,16.768982229402273,3.2310177705977265,历史1/1次成功; 当前距低点3.23%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
10,90.43599159408156,80.7415854685158,300354,东华测试,bottom_area,2025-04-08,35.78,2025-04-08,34.48,3.770301624129943,6.902552204176342,27.3646513587529,False,3.59,7.0503,2,2,2,100.0,38.26813533081753,39.34343434343434,16.229698375870058,3.770301624129943,历史2/2次成功; 当前距低点3.77%; 最新日涨幅3.59%; 状态bottom_area; 底部未确认
11,90.36034634001054,79.53221380135622,300591,万里马,bottom_area,2025-04-08,3.79,2025-04-07,3.68,2.9891304347826053,17.39130434782609,27.55905511811023,True,1.6086,7.876,1,1,1,100.0,29.663608562691135,29.663608562691135,17.010869565217394,2.9891304347826053,历史1/1次成功; 当前距低点2.99%; 最新日涨幅1.61%; 状态bottom_area; 底部已确认
12,89.16334533873976,76.58641422923671,301525,儒竞科技,bottom_area,2025-04-08,60.87,2025-04-08,59.88,1.6533066132264442,9.936539746158978,29.13609467455621,False,-1.9017,4.0557,1,1,1,100.0,29.118028534370954,29.118028534370954,18.34669338677356,1.6533066132264442,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
13,88.89093988283149,75.18324136456944,002130,沃尔核材,bottom_area,2025-04-08,16.18,2025-04-08,16.05,0.8099688473520187,8.411214953271013,28.316212594908443,False,-9.2541,8.2861,2,2,2,100.0,44.62349643296797,58.35694050991501,19.190031152647983,0.8099688473520187,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-9.25%; 状态bottom_area; 底部未确认
14,88.23564695482712,77.86065448150245,300445,康斯特,bottom_area,2025-04-08,16.15,2025-04-08,15.66,3.128991060025533,10.727969348659002,30.02680965147453,False,0.8115,6.3511,1,1,1,100.0,31.584699453551895,31.584699453551895,16.87100893997447,3.128991060025533,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
