rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.81939476815306,85.63944657584766,688358,祥生医疗,bottom_area,2024-10-15,23.29,2024-10-14,22.81,2.1043402016659383,6.0061376589215305,27.884919380335127,False,-2.6745,0.6601,4,4,4,100.0,33.31904427766654,68.06588735387884,5.895659798334061,2.1043402016659383,历史4/4次成功; 当前距低点2.10%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
2,87.85344101791746,84.60462347642283,688047,龙芯中科,bottom_area,2024-10-15,124.0,2024-10-14,121.52,2.0408163265306154,7.455562870309428,28.043581241117955,True,-2.6917,1.8719,4,4,4,100.0,17.78325108017539,33.20076594491089,5.959183673469385,2.0408163265306154,历史4/4次成功; 当前距低点2.04%; 最新日涨幅-2.69%; 状态bottom_area; 底部已确认
3,86.33784812841904,81.74917322478518,000430,张家界,bottom_area,2024-10-15,6.1,2024-10-14,6.03,1.1608623548921955,3.316749585406305,27.349397590361452,False,-1.7713,3.8622,2,2,2,100.0,34.17171717171716,53.99999999999999,6.839137645107804,1.1608623548921955,历史2/2次成功; 当前距低点1.16%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
4,84.77548015235944,82.45756474426173,688356,键凯科技,bottom_area,2024-10-15,56.52,2024-10-14,55.11,2.558519324986398,7.965886409000182,28.129890453834122,True,-2.4171,0.7564,4,4,4,100.0,12.585961318444678,15.625,5.441480675013602,2.558519324986398,历史4/4次成功; 当前距低点2.56%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
5,83.76779205792357,78.38378467022767,300763,锦浪科技,bottom_area,2024-10-15,71.71,2024-10-11,71.32,0.546831183398767,7.922041503084698,27.068207383168026,False,-3.1208,3.6502,4,4,4,100.0,25.271826711703444,36.020348268440614,7.453168816601233,0.546831183398767,历史4/4次成功; 当前距低点0.55%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
6,82.49496601309485,80.78870848979048,688008,澜起科技,confirmed_rebound,2024-10-15,65.0,2024-10-14,63.16,2.913236225459157,8.027232425585826,27.477322310253765,True,-2.8836,4.3498,3,3,3,100.0,34.8434789453621,62.20095693779905,5.086763774540843,2.913236225459157,历史3/3次成功; 当前距低点2.91%; 最新日涨幅-2.88%; 状态confirmed_rebound; 底部已确认
7,82.43822648784135,79.22295445337714,688331,荣昌生物,bottom_area,2024-10-15,30.08,2024-10-14,29.51,1.9315486275838587,7.760081328363263,29.721362229102166,True,-2.4327,1.9255,2,2,2,100.0,20.843469485313637,26.761565836298917,6.068451372416141,1.9315486275838587,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
8,81.17647340246297,77.74932180463594,300347,泰格医药,bottom_area,2024-10-15,61.38,2024-10-14,60.32,1.7572944297082265,6.92970822281167,27.140959053025732,False,-3.8233,2.3423,3,3,3,100.0,13.526629593390835,20.78172934893761,6.242705570291774,1.7572944297082265,历史3/3次成功; 当前距低点1.76%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
9,80.36169651908291,78.58235007004626,300769,德方纳米,confirmed_rebound,2024-10-15,38.44,2024-10-11,37.38,2.835741037988216,11.3697164258962,29.471698113207545,True,-3.5141,11.5089,7,7,7,100.0,15.57978299279243,41.300000000000004,5.164258962011783,2.835741037988216,历史7/7次成功; 当前距低点2.84%; 最新日涨幅-3.51%; 状态confirmed_rebound; 底部已确认
10,79.84362848559836,79.01605090508824,688308,欧科亿,bottom_area,2024-10-15,17.95,2024-10-14,17.35,3.458213256484137,7.146974063400567,30.09669621273166,True,-2.973,1.2229,3,3,3,100.0,21.77837166597888,40.26548672566372,4.541786743515863,3.458213256484137,历史3/3次成功; 当前距低点3.46%; 最新日涨幅-2.97%; 状态bottom_area; 底部已确认
11,79.83932834102391,74.3121138211382,688166,博瑞医药,bottom_area,2024-10-15,29.6,2024-10-15,29.52,0.2710027100271065,5.758807588075879,28.67842474027543,False,-3.9896,5.0743,1,1,1,100.0,50.993377483443716,50.993377483443716,7.728997289972894,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
