rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.35390547158116,83.75904146026156,000411,英特集团,bottom_area,2023-10-18,11.63,2023-08-24,11.38,2.196836555360281,9.490333919156415,27.974683544303797,True,-2.7592,1.8792,3,3,3,100.0,31.816283905822544,47.98426745329401,7.80316344463972,2.196836555360281,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-2.76%; 状态bottom_area; 底部已确认
2,87.49069872369586,81.12411814567605,002850,科达利,bottom_area,2023-10-18,83.92,2023-10-18,83.06,1.035396099205393,3.5155309414880827,32.3615635179153,False,-1.825,1.1556,3,3,3,100.0,12.60656587023842,13.44718098343773,8.964603900794607,1.035396099205393,历史3/3次成功; 当前距低点1.04%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
3,85.33252721508423,79.77915884944284,000058,深赛格,bottom_area,2023-10-18,6.91,2023-09-22,6.81,1.4684287812041195,7.782672540381795,27.16577540106952,True,-2.4011,1.7669,1,1,1,100.0,34.82352941176472,34.82352941176472,8.53157121879588,1.4684287812041195,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
4,84.4937537390321,76.81250339912009,300437,清水源,bottom_area,2023-10-18,12.02,2023-10-18,12.02,0.0,5.158069883527463,28.367103694874857,False,-4.6788,2.4314,6,6,6,100.0,22.379050532903687,30.330330330330323,10.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
5,83.4712091895036,79.25824692467388,688103,国力电子,bottom_area,2023-10-18,47.07,2023-10-18,46.02,2.281616688396343,3.911342894393736,29.199999999999992,False,-0.8008,0.8823,2,2,2,100.0,34.51791921622336,57.609964966913196,7.718383311603658,2.281616688396343,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
6,81.94451776492946,75.2803551756129,002146,荣盛发展,bottom_area,2023-10-18,1.83,2023-10-18,1.82,0.5494505494505499,2.1978021978021998,27.777777777777775,False,-1.6129,2.0616,3,3,3,100.0,15.070443163226665,19.587628865979376,9.45054945054945,0.5494505494505499,历史3/3次成功; 当前距低点0.55%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
7,81.75411646438867,74.32192405853515,002333,罗普斯金,bottom_area,2023-10-18,5.76,2023-10-18,5.76,0.0,1.9097222222222279,29.841656516443372,False,-2.2071,2.3391,2,2,2,100.0,32.10711859427502,46.728971962616825,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
8,81.68104985374218,74.25549986703834,000798,中水渔业,bottom_area,2023-10-18,8.17,2023-10-18,8.17,0.0,2.5703794369645148,32.4793388429752,False,-2.0384,1.4533,3,3,3,100.0,15.08333261848572,17.3015873015873,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
9,81.43845666210481,74.37794188861987,000663,永安林业,bottom_area,2023-10-18,8.28,2023-10-18,8.26,0.24213075060532172,3.9951573849878943,27.35268249780123,False,-3.3839,1.7984,1,1,1,100.0,50.39215686274511,50.39215686274511,9.75786924939468,0.24213075060532172,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
10,81.40549745144754,76.57619471915886,002177,御银股份,bottom_area,2023-10-18,3.98,2023-09-28,3.91,1.7902813299232694,7.1611253196931015,27.992633517495392,True,-4.0964,5.0521,2,2,2,100.0,15.096968555827523,19.574468085106382,8.20971867007673,1.7902813299232694,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-4.10%; 状态bottom_area; 底部已确认
11,80.59142640037932,73.39219228024618,000014,沙河股份,bottom_area,2023-10-18,11.01,2023-10-18,11.0,0.09090909090908897,2.5454545454545396,30.5993690851735,False,-1.8717,1.8744,2,2,2,100.0,15.964865631822029,20.605355064027936,9.909090909090912,0.09090909090908897,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
