rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.72137105669437,78.64748041274358,600325,华发股份,bottom_area,2023-11-20,7.85,2023-11-16,7.77,1.0296010296010305,3.8610038610038706,29.746835443037984,False,-0.7585,0.7869,1,1,1,100.0,32.553606237816766,32.553606237816766,13.97039897039897,1.0296010296010305,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
2,84.85542515995141,74.8254792003498,600048,保利发展,bottom_area,2023-11-20,10.78,2023-10-30,10.7,0.7476635514018699,5.981308411214959,28.139691067830768,False,-0.5535,0.4995,2,2,2,100.0,31.721247836269217,31.987577639751546,14.252336448598129,0.7476635514018699,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
3,67.36038445552502,64.1283562758097,000928,中钢国际,bottom_area,2023-11-20,6.26,2023-10-23,5.97,4.857621440536014,6.700167504187611,31.06235565819862,False,0.8052,1.5002,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,10.142378559463985,4.857621440536014,历史2/3次成功; 当前距低点4.86%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
4,60.82503594731347,56.65622017131289,605255,天普股份,bottom_area,2023-11-20,18.85,2023-11-17,18.18,3.685368536853695,3.960396039603954,28.000000000000004,False,1.2896,5.5134,1,2,1,50.0,16.069142125480155,16.069142125480155,11.314631463146304,3.685368536853695,历史1/2次成功; 当前距低点3.69%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
