rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.6495565374411,84.22124861703814,002790,瑞尔特,bottom_area,2025-11-13,9.04,2025-11-12,8.88,1.8018018018017834,2.702702702702685,32.829046898638424,False,1.0056,3.8875,1,1,1,100.0,49.512670565302145,49.512670565302145,13.198198198198217,1.8018018018017834,历史1/1次成功; 当前距低点1.80%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
2,91.50205615041364,82.9014441732379,603809,豪能股份,bottom_area,2025-11-13,12.55,2025-11-13,12.28,2.19869706840392,2.6872964169381115,27.764705882352946,False,0.9654,1.6069,2,2,2,100.0,30.615448866660387,31.661442006269603,12.801302931596078,2.19869706840392,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
3,88.43321906100981,77.7653265253178,603759,海天股份,bottom_area,2025-11-13,11.74,2025-11-12,11.67,0.5998286203941755,7.36932305055698,29.14389799635701,False,0.0853,9.8304,1,1,1,100.0,39.90825688073395,39.90825688073395,14.400171379605824,0.5998286203941755,历史1/1次成功; 当前距低点0.60%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
4,86.12772514994279,77.51534215928096,603151,邦基科技,bottom_area,2025-11-13,19.9,2025-11-13,19.54,1.842374616171952,4.298874104401228,27.549128661475713,False,-0.0502,4.2925,1,1,1,100.0,36.42987249544626,36.42987249544626,13.157625383828048,1.842374616171952,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
5,84.032565928001,75.18191735826079,002123,梦网科技,bottom_area,2025-11-13,11.99,2025-11-13,11.81,1.5241320914479228,1.6088060965283615,31.93083573487032,False,0.6717,1.5789,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,13.475867908552077,1.5241320914479228,历史2/3次成功; 当前距低点1.52%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
6,83.50020932703913,74.68784598015569,688631,莱斯信息,bottom_area,2025-11-13,65.15,2025-11-13,64.18,1.511374259894046,5.952009971953869,31.788712934424485,False,-2.4701,6.2429,1,1,1,100.0,17.17085641244142,17.17085641244142,13.488625740105952,1.511374259894046,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
7,80.60519229182036,75.92384809376192,603173,福斯达,bottom_area,2025-11-13,40.4,2025-11-05,38.74,4.284976768198236,4.775425916365517,29.422481326288942,False,1.9944,4.9067,1,1,1,100.0,35.34190927555856,35.34190927555856,10.715023231801762,4.284976768198236,历史1/1次成功; 当前距低点4.28%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
8,78.95689752156379,71.09167167234453,002338,奥普光电,bottom_area,2025-11-13,51.34,2025-11-12,50.4,1.8650793650793747,2.3809523809523867,28.35820895522388,False,0.6469,0.8863,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,13.134920634920624,1.8650793650793747,历史2/3次成功; 当前距低点1.87%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
9,76.03329537636608,72.13918039577845,002678,珠江钢琴,bottom_area,2025-11-13,5.15,2025-11-03,4.92,4.674796747967489,4.878048780487809,29.613733905579405,False,0.7828,1.5625,3,4,3,75.0,23.939338608302766,35.5191256830601,10.32520325203251,4.674796747967489,历史3/4次成功; 当前距低点4.67%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
10,68.9926754858134,64.7184039833478,605398,新炬网络,bottom_area,2025-11-13,29.45,2025-10-13,28.3,4.063604240282681,9.222614840989397,28.172588832487307,True,0.5119,1.0586,2,4,2,50.0,21.523772318238297,22.15700660308142,10.936395759717318,4.063604240282681,历史2/4次成功; 当前距低点4.06%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
11,67.77869803217473,61.022821225439515,002181,粤传媒,bottom_area,2025-11-13,9.85,2025-11-13,9.67,1.8614270941054778,2.6887280248190257,30.879199428162973,False,0.1016,5.0953,1,2,1,50.0,17.187499999999993,17.187499999999993,13.138572905894522,1.8614270941054778,历史1/2次成功; 当前距低点1.86%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
12,66.12513249193645,59.31544054535267,000661,长春高新,bottom_area,2025-11-13,104.46,2025-11-13,102.75,1.6642335766423297,1.761557177615574,27.52345348099034,False,0.9861,1.943,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,13.33576642335767,1.6642335766423297,历史1/3次成功; 当前距低点1.66%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
13,65.02969101612436,61.496794055266136,300563,神宇股份,bottom_area,2025-11-13,38.33,2025-10-23,36.68,4.4983642311886545,6.27044711014176,28.776699029126213,False,0.4192,3.03,2,4,2,50.0,18.72615323858206,20.477137176938378,10.501635768811346,4.4983642311886545,历史2/4次成功; 当前距低点4.50%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
14,50.952123546725765,47.55037757636498,001209,洪兴股份,bottom_area,2025-11-13,22.47,2025-11-13,21.65,3.7875288683602784,6.6974595842956255,29.821717990275538,False,-4.383,18.8063,1,4,1,25.0,21.88679245283018,21.88679245283018,11.21247113163972,3.7875288683602784,历史1/4次成功; 当前距低点3.79%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
