rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.18683435414839,82.67937058562222,603928,兴业股份,bottom_area,2025-07-16,15.78,2025-07-15,15.62,1.0243277848911663,3.008962868117802,29.92373261552266,False,0.0,2.7952,1,1,1,100.0,31.69267707082834,31.69267707082834,8.975672215108835,1.0243277848911663,历史1/1次成功; 当前距低点1.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,88.86602300808997,82.88307272527231,002636,金安国纪,bottom_area,2025-07-16,12.08,2025-07-16,11.92,1.342281879194632,3.523489932885906,28.192771084337352,False,-2.2654,8.9526,2,2,2,100.0,42.49180327868853,69.0,8.657718120805368,1.342281879194632,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
3,86.51203410218972,81.4951369435275,603022,新通联,bottom_area,2025-07-16,10.38,2025-07-15,10.19,1.864573110893045,2.0608439646712546,32.202262142381905,False,1.4663,3.7517,2,2,2,100.0,18.958944281524914,26.099706744868023,8.135426889106956,1.864573110893045,历史2/2次成功; 当前距低点1.86%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
4,85.3380160143818,81.91686252139189,002826,易明医药,bottom_area,2025-07-16,18.03,2025-07-15,17.53,2.8522532800912717,3.3086138049058653,30.73883840379296,False,1.4061,4.7696,1,1,1,100.0,50.0,50.0,7.147746719908729,2.8522532800912717,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
5,84.90634778362423,79.44694320217913,000999,华润三九,bottom_area,2025-07-16,30.88,2025-07-15,30.42,1.51216305062458,2.531229454306376,30.036798528058867,False,0.8491,0.7857,1,1,1,100.0,20.293951384963254,20.293951384963254,8.48783694937542,1.51216305062458,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
6,84.44815997536958,79.34387262796544,301108,洁雅股份,bottom_area,2025-07-16,23.55,2025-07-15,23.15,1.7278617710583248,4.103671706263511,32.32972814966384,False,0.8565,2.0486,1,1,1,100.0,22.383857343969968,22.383857343969968,8.272138228941674,1.7278617710583248,历史1/1次成功; 当前距低点1.73%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
7,83.31498547977438,79.02208993651067,301348,蓝箭电子,bottom_area,2025-07-16,20.23,2025-07-15,19.79,2.2233451237999056,3.183425972713505,29.92209631728045,False,0.4469,3.7118,1,1,1,100.0,26.727509778357234,26.727509778357234,7.776654876200095,2.2233451237999056,历史1/1次成功; 当前距低点2.22%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
8,82.22668027471853,75.99922532487895,002658,雪迪龙,bottom_area,2025-07-16,8.14,2025-07-15,8.07,0.867410161090462,2.8500619578686543,29.581151832460733,False,-1.3333,6.4124,3,3,3,100.0,22.83290587185592,34.81481481481481,9.132589838909539,0.867410161090462,历史3/3次成功; 当前距低点0.87%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
9,80.83547399863023,78.18942928797027,002041,登海种业,bottom_area,2025-07-16,9.84,2025-06-23,9.53,3.2528856243441817,4.931794333683113,29.719764011799416,False,0.9231,0.7289,2,2,2,100.0,18.2043468358871,21.395106715252467,6.747114375655819,3.2528856243441817,历史2/2次成功; 当前距低点3.25%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
10,78.35227680443117,75.32658868893698,002155,湖南黄金,bottom_area,2025-07-16,17.9,2025-06-30,17.39,2.9327199539965383,7.073030477285798,29.28019520130134,True,-1.2141,1.8988,1,1,1,100.0,28.834355828220854,28.834355828220854,7.067280046003463,2.9327199539965383,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
11,78.19570080490804,77.11607574448526,002811,郑中设计,bottom_area,2025-07-16,10.5,2025-06-23,10.07,4.270109235352529,9.632571996027794,31.728813559322035,True,0.3824,2.152,2,2,2,100.0,15.709273124134537,16.78832116788322,5.729890764647472,4.270109235352529,历史2/2次成功; 当前距低点4.27%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
