rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.99219958717721,78.76127526379335,603186,华正新材,bottom_area,2022-04-20,22.51,2022-04-20,22.15,1.625282167042903,4.108352144469527,27.018121911037902,False,0.3567,2.0449,1,1,1,100.0,17.994186046511643,17.994186046511643,8.374717832957097,1.625282167042903,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
2,83.16921363586907,77.25865629420085,002530,金财互联,bottom_area,2022-04-20,7.15,2022-04-18,7.07,1.1315417256011324,8.769448373408771,27.78345250255362,True,-2.3224,5.5141,1,1,1,100.0,17.142857142857135,17.142857142857135,8.868458274398868,1.1315417256011324,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
3,81.47262978097416,76.14264465511604,300386,飞天诚信,bottom_area,2022-04-20,11.2,2022-04-18,11.04,1.449275362318842,7.065217391304358,27.368421052631582,True,-1.9264,2.1772,1,1,1,100.0,15.037593984962406,15.037593984962406,8.550724637681158,1.449275362318842,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
4,80.56928084504494,75.9817061350068,002728,特一药业,bottom_area,2022-04-20,13.25,2022-04-15,13.0,1.9230769230769231,9.230769230769226,27.252378287632904,False,-2.2861,3.6669,2,2,2,100.0,12.507104944205294,14.169139465875372,8.076923076923077,1.9230769230769231,历史2/2次成功; 当前距低点1.92%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
5,80.11094014437526,74.42597991392574,300702,天宇股份,bottom_area,2022-04-20,34.68,2022-04-18,34.29,1.1373578302712177,7.057451151939347,32.01823949246629,True,-4.1724,0.7141,1,1,1,100.0,12.199762187871588,12.199762187871588,8.862642169728781,1.1373578302712177,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-4.17%; 状态bottom_area; 底部已确认
6,79.98412783791039,73.28644300565463,002603,以岭药业,confirmed_rebound,2022-04-20,29.27,2022-04-19,29.15,0.4116638078902264,16.295025728987994,27.10677669417355,True,-9.6884,10.4659,2,2,2,100.0,30.564712299163222,39.661898569570866,9.588336192109773,0.4116638078902264,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-9.69%; 状态confirmed_rebound; 底部已确认
7,79.47464514209221,74.81641387642478,002617,露笑科技,bottom_area,2022-04-20,9.46,2022-04-18,9.29,1.8299246501614825,7.5349838536060405,32.09064327485381,True,-2.8747,1.4488,1,1,1,100.0,12.573344509639565,12.573344509639565,8.170075349838518,1.8299246501614825,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-2.87%; 状态bottom_area; 底部已确认
8,79.22749188838415,76.24402985074626,000889,中嘉博创,bottom_area,2022-04-20,3.45,2022-04-18,3.35,2.9850746268656745,8.358208955223875,32.86573146292585,True,-1.9886,3.0404,1,1,1,100.0,34.408602150537625,34.408602150537625,7.014925373134326,2.9850746268656745,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
9,79.19529421056153,74.75144942410768,002825,纳尔股份,bottom_area,2022-04-20,14.5,2022-04-20,14.22,1.969057665260192,6.39943741209564,32.70231897775674,False,-2.815,4.6809,1,1,1,100.0,23.123123123123136,23.123123123123136,8.030942334739809,1.969057665260192,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
10,79.11587703412457,72.85999009301433,600338,西藏珠峰,bottom_area,2022-04-20,22.28,2022-04-20,22.13,0.677812923633087,7.6818798011748735,27.442622950819672,False,-7.5135,4.249,2,2,2,100.0,30.512922359665453,31.213191990577155,9.322187076366914,0.677812923633087,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-7.51%; 状态bottom_area; 底部未确认
11,78.99173313351339,74.71574064449062,002235,安妮股份,bottom_area,2022-04-20,4.91,2022-04-18,4.81,2.07900207900209,6.6528066528066585,28.101644245142015,False,-2.1912,6.0892,1,1,1,100.0,24.27884615384615,24.27884615384615,7.920997920997911,2.07900207900209,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
12,78.7061225996018,73.04512538246104,601789,宁波建工,bottom_area,2022-04-20,5.6,2022-04-20,5.54,1.0830324909747222,9.566787003610113,29.60609911054638,False,-8.7948,12.0946,1,1,1,100.0,13.303437967115093,13.303437967115093,8.916967509025278,1.0830324909747222,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-8.79%; 状态bottom_area; 底部未确认
13,77.87241599123871,71.83829827849894,688185,康希诺,bottom_area,2022-04-20,182.39,2022-04-20,181.0,0.7679558011049649,3.867403314917127,32.95799688865843,False,-1.3522,1.8812,2,2,2,100.0,15.909879059238028,19.236097367900253,9.232044198895036,0.7679558011049649,历史2/2次成功; 当前距低点0.77%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
14,76.9873781089006,75.65678637183777,688288,鸿泉技术,bottom_area,2022-04-20,20.64,2022-04-18,19.83,4.084720121028757,9.329299041855782,30.51857042747022,True,-0.1934,1.6367,2,2,2,100.0,28.064237891308274,41.992882562277565,5.915279878971244,4.084720121028757,历史2/2次成功; 当前距低点4.08%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
15,76.1251131942405,69.29082587355263,300663,科蓝软件,bottom_area,2022-04-20,15.35,2022-04-20,15.34,0.06518904823989431,6.779661016949147,27.811764705882354,False,-3.0322,3.5941,1,1,1,100.0,20.480951094298856,20.480951094298856,9.934810951760106,0.06518904823989431,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
16,76.11512805919176,72.00079681274897,601700,风范股份,bottom_area,2022-04-20,4.9,2022-04-18,4.8,2.0833333333333446,8.75,27.27272727272727,True,-4.1096,2.4691,1,1,1,100.0,10.756972111553786,10.756972111553786,7.916666666666655,2.0833333333333446,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-4.11%; 状态bottom_area; 底部已确认
17,75.4167864747865,69.08199485199486,002482,广田集团,bottom_area,2022-04-20,2.53,2022-04-20,2.52,0.39682539682538837,5.55555555555556,31.521739130434785,False,-4.5283,2.4614,1,1,1,100.0,23.423423423423422,23.423423423423422,9.603174603174612,0.39682539682538837,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
18,75.21913743081068,73.92194074448871,688131,皓元医药,bottom_area,2022-04-20,141.61,2022-04-15,136.05,4.086732818816613,7.975009187798598,29.066736183524505,True,1.1789,1.5378,1,1,1,100.0,12.955331028981659,12.955331028981659,5.913267181183388,4.086732818816613,历史1/1次成功; 当前距低点4.09%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
19,74.97402193943587,71.59014506769827,002014,永新股份,bottom_area,2022-04-20,6.77,2022-04-18,6.6,2.575757575757575,6.060606060606066,31.606217616580317,False,-2.026,0.3232,1,1,1,100.0,13.563829787234038,13.563829787234038,7.4242424242424265,2.575757575757575,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
20,74.67882465749918,70.82570145414347,000856,冀东装备,bottom_area,2022-04-20,8.29,2022-04-20,8.11,2.219482120838468,6.905055487053027,29.04636920384952,False,-3.1542,5.4668,1,1,1,100.0,15.301724137931036,15.301724137931036,7.7805178791615335,2.219482120838468,历史1/1次成功; 当前距低点2.22%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
21,74.47047513086864,73.84235550931636,002759,天际股份,bottom_area,2022-04-20,24.1,2022-04-18,23.05,4.555314533622563,8.45986984815618,28.61567048621864,True,-1.753,2.0777,2,2,2,100.0,24.07780992460108,27.166666666666668,5.444685466377437,4.555314533622563,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
22,72.76526237310208,72.4954434329018,300724,捷佳伟创,confirmed_rebound,2022-04-20,59.11,2022-04-15,56.4,4.804964539007093,10.301418439716317,31.94980694980695,True,-3.6198,2.4697,3,3,3,100.0,23.660013880849316,30.55368319691865,5.195035460992908,4.804964539007093,历史3/3次成功; 当前距低点4.80%; 最新日涨幅-3.62%; 状态confirmed_rebound; 底部已确认
23,72.74438005235505,66.7544344658138,002374,中锐股份,bottom_area,2022-04-20,4.09,2022-04-20,4.07,0.4914004914004809,5.405405405405399,30.06872852233677,False,-3.0806,5.684,1,1,1,100.0,12.068965517241388,12.068965517241388,9.508599508599518,0.4914004914004809,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
24,71.61375722725403,66.17823620271545,300732,设研院,bottom_area,2022-04-20,12.93,2022-04-20,12.82,0.8580343213728504,8.268330733229332,27.159090909090917,False,-5.0661,3.9798,1,1,1,100.0,13.465346534653477,13.465346534653477,9.141965678627152,0.8580343213728504,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
25,71.43562933201812,69.43496096522355,300424,航新科技,bottom_area,2022-04-20,11.8,2022-04-18,11.4,3.5087719298245648,5.263157894736839,27.848101265822784,False,-0.5897,0.9552,1,1,1,100.0,13.413768630234213,13.413768630234213,6.491228070175437,3.5087719298245648,历史1/1次成功; 当前距低点3.51%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
26,68.18573117448588,68.13969084283532,002218,拓日新能,bottom_area,2022-04-20,4.44,2022-04-18,4.23,4.964539007092197,7.328605200945616,28.30508474576271,True,-1.3333,1.0817,1,1,1,100.0,15.10128913443831,15.10128913443831,5.035460992907803,4.964539007092197,历史1/1次成功; 当前距低点4.96%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
27,60.84118049286665,57.49894570334304,300566,激智科技,bottom_area,2022-04-20,16.55,2022-04-18,16.22,2.034525277435277,8.014796547472262,27.84697508896798,True,-1.4294,0.6016,1,2,1,50.0,13.643351268255191,13.643351268255191,7.965474722564723,2.034525277435277,历史1/2次成功; 当前距低点2.03%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
28,57.50806860165806,53.1878309887766,300339,润和软件,bottom_area,2022-04-20,15.66,2022-04-18,15.52,0.9020618556701068,5.412371134020618,30.403587443946194,False,-2.7933,2.8789,1,2,1,50.0,25.615763546798025,25.615763546798025,9.097938144329893,0.9020618556701068,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
29,56.865867288906294,55.467096753055266,300631,久吾高科,bottom_area,2022-04-20,27.52,2022-04-18,26.54,3.69253956292389,9.2690278824416,32.91203235591507,True,-2.9277,2.0105,1,2,1,50.0,23.04347826086956,23.04347826086956,6.307460437076109,3.69253956292389,历史1/2次成功; 当前距低点3.69%; 最新日涨幅-2.93%; 状态bottom_area; 底部已确认
30,55.89694252873564,50.81540229885058,688189,南新制药,bottom_area,2022-04-20,17.3,2022-04-20,17.3,0.0,3.930635838150287,28.60090796533223,False,-2.2046,0.6158,1,2,1,50.0,14.06130268199233,14.06130268199233,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
