rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.18,72.65,002150,正泰电源,bottom_area,2022-08-03,9.01,2022-08-03,9.01,0.0,5.105438401775815,32.102486812358705,False,-9.99,13.645,1,1,1,100.0,164.87025948103792,164.87025948103792,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
2,84.55579301712278,70.94398886827456,002110,三钢闽光,bottom_area,2022-08-03,5.41,2022-08-03,5.39,0.37105751391466535,2.968460111317257,27.456258411843876,False,-1.9928,0.5864,1,1,1,100.0,22.90322580645161,22.90322580645161,19.628942486085336,0.37105751391466535,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
3,84.17530202328274,70.50970751479032,000619,海螺新材,bottom_area,2022-08-03,7.11,2022-08-03,7.09,0.28208744710861017,6.488011283497884,29.592850049652437,False,-3.0014,4.0418,1,1,1,100.0,29.692832764505106,29.692832764505106,19.71791255289139,0.28208744710861017,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
4,82.96326750927737,70.18429418858577,000715,中兴商业,bottom_area,2022-08-03,4.91,2022-08-03,4.87,0.8213552361396311,4.928131416837787,27.421758569299552,False,-1.6032,2.524,1,1,1,100.0,24.33862433862435,24.33862433862435,19.17864476386037,0.8213552361396311,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
5,69.89538858722061,59.583193317778836,002761,浙江建投,bottom_area,2022-08-03,24.51,2022-08-02,24.21,1.239157372986372,8.756712102437,31.93702558335676,False,-2.0775,3.299,1,3,1,33.33333333333333,43.73730534867976,43.73730534867976,18.76084262701363,1.239157372986372,历史1/3次成功; 当前距低点1.24%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
6,65.59829089232514,55.04462264150942,601015,陕西黑猫,bottom_area,2022-08-03,5.32,2022-08-02,5.3,0.3773584905660465,5.094339622641518,27.1978021978022,False,-1.4815,0.7388,1,4,1,25.0,65.6514382402707,65.6514382402707,19.622641509433954,0.3773584905660465,历史1/4次成功; 当前距低点0.38%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
7,60.78944305789296,53.391654470989394,603069,海汽集团,bottom_area,2022-08-03,25.78,2022-08-02,25.06,2.8731045490822127,8.180367118914608,28.029867892016085,True,-2.5699,4.4292,1,3,1,33.33333333333333,21.284943599803825,21.284943599803825,17.12689545091779,2.8731045490822127,历史1/3次成功; 当前距低点2.87%; 最新日涨幅-2.57%; 状态bottom_area; 底部已确认
