rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.57203891613345,77.76397055752649,603356,华菱精工,bottom_area,2023-04-11,12.21,2023-04-06,11.8,3.474576271186441,7.711864406779662,30.3834808259587,True,-0.2451,0.8208,2,2,2,100.0,31.91400245070737,38.38297872340427,16.52542372881356,3.474576271186441,历史2/2次成功; 当前距低点3.47%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
2,85.16658169207724,71.59125820269776,002329,皇氏集团,bottom_area,2023-04-11,6.36,2023-04-11,6.33,0.4739336492891035,1.8957345971563997,28.635851183765492,False,-0.9346,2.2338,1,1,1,100.0,27.644230769230756,27.644230769230756,19.526066350710895,0.4739336492891035,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
3,84.18750215475002,72.44848576518504,000983,山西焦煤,bottom_area,2023-04-11,10.43,2023-04-11,10.25,1.756097560975607,1.756097560975607,27.715091678420308,False,1.0659,0.7619,2,3,2,66.66666666666666,24.546889986789015,27.212389380530986,18.243902439024396,1.756097560975607,历史2/3次成功; 当前距低点1.76%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,83.39755374297069,73.07745511925859,300530,领湃科技,bottom_area,2023-04-11,23.58,2023-04-06,22.95,2.745098039215682,6.753812636165581,28.393135725429016,False,-1.9135,0.2734,3,4,3,75.0,27.802573379948058,34.07510431154381,17.25490196078432,2.745098039215682,历史3/4次成功; 当前距低点2.75%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
5,80.19950805079439,70.19830657326831,002006,精工科技,bottom_area,2023-04-11,22.18,2023-04-11,21.6,2.685185185185177,4.62962962962963,29.938371715861166,False,-1.4222,1.4904,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,17.314814814814824,2.685185185185177,历史2/3次成功; 当前距低点2.69%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
6,71.11094485878849,60.974926795244166,300763,锦浪科技,bottom_area,2023-04-11,129.0,2023-04-11,127.02,1.5588096362777546,3.416784758305792,28.070672178492558,False,-0.4169,2.0659,1,2,1,50.0,35.693617021276594,35.693617021276594,18.441190363722246,1.5588096362777546,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
7,70.31965268336315,61.414543828264755,603030,全筑股份,bottom_area,2023-04-11,2.0,2023-04-11,1.95,2.5641025641025665,3.076923076923068,31.578947368421055,False,0.5025,3.4313,1,2,1,50.0,27.906976744186036,27.906976744186036,17.435897435897434,2.5641025641025665,历史1/2次成功; 当前距低点2.56%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
8,69.1079345985006,62.578051014390304,002125,湘潭电化,bottom_area,2023-04-11,12.88,2023-04-10,12.32,4.545454545454549,7.629870129870126,29.236071223434806,False,-1.9787,1.832,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,15.454545454545451,4.545454545454549,历史2/3次成功; 当前距低点4.55%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
9,68.17875783282375,58.55990154354315,000887,中鼎股份,bottom_area,2023-04-11,12.31,2023-04-06,12.11,1.6515276630883657,6.853839801816681,28.512396694214885,False,-1.2039,1.9739,1,2,1,50.0,23.84615384615385,23.84615384615385,18.348472336911637,1.6515276630883657,历史1/2次成功; 当前距低点1.65%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
10,64.90234703686659,58.04336096530547,002192,融捷股份,bottom_area,2023-04-11,77.16,2023-04-06,74.29,3.863238659308103,4.118993135011425,29.43579027355623,False,1.4462,3.7827,1,2,1,50.0,25.707231766279197,25.707231766279197,16.136761340691898,3.863238659308103,历史1/2次成功; 当前距低点3.86%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
11,63.92291970633477,54.08690868383176,002347,泰尔股份,bottom_area,2023-04-11,4.85,2023-04-11,4.81,0.8316008316008323,1.4553014553014614,32.06214689265538,False,-0.2058,1.5576,1,2,1,50.0,29.585798816568047,29.585798816568047,19.16839916839917,0.8316008316008323,历史1/2次成功; 当前距低点0.83%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
12,63.013606137515254,55.28602629471175,002520,日发精机,bottom_area,2023-04-11,6.21,2023-04-06,6.04,2.8145695364238397,7.284768211920537,27.316486161251508,True,-2.8169,2.9911,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,17.18543046357616,2.8145695364238397,历史1/3次成功; 当前距低点2.81%; 最新日涨幅-2.82%; 状态bottom_area; 底部已确认
13,62.504544598933606,53.62961585370839,688357,建龙微纳,bottom_area,2023-04-11,93.7,2023-03-30,92.23,1.5938414832483994,6.147674292529548,27.108195684817826,False,-3.3921,1.1034,1,3,1,33.33333333333333,26.291618828932272,26.291618828932272,18.406158516751603,1.5938414832483994,历史1/3次成功; 当前距低点1.59%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
