rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.14462940909253,82.02452589807793,300382,斯莱克,bottom_area,2023-03-29,14.9,2023-03-28,14.8,0.6756756756756733,3.783783783783775,32.788374205267935,False,0.1344,1.3493,3,3,3,100.0,30.403583003325068,49.70059880239522,14.324324324324325,0.6756756756756733,历史3/3次成功; 当前距低点0.68%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
2,88.37975460153817,78.67923965080259,002708,光洋股份,bottom_area,2023-03-29,6.44,2023-03-20,6.36,1.2578616352201268,6.132075471698108,31.759656652360512,False,-1.0753,1.1658,1,1,1,100.0,35.522388059701484,35.522388059701484,13.742138364779871,1.2578616352201268,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
3,87.38049419640572,78.90415658325415,002660,茂硕电源,bottom_area,2023-03-29,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,-0.9804,1.8627,2,2,2,100.0,20.21622144792876,24.71428571428572,12.979797979797983,2.020202020202017,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
4,86.13871255898873,77.74197220201346,002347,泰尔股份,bottom_area,2023-03-29,5.12,2023-03-20,5.02,1.9920318725099708,6.175298804780887,29.09604519774012,False,-0.9671,2.2641,2,2,2,100.0,22.816155222237516,29.585798816568047,13.007968127490027,1.9920318725099708,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
5,84.59845634726993,74.12438894552082,300699,光威复材,bottom_area,2023-03-29,51.92,2023-03-29,51.71,0.4061110036743393,5.182749951653451,29.41577941577942,False,-4.5588,3.6385,2,2,2,100.0,33.98022598870056,49.6271186440678,14.59388899632566,0.4061110036743393,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
6,83.68908101859171,78.10066202630415,300393,中来股份,bottom_area,2023-03-29,14.8,2023-03-20,14.26,3.7868162692847194,7.8541374474053365,27.61421319796954,True,-1.0695,2.3459,3,3,3,100.0,20.884963012222048,23.89610389610389,11.21318373071528,3.7868162692847194,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
7,81.21852674413667,75.83916792387144,601702,华峰铝业,bottom_area,2023-03-29,12.78,2023-03-20,12.31,3.8180341186027524,9.098294069861893,29.212190914318576,True,1.2678,3.1692,1,1,1,100.0,19.96927803379416,19.96927803379416,11.181965881397247,3.8180341186027524,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.27%; 状态bottom_area; 底部已确认
8,81.20727087781904,74.65328636354072,605117,德业股份,bottom_area,2023-03-29,252.3,2023-03-24,245.0,2.9795918367346985,7.591836734693887,28.913390396053963,True,0.2782,2.4402,3,5,3,60.0,39.98255780266574,59.18895599654874,12.0204081632653,2.9795918367346985,历史3/5次成功; 当前距低点2.98%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
9,77.69926860544072,71.33448707631726,688348,昱能科技,bottom_area,2023-03-29,328.29,2023-03-29,319.01,2.908999717877192,5.184790445440588,32.018497208370626,False,-0.8247,6.054,1,1,1,100.0,16.27422813482398,16.27422813482398,12.091000282122808,2.908999717877192,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
10,77.18089699056935,72.61585019700918,605128,上海沿浦,bottom_area,2023-03-29,41.7,2023-03-28,40.01,4.223944013996514,4.39890027493128,32.75630252100841,False,3.0648,2.9045,1,1,1,100.0,16.80883090817863,16.80883090817863,10.776055986003485,4.223944013996514,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
11,71.33164572211491,65.98941109707881,600418,江淮汽车,bottom_area,2023-03-29,13.39,2023-03-20,12.96,3.3179012345678984,10.339506172839505,27.55729457797652,True,-2.2628,2.8277,2,3,2,66.66666666666666,22.244942178639526,24.365079365079367,11.6820987654321,3.3179012345678984,历史2/3次成功; 当前距低点3.32%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
12,70.75574563475936,66.06660746251495,300681,英搏尔,bottom_area,2023-03-29,31.56,2023-03-20,30.4,3.8157894736842115,8.190789473684218,31.22171945701358,True,0.0951,1.9929,2,4,2,50.0,25.734448723198668,27.487589035182385,11.184210526315788,3.8157894736842115,历史2/4次成功; 当前距低点3.82%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
13,61.92490365285727,57.33355776666498,605333,沪光股份,bottom_area,2023-03-29,18.45,2023-03-20,17.85,3.361344537815114,8.403361344537814,30.409356725146193,True,-0.3241,2.3605,1,2,1,50.0,29.01840490797546,29.01840490797546,11.638655462184886,3.361344537815114,历史1/2次成功; 当前距低点3.36%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
14,61.04541790930682,53.35098800437636,603051,鹿山新材,bottom_area,2023-03-29,48.38,2023-03-29,48.25,0.2694300518134768,4.455958549222795,27.985074626865668,False,-2.4793,6.4176,1,2,1,50.0,18.738110336081178,18.738110336081178,14.730569948186522,0.2694300518134768,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
15,58.084555870738924,54.04815689261232,000887,中鼎股份,bottom_area,2023-03-29,12.56,2023-03-20,12.12,3.630363036303641,6.600660066006607,28.45336481700119,False,-0.6329,1.3526,1,2,1,50.0,23.84615384615385,23.84615384615385,11.369636963696358,3.630363036303641,历史1/2次成功; 当前距低点3.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
