rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.51576566201773,86.52866795975945,600246,万通发展,bottom_area,2025-09-29,11.65,2025-09-26,11.4,2.1929824561403506,6.8421052631578885,29.28039702233251,False,2.193,4.9367,3,3,3,100.0,33.379935267523855,64.73317865429235,12.80701754385965,2.1929824561403506,历史3/3次成功; 当前距低点2.19%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
2,91.16167796035255,83.48818263905986,688205,德科立,bottom_area,2025-09-29,120.66,2025-09-29,117.4,2.7768313458262273,3.466780238500846,27.441285537700864,False,0.802,6.5382,3,3,3,100.0,24.19009735238528,35.44761904761904,12.223168654173772,2.7768313458262273,历史3/3次成功; 当前距低点2.78%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
3,87.08388645033979,79.75914559187794,301151,冠龙节能,bottom_area,2025-09-29,20.7,2025-09-29,20.14,2.780536246276061,3.5749751737835096,29.333333333333332,False,1.0742,3.999,1,1,1,100.0,37.520259319286865,37.520259319286865,12.21946375372394,2.780536246276061,历史1/1次成功; 当前距低点2.78%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,87.02621909368033,79.44581128876504,603280,南方路机,bottom_area,2025-09-29,35.45,2025-09-29,34.55,2.6049204052098576,3.560057887120128,27.26315789473685,False,0.1412,11.4188,2,2,2,100.0,17.016289315287736,18.348214285714302,12.395079594790143,2.6049204052098576,历史2/2次成功; 当前距低点2.60%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
5,85.94741960024639,78.3983850931677,301009,可靠股份,bottom_area,2025-09-29,13.21,2025-09-23,12.88,2.5621118012422364,4.5807453416149055,30.566037735849054,False,-0.7513,1.7749,1,1,1,100.0,53.96648044692738,53.96648044692738,12.437888198757763,2.5621118012422364,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
6,84.68362377349217,76.64403923803404,605188,国光连锁,bottom_area,2025-09-29,15.73,2025-09-29,15.4,2.1428571428571432,2.467532467532461,29.032258064516125,False,0.0636,2.8708,3,4,3,75.0,17.12233077284043,19.218749999999993,12.857142857142856,2.1428571428571432,历史3/4次成功; 当前距低点2.14%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
7,83.03364243385289,74.2388172204681,300111,向日葵,bottom_area,2025-09-29,7.5,2025-09-29,7.39,1.488497970230045,9.33694181326117,28.11284046692607,False,-4.2146,23.4974,1,1,1,100.0,24.691358024691343,24.691358024691343,13.511502029769954,1.488497970230045,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
8,79.48904674093033,74.61861959957852,002259,升达林业,bottom_area,2025-09-29,4.06,2025-09-23,3.9,4.102564102564095,9.487179487179478,27.509293680297397,True,2.5253,3.0593,1,1,1,100.0,16.894977168949776,16.894977168949776,10.897435897435905,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅2.53%; 状态bottom_area; 底部已确认
9,75.64064264528969,70.11215091109047,300534,陇神戎发,bottom_area,2025-09-29,9.67,2025-09-23,9.35,3.4224598930481314,5.454545454545452,27.519379844961243,False,0.2073,1.7581,3,5,3,60.0,30.190104662581724,41.58730158730159,11.577540106951869,3.4224598930481314,历史3/5次成功; 当前距低点3.42%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
10,75.57906293458204,71.79715517241377,002269,美邦服饰,bottom_area,2025-09-29,2.43,2025-09-29,2.32,4.741379310344842,6.034482758620696,27.725856697819317,False,2.5316,6.7272,5,8,5,62.5,53.05273729474794,173.50993377483442,10.258620689655157,4.741379310344842,历史5/8次成功; 当前距低点4.74%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
11,74.015,66.81,002097,山河智能,bottom_area,2025-09-29,12.75,2025-09-29,12.5,2.0,3.1200000000000045,28.160919540229877,False,0.7109,5.64,1,2,1,50.0,50.210970464135016,50.210970464135016,13.0,2.0,历史1/2次成功; 当前距低点2.00%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
