rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.11688595534638,84.93908396946566,002687,乔治白,bottom_area,2024-07-25,3.99,2024-07-25,3.93,1.5267175572519098,2.035623409669202,32.82051282051282,False,0.5038,0.6813,1,1,1,100.0,64.00000000000001,64.00000000000001,18.47328244274809,1.5267175572519098,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
2,98.61477081229941,85.42676753001585,000789,万年青,bottom_area,2024-07-25,4.34,2024-07-09,4.25,2.1176470588235263,7.2941176470588145,29.752066115702476,True,1.4019,0.4085,2,2,2,100.0,34.00539152759949,47.599999999999994,17.882352941176475,2.1176470588235263,历史2/2次成功; 当前距低点2.12%; 最新日涨幅1.40%; 状态bottom_area; 底部已确认
3,96.7178428255053,83.09928725532498,001218,丽臣实业,bottom_area,2024-07-25,14.01,2024-07-25,13.78,1.6690856313497853,2.975326560232222,30.404040404040412,False,0.0714,0.8804,2,2,2,100.0,25.18711018711019,29.999999999999993,18.330914368650216,1.6690856313497853,历史2/2次成功; 当前距低点1.67%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
4,96.36262993271873,81.85544650040224,300469,信息发展,bottom_area,2024-07-25,12.56,2024-07-25,12.43,1.0458567980691937,3.4593724859211563,27.900232018561482,False,-0.4754,11.2111,1,1,1,100.0,52.431476569407586,52.431476569407586,18.954143201930805,1.0458567980691937,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
5,96.11806072141576,84.54829415309719,000811,冰轮环境,bottom_area,2024-07-25,8.36,2024-07-24,8.12,2.955665024630545,3.3251231527093763,31.64983164983166,False,1.827,1.0272,3,3,3,100.0,32.0817763938432,47.451868629671566,17.04433497536946,2.955665024630545,历史3/3次成功; 当前距低点2.96%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
6,95.75884148500394,81.24355905840525,000065,北方国际,bottom_area,2024-07-25,9.28,2024-07-25,9.19,0.9793253536452652,2.285092491838965,30.641509433962266,False,0.0,0.5667,3,3,3,100.0,29.926993896325044,41.48061104582843,19.020674646354735,0.9793253536452652,历史3/3次成功; 当前距低点0.98%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,94.81006584158752,83.23412047140988,600973,宝胜股份,bottom_area,2024-07-25,3.25,2024-07-18,3.16,2.84810126582278,4.113924050632908,31.749460043196542,False,0.9317,0.5871,2,2,2,100.0,40.36446966390223,46.551724137931025,17.15189873417722,2.84810126582278,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
8,94.71951752389342,80.67818201155744,300349,金卡智能,bottom_area,2024-07-25,10.17,2024-07-25,10.05,1.1940298507462608,3.084577114427848,32.59557344064386,False,-0.4892,1.1653,1,1,1,100.0,45.48693586698337,45.48693586698337,18.80597014925374,1.1940298507462608,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,91.8403748313389,80.05316953316955,603012,创力集团,bottom_area,2024-07-25,4.17,2024-07-09,4.07,2.457002457002448,6.633906633906624,27.19141323792486,False,1.956,0.7773,1,1,1,100.0,35.13513513513512,35.13513513513512,17.54299754299755,2.457002457002448,历史1/1次成功; 当前距低点2.46%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
10,90.77459438232131,77.31805903418825,001308,康冠科技,bottom_area,2024-07-25,20.34,2024-07-25,20.1,1.1940298507462608,2.487562189054726,32.84330103575008,False,-0.2941,1.6704,1,1,1,100.0,27.421758569299566,27.421758569299566,18.80597014925374,1.1940298507462608,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
11,89.85087352854126,78.44005187370155,300435,中泰股份,bottom_area,2024-07-25,10.49,2024-07-25,10.23,2.5415444770283457,3.714565004887576,27.549575070821525,False,1.3527,0.5698,1,1,1,100.0,27.498781082398814,27.498781082398814,17.458455522971654,2.5415444770283457,历史1/1次成功; 当前距低点2.54%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
12,89.0280674060582,75.18021707670044,601038,一拖股份,bottom_area,2024-07-25,13.92,2024-07-25,13.82,0.7235890014471754,2.3154848046309717,30.726817042606513,False,-0.5714,0.3993,1,1,1,100.0,53.52941176470589,53.52941176470589,19.276410998552826,0.7235890014471754,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
13,88.64580242943937,77.79325164938736,002552,宝鼎科技,bottom_area,2024-07-25,10.91,2024-07-25,10.61,2.827521206409055,3.675777568331768,30.197368421052634,False,-0.0916,1.1307,1,1,1,100.0,52.23596574690771,52.23596574690771,17.172478793590944,2.827521206409055,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
14,87.83696133649283,77.55403128332742,002191,劲嘉股份,bottom_area,2024-07-25,3.59,2024-07-09,3.48,3.160919540229881,8.62068965517241,27.348643006263053,True,0.8427,0.5125,1,1,1,100.0,21.134020618556693,21.134020618556693,16.83908045977012,3.160919540229881,历史1/1次成功; 当前距低点3.16%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
15,87.80076451719303,77.4347499011653,002563,森马服饰,bottom_area,2024-07-25,4.99,2024-07-25,4.84,3.0991735537190155,3.5123966942148748,28.18991097922849,False,2.045,0.6297,1,1,1,100.0,28.929384965831446,28.929384965831446,16.900826446280988,3.0991735537190155,历史1/1次成功; 当前距低点3.10%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
16,87.205022490879,76.9851586368978,000629,钒钛股份,bottom_area,2024-07-25,2.29,2024-07-25,2.22,3.153153153153146,4.504504504504489,32.72727272727272,False,1.3274,0.6432,1,1,1,100.0,27.173913043478265,27.173913043478265,16.846846846846855,3.153153153153146,历史1/1次成功; 当前距低点3.15%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
17,85.77727851534107,76.1180005921027,300686,智动力,bottom_area,2024-07-25,6.32,2024-07-25,6.11,3.436988543371521,4.418985270049093,28.117647058823525,False,-0.158,2.9955,1,1,1,100.0,48.46416382252562,48.46416382252562,16.56301145662848,3.436988543371521,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
