rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,90.39370831081153,80.49378209576683,688055,龙腾光电,bottom_area,2022-10-11,3.98,2022-10-11,3.93,1.2722646310432524,2.7989821882951618,31.052631578947366,False,-0.2506,0.1633,1,1,1,100.0,45.45454545454546,45.45454545454546,13.727735368956747,1.2722646310432524,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
13,90.18896685040477,80.95257968849981,300502,新易盛,bottom_area,2022-10-11,20.36,2022-10-11,20.02,1.6983016983016976,3.746253746253746,31.649026971662682,False,0.2956,1.2432,1,1,1,100.0,30.670470756062763,30.670470756062763,13.3016983016983,1.6983016983016976,历史1/1次成功; 当前距低点1.70%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
14,90.09037105054462,81.10185567010306,002283,天润工业,bottom_area,2022-10-11,4.94,2022-10-10,4.85,1.8556701030927991,4.536082474226818,32.54520166898471,False,1.4374,0.3853,1,1,1,100.0,33.402061855670105,33.402061855670105,13.1443298969072,1.8556701030927991,历史1/1次成功; 当前距低点1.86%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
15,89.9025009810173,81.255390199637,600178,东安动力,bottom_area,2022-10-11,5.92,2022-10-11,5.8,2.0689655172413812,2.413793103448286,28.746928746928752,False,0.0,0.5198,1,1,1,100.0,36.84210526315788,36.84210526315788,12.93103448275862,2.0689655172413812,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,89.61085331293587,82.07630114566285,600135,乐凯胶片,bottom_area,2022-10-11,6.28,2022-10-11,6.11,2.7823240589198024,2.9459901800327284,30.011454753722795,False,1.6181,0.7207,1,1,1,100.0,56.981132075471706,56.981132075471706,12.217675941080197,2.7823240589198024,历史1/1次成功; 当前距低点2.78%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
17,89.57237039996934,80.95270943575716,002281,光迅科技,bottom_area,2022-10-11,14.82,2022-10-11,14.52,2.066115702479344,3.5123966942148748,28.99755501222494,False,0.4746,0.6002,1,1,1,100.0,35.1798561151079,35.1798561151079,12.933884297520656,2.066115702479344,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
18,89.09006156132155,79.97192380528017,603356,华菱精工,bottom_area,2022-10-11,11.95,2022-10-11,11.75,1.7021276595744619,2.8085106382978733,29.724880382775115,False,0.4202,0.9646,1,1,1,100.0,25.445026178010465,25.445026178010465,13.297872340425537,1.7021276595744619,历史1/1次成功; 当前距低点1.70%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
19,88.96395876399541,80.45182492927742,002023,海特高新,bottom_area,2022-10-11,8.27,2022-10-11,8.1,2.098765432098765,2.962962962962966,27.223719676549873,False,0.3641,0.4552,2,2,2,100.0,16.22048448635807,16.49269311064718,12.901234567901234,2.098765432098765,历史2/2次成功; 当前距低点2.10%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
20,88.94358848727876,80.08269365626374,688037,芯源微,bottom_area,2022-10-11,169.91,2022-10-11,166.8,1.8645083932853628,9.682254196642672,31.00595632031766,False,-6.2566,5.2947,3,3,3,100.0,27.38587523093747,34.08866995073892,13.135491606714636,1.8645083932853628,历史3/3次成功; 当前距低点1.86%; 最新日涨幅-6.26%; 状态bottom_area; 底部未确认
21,88.83435729258092,80.54974532793177,302132,中航成飞,bottom_area,2022-10-11,9.12,2022-10-11,8.92,2.242152466367705,2.690582959641258,29.037390612569613,False,0.9967,0.5042,2,2,2,100.0,18.504585759409363,18.763557483731002,12.757847533632294,2.242152466367705,历史2/2次成功; 当前距低点2.24%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
