rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.9792776351571,83.58510320038093,300643,万通智控,bottom_area,2026-03-27,16.59,23.66,2026-03-23,16.2,2.407407407407411,7.839506172839504,31.53000845308538,29.88165680473373,True,0.1207,2.137,2,2,2,100.0,27.655871447687197,31.090289608177173,17.59259259259259,2.407407407407411,历史2/2次成功; 当前距低点2.41%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
2,93.76666992175942,81.87440735541843,301117,佳缘科技,bottom_area,2026-03-27,41.79,59.95,2026-03-24,40.75,2.5521472392638014,6.331288343558278,32.02668890742286,30.291909924937453,False,0.5292,4.5041,2,2,2,100.0,29.426360542687625,31.299904183966788,17.4478527607362,2.5521472392638014,历史2/2次成功; 当前距低点2.55%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,92.31463511879038,79.95992491565693,001391,国货航,bottom_area,2026-03-27,5.32,7.73,2026-03-23,5.21,2.1113243761996223,4.222648752399227,32.60025873221217,31.177231565329883,False,0.3774,1.0701,1,1,1,100.0,30.39647577092513,30.39647577092513,17.888675623800378,2.1113243761996223,历史1/1次成功; 当前距低点2.11%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
4,90.88637856993786,77.25673397025513,601628,中国人寿,bottom_area,2026-03-27,37.32,50.7,2026-03-27,36.92,1.0834236186348825,1.8147345612134391,27.179487179487182,26.390532544378704,False,-1.1129,0.1197,1,1,1,100.0,25.736235595390532,25.736235595390532,18.916576381365118,1.0834236186348825,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
5,89.1132829808599,79.32263712601029,300488,恒锋工具,bottom_area,2026-03-27,26.72,37.8,2026-03-23,25.79,3.6060488561457915,7.987592089957357,31.77248677248677,29.31216931216931,True,1.0208,1.6183,3,4,3,75.0,40.26574472055218,65.52470248827983,16.39395114385421,3.6060488561457915,历史3/4次成功; 当前距低点3.61%; 最新日涨幅1.02%; 状态bottom_area; 底部已确认
6,89.04579564759348,77.7927555382822,600611,大众交通,bottom_area,2026-03-27,4.77,6.6,2026-03-23,4.65,2.5806451612903056,7.3118279569892435,29.545454545454536,27.727272727272727,False,0.0,0.9462,1,1,1,100.0,24.497991967871478,24.497991967871478,17.419354838709694,2.5806451612903056,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,88.52278549773408,80.4925042418682,002413,雷科防务,bottom_area,2026-03-27,12.73,16.71,2026-03-23,12.15,4.77366255144033,7.736625514403288,27.289048473967686,23.81807301017355,True,1.0317,6.7094,2,2,2,100.0,40.034703543828805,51.174934725848566,15.22633744855967,4.77366255144033,历史2/2次成功; 当前距低点4.77%; 最新日涨幅1.03%; 状态bottom_area; 底部已确认
8,88.20131991037897,78.84625033667103,002564,天沃科技,bottom_area,2026-03-27,6.22,8.27,2026-03-27,5.99,3.8397328881469037,4.0066777963272155,27.569528415961297,24.788391777509066,False,1.3029,2.1555,2,2,2,100.0,28.92925441745143,29.903536977491967,16.160267111853095,3.8397328881469037,历史2/2次成功; 当前距低点3.84%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
9,88.15115855655189,78.02973028337315,600843,上工申贝,bottom_area,2026-03-27,9.39,12.64,2026-03-23,9.09,3.3003300330033083,5.830583058305824,28.085443037974688,25.712025316455694,False,1.4039,1.2011,1,1,1,100.0,34.59399332591768,34.59399332591768,16.699669966996694,3.3003300330033083,历史1/1次成功; 当前距低点3.30%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
10,87.68378590108027,77.55610339197997,600592,龙溪股份,bottom_area,2026-03-27,19.65,28.09,2026-03-23,19.03,3.2580136626379264,6.41093011035207,32.25347098611605,30.046279814880744,False,0.5115,0.9304,1,1,1,100.0,31.52889539136796,31.52889539136796,16.741986337362075,3.2580136626379264,历史1/1次成功; 当前距低点3.26%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
11,86.10781279903911,76.03157625668453,605089,味知香,bottom_area,2026-03-27,23.15,33.37,2026-03-27,22.44,3.163992869875211,3.6541889483065964,32.75397063230446,30.626311057836382,False,1.6689,0.8469,1,1,1,100.0,22.180000000000007,22.180000000000007,16.83600713012479,3.163992869875211,历史1/1次成功; 当前距低点3.16%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
12,85.86914017514226,74.19557868646751,603198,迎驾贡酒,bottom_area,2026-03-27,31.97,43.1,2026-03-27,31.35,1.9776714513556535,2.6475279106858,27.262180974477957,25.823665893271468,False,0.7564,0.2341,2,3,2,66.66666666666666,36.655929725224325,39.66017405719024,18.02232854864435,1.9776714513556535,历史2/3次成功; 当前距低点1.98%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
13,84.04201345543093,76.69233167035523,000567,海德股份,bottom_area,2026-03-27,5.28,7.02,2026-03-23,5.03,4.970178926441352,7.355864811133203,28.347578347578338,24.78632478632478,True,1.1494,0.4312,1,1,1,100.0,38.67924528301886,38.67924528301886,15.029821073558649,4.970178926441352,历史1/1次成功; 当前距低点4.97%; 最新日涨幅1.15%; 状态bottom_area; 底部已确认
14,84.03422743734812,76.18856885813149,603150,万朗磁塑,bottom_area,2026-03-27,45.35,60.5,2026-03-24,43.35,4.61361014994233,7.635524798154544,28.34710743801653,25.041322314049587,True,1.0923,1.7002,1,1,1,100.0,31.6,31.6,15.386389850057672,4.61361014994233,历史1/1次成功; 当前距低点4.61%; 最新日涨幅1.09%; 状态bottom_area; 底部已确认
