rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.77423172235515,82.81615386535792,002455,百川股份,bottom_area,2023-05-31,7.75,2023-05-05,7.63,1.572739187418088,7.86369593709044,28.691588785046722,True,-1.8987,0.7795,3,3,3,100.0,19.096769960597644,35.42600896860987,6.4272608125819115,1.572739187418088,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
2,85.981016610999,80.70471536070346,603327,福蓉科技,bottom_area,2023-05-31,11.38,2023-05-30,11.3,0.707964601769912,2.30088495575221,27.096774193548384,False,-0.2629,0.246,4,4,4,100.0,29.510078778165898,52.609776304888165,7.292035398230088,0.707964601769912,历史4/4次成功; 当前距低点0.71%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
3,84.73808793052898,85.27922220933692,688075,安旭生物,bottom_area,2023-05-31,67.45,2023-05-10,64.65,4.33101314771848,7.6566125290023015,30.37906525953047,True,0.9882,2.2564,5,5,5,100.0,27.010388097500325,40.134529147982065,3.6689868522815208,4.33101314771848,历史5/5次成功; 当前距低点4.33%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
4,84.10249254387303,80.81175465475576,600009,上海机场,bottom_area,2023-05-31,46.6,2023-05-31,45.72,1.9247594050743715,2.777777777777785,28.42830306825298,False,-0.2141,0.463,3,3,3,100.0,21.829065044759854,27.704918032786885,6.075240594925629,1.9247594050743715,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
5,84.05541469235239,79.42032473880548,300363,博腾股份,bottom_area,2023-05-31,30.76,2023-05-30,30.44,1.0512483574244424,3.777923784494082,27.01989930472309,False,-1.2837,1.1303,1,1,1,100.0,36.97403760071621,36.97403760071621,6.948751642575559,1.0512483574244424,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
6,83.41795826930345,78.96909632395396,605337,李子园,bottom_area,2023-05-31,17.58,2023-05-31,17.38,1.1507479861910201,3.5097813578826207,32.86983391270761,False,-1.5126,1.9948,2,2,2,100.0,19.101084583169285,26.615384615384624,6.8492520138089805,1.1507479861910201,历史2/2次成功; 当前距低点1.15%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
7,82.34512536512439,77.86801536281128,002567,唐人神,bottom_area,2023-05-31,6.47,2023-05-30,6.4,1.0937499999999907,2.8124999999999956,31.256713211600427,False,-1.372,1.1652,2,2,2,100.0,12.482609477479864,13.8187221396731,6.90625000000001,1.0937499999999907,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
8,81.5567974450942,75.71795036361928,601012,隆基绿能,bottom_area,2023-05-31,28.82,2023-05-31,28.78,0.13898540653231115,2.7449617790132006,30.65060240963855,False,-2.3051,1.5087,3,3,3,100.0,12.391597260822351,14.403553299492398,7.861014593467688,0.13898540653231115,历史3/3次成功; 当前距低点0.14%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
9,81.54176435576353,75.78015841802655,600409,三友化工,bottom_area,2023-05-31,5.24,2023-05-31,5.23,0.19120458891012976,2.485659655831738,29.324324324324323,False,-2.2388,0.7173,3,3,3,100.0,13.366155272804479,18.95551257253386,7.8087954110898705,0.19120458891012976,历史3/3次成功; 当前距低点0.19%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
10,81.46044604202781,77.58404467625397,601388,怡球资源,bottom_area,2023-05-31,2.77,2023-05-30,2.73,1.4652014652014667,3.296703296703291,27.777777777777775,False,-1.0714,0.4346,2,2,2,100.0,15.509161381254394,18.333333333333325,6.534798534798533,1.4652014652014667,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
11,81.31704960920868,77.60017075454704,000792,盐湖股份,bottom_area,2023-05-31,18.79,2023-05-30,18.5,1.567567567567563,2.6486486486486402,29.49695121951219,False,-0.1594,0.2671,2,2,2,100.0,16.850671013984325,24.904214559386965,6.432432432432438,1.567567567567563,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
12,80.61188617827095,75.7101622276863,002570,贝因美,bottom_area,2023-05-31,4.09,2023-05-30,4.06,0.7389162561576417,3.2019704433497735,29.636048526863085,False,-0.7282,0.6637,3,3,3,100.0,19.703716622181236,35.05154639175259,7.2610837438423586,0.7389162561576417,历史3/3次成功; 当前距低点0.74%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
13,80.46161490175314,76.21948984903693,002041,登海种业,bottom_area,2023-05-31,15.38,2023-05-30,15.2,1.1842105263157994,3.4210526315789567,28.30188679245283,False,-0.2594,0.3598,1,1,1,100.0,21.395106715252467,21.395106715252467,6.8157894736842,1.1842105263157994,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
14,79.57467872353205,74.55538509939991,001332,锡装股份,bottom_area,2023-05-31,42.66,2023-05-24,42.4,0.6132075471698066,6.556603773584908,32.290003193867776,False,-0.9519,1.3649,2,2,2,100.0,28.620958639500337,31.086142322097377,7.386792452830193,0.6132075471698066,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
15,79.53292869882942,75.29575323179316,600160,巨化股份,bottom_area,2023-05-31,13.15,2023-05-31,13.0,1.1538461538461564,3.6153846153846203,31.758530183727036,False,-1.7924,0.6305,1,1,1,100.0,16.05657237936772,16.05657237936772,6.846153846153843,1.1538461538461564,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
16,79.18298523059913,74.72284044278861,603290,斯达半导,bottom_area,2023-05-31,218.13,2023-05-31,216.0,0.9861111111111089,4.152777777777778,28.842035908417067,False,-2.0125,1.2646,3,3,3,100.0,17.42566546302117,23.2822670787034,7.013888888888892,0.9861111111111089,历史3/3次成功; 当前距低点0.99%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
17,78.79282576813321,75.52507421278956,688289,圣湘生物,bottom_area,2023-05-31,18.12,2023-05-29,17.8,1.7977528089887655,3.8202247191011214,27.789046653144013,False,-0.3848,0.7621,1,1,1,100.0,25.182530200451346,25.182530200451346,6.202247191011234,1.7977528089887655,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
18,78.59164663852728,76.5932735405366,002251,步步高,bottom_area,2023-05-31,4.63,2023-05-30,4.51,2.660753880266078,3.769401330376939,30.07751937984497,False,0.2165,1.2513,1,1,1,100.0,19.0311418685121,19.0311418685121,5.3392461197339225,2.660753880266078,历史1/1次成功; 当前距低点2.66%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
19,78.3054080293007,72.50500743453767,600955,维远股份,bottom_area,2023-05-31,18.35,2023-05-31,18.35,0.0,2.561307901907351,27.98273155416012,False,-2.3936,0.488,2,2,2,100.0,22.33874964805201,25.969084423305596,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
20,78.10062255164274,76.15977663104513,300758,七彩化学,confirmed_rebound,2023-05-31,9.92,2023-04-26,9.66,2.6915113871635588,9.523809523809524,30.252707581227433,True,-1.0967,0.6534,2,2,2,100.0,23.905497816011056,38.59480269489894,5.308488612836442,2.6915113871635588,历史2/2次成功; 当前距低点2.69%; 最新日涨幅-1.10%; 状态confirmed_rebound; 底部已确认
21,77.58596105795138,72.21474540008558,600935,华塑股份,bottom_area,2023-05-31,3.7,2023-05-31,3.69,0.2710027100271065,1.084010840108402,27.788649706457928,False,-0.8043,0.2603,1,1,1,100.0,28.50877192982458,28.50877192982458,7.728997289972894,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
22,77.36698170101029,72.01713722168513,002132,恒星科技,bottom_area,2023-05-31,3.64,2023-05-30,3.63,0.27548209366391824,1.9283746556473909,29.51456310679612,False,-0.8174,0.5549,2,2,2,100.0,10.834604275477771,11.088295687885012,7.724517906336081,0.27548209366391824,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
23,77.22189726687631,75.37770487574167,600386,北巴传媒,bottom_area,2023-05-31,4.12,2023-05-30,4.01,2.743142144638412,3.491271820448892,29.52548330404219,False,0.0,1.6638,1,1,1,100.0,13.505747126436788,13.505747126436788,5.256857855361588,2.743142144638412,历史1/1次成功; 当前距低点2.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,77.20752773866224,76.05873658133773,002079,苏州固锝,bottom_area,2023-05-31,12.5,2023-05-10,12.11,3.2204789430223006,7.101568951279945,28.512396694214885,True,-0.7937,1.6786,2,2,2,100.0,19.631336405529957,22.488479262672804,4.7795210569777,3.2204789430223006,历史2/2次成功; 当前距低点3.22%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
