rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.33567693077887,77.27115915385023,300382,斯莱克,bottom_area,2023-03-27,15.24,2023-03-27,15.1,0.9271523178807984,2.980132450331133,31.42597638510445,False,-1.6139,1.54,3,3,3,100.0,30.403583003325068,49.70059880239522,14.072847682119201,0.9271523178807984,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
2,83.83814114301688,74.84961086575291,605128,上海沿浦,bottom_area,2023-03-27,40.97,2023-03-27,40.4,1.4108910891089117,2.1287128712871275,32.10084033613445,False,-0.3163,1.3958,1,1,1,100.0,16.80883090817863,16.80883090817863,13.589108910891087,1.4108910891089117,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
3,80.86400609868988,70.61252417036845,000525,红太阳,bottom_area,2023-03-27,8.92,2023-03-21,8.9,0.22471910112359073,7.191011235955043,29.75532754538279,True,-4.086,1.9717,1,1,1,100.0,20.348837209302317,20.348837209302317,14.775280898876408,0.22471910112359073,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-4.09%; 状态bottom_area; 底部已确认
4,79.7520400858598,72.51547191773209,688348,昱能科技,bottom_area,2023-03-27,341.3,2023-03-24,333.33,2.3910239102391104,5.832058320583205,28.966884030175173,False,-0.1317,6.5137,1,1,1,100.0,16.27422813482398,16.27422813482398,12.60897608976089,2.3910239102391104,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
5,78.80148976868884,74.0422037213013,002660,茂硕电源,bottom_area,2023-03-27,9.28,2023-03-20,8.91,4.152637485970811,7.519640852974185,28.31858407079646,True,-2.4185,4.8659,2,2,2,100.0,20.21622144792876,24.71428571428572,10.847362514029188,4.152637485970811,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
6,77.08870309558772,69.78015049148007,688221,前沿生物,bottom_area,2023-03-27,13.3,2023-03-20,13.02,2.150537634408611,8.525345622119824,30.00000000000001,True,-0.6721,2.3122,3,5,3,60.0,26.09342095662206,34.87394957983194,12.849462365591387,2.150537634408611,历史3/5次成功; 当前距低点2.15%; 最新日涨幅-0.67%; 状态bottom_area; 底部已确认
7,75.97982144832173,71.88221060492906,002645,华宏科技,bottom_area,2023-03-27,15.49,2023-03-20,14.82,4.520917678812415,4.723346828609982,29.22636103151863,False,2.9236,2.0185,1,1,1,100.0,16.50485436893203,16.50485436893203,10.479082321187585,4.520917678812415,历史1/1次成功; 当前距低点4.52%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
8,75.7526082640899,71.5094283300479,002708,光洋股份,bottom_area,2023-03-27,6.64,2023-03-20,6.36,4.40251572327043,6.132075471698108,31.759656652360512,False,-1.1905,1.7151,1,1,1,100.0,35.522388059701484,35.522388059701484,10.597484276729569,4.40251572327043,历史1/1次成功; 当前距低点4.40%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
9,75.49038020501325,70.91830683532552,601702,华峰铝业,bottom_area,2023-03-27,12.82,2023-03-20,12.31,4.1429731925264,9.098294069861893,29.212190914318576,True,-1.8377,3.6531,1,1,1,100.0,19.96927803379416,19.96927803379416,10.857026807473598,4.1429731925264,历史1/1次成功; 当前距低点4.14%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
10,71.79556579581033,67.7501190543746,600399,抚顺特钢,bottom_area,2023-03-27,11.43,2023-03-27,10.95,4.383561643835621,5.9360730593607345,28.84990253411307,False,-1.21,3.9392,1,1,1,100.0,15.078707539353772,15.078707539353772,10.616438356164378,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
11,65.07592139882354,61.136607462514945,300681,英搏尔,bottom_area,2023-03-27,31.66,2023-03-20,30.4,4.144736842105268,8.190789473684218,31.22171945701358,True,-1.1243,1.5232,2,4,2,50.0,25.734448723198668,27.487589035182385,10.855263157894731,4.144736842105268,历史2/4次成功; 当前距低点4.14%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
12,58.76295994771326,55.78261233815689,000887,中鼎股份,bottom_area,2023-03-27,12.69,2023-03-20,12.12,4.702970297029705,6.600660066006607,28.45336481700119,False,0.6344,0.9568,1,2,1,50.0,23.84615384615385,23.84615384615385,10.297029702970296,4.702970297029705,历史1/2次成功; 当前距低点4.70%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
