rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.5023447171771,79.6773682007968,002755,奥赛康,bottom_area,2025-09-23,20.82,2025-09-23,20.44,1.8590998043052789,5.088062622309193,28.75566399442314,False,-2.7103,0.7757,2,2,2,100.0,31.59202018609052,32.35294117647059,13.140900195694721,1.8590998043052789,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
2,86.906225167061,78.92944099378884,301009,可靠股份,bottom_area,2025-09-23,13.18,2025-09-23,12.88,2.3291925465838426,4.5807453416149055,30.566037735849054,False,-1.4211,3.2977,1,1,1,100.0,53.96648044692738,53.96648044692738,12.670807453416158,2.3291925465838426,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
3,84.04399035338243,76.43692328736182,301151,冠龙节能,bottom_area,2025-09-23,20.87,2025-09-23,20.38,2.4043179587831305,5.004906771344453,28.49122807017544,False,-2.1107,7.6113,1,1,1,100.0,37.520259319286865,37.520259319286865,12.595682041216868,2.4043179587831305,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
4,81.40977961148623,74.03009220246466,002651,利君股份,bottom_area,2025-09-23,11.11,2025-09-23,10.85,2.3963133640552976,5.806451612903233,28.09807819748178,False,-2.2867,4.0709,3,4,3,75.0,28.648853078014685,41.96642685851319,12.603686635944703,2.3963133640552976,历史3/4次成功; 当前距低点2.40%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
5,81.08850525204862,72.54396969439372,600259,中稀有色,bottom_area,2025-09-23,53.39,2025-09-23,52.59,1.5212017493820063,6.750332762882671,30.122242891310126,False,-4.4047,4.537,1,1,1,100.0,15.980159585939194,15.980159585939194,13.478798250617993,1.5212017493820063,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-4.40%; 状态bottom_area; 底部未确认
6,80.89118306010728,74.52969317839509,300192,科德教育,bottom_area,2025-09-23,19.29,2025-09-09,18.71,3.0999465526456347,8.177445216461772,32.649388048956084,True,-1.5314,8.4919,1,1,1,100.0,26.599845797995382,26.599845797995382,11.900053447354363,3.0999465526456347,历史1/1次成功; 当前距低点3.10%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
7,80.43821405052014,73.91252709990827,300645,正元智慧,bottom_area,2025-09-23,17.42,2025-09-23,16.92,2.9550827423167845,5.319148936170204,32.129963898916955,False,-2.3543,5.029,1,1,1,100.0,30.699547055863096,30.699547055863096,12.044917257683215,2.9550827423167845,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
8,79.16066537767874,72.99189517221879,300528,幸福蓝海,bottom_area,2025-09-23,23.31,2025-09-23,22.6,3.14159292035397,6.548672566371668,32.73809523809524,False,-3.0366,10.4107,2,2,2,100.0,21.584553928095872,23.169107856191747,11.85840707964603,3.14159292035397,历史2/2次成功; 当前距低点3.14%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
9,78.12813636363636,67.93750988142293,603848,好太太,bottom_area,2025-09-23,24.46,2025-09-23,24.46,0.0,9.403107113654949,28.667249927092442,False,-10.0074,1.5493,1,1,1,100.0,24.664031620553352,24.664031620553352,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
10,77.16612168346889,71.06708113804007,002259,升达林业,bottom_area,2025-09-23,4.02,2025-09-23,3.9,3.076923076923068,5.641025641025646,27.509293680297397,False,-2.4272,2.1722,1,1,1,100.0,16.894977168949776,16.894977168949776,11.92307692307693,3.076923076923068,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
11,76.93191635191053,69.34605465440599,300534,陇神戎发,bottom_area,2025-09-23,9.53,2025-09-23,9.35,1.9251336898395692,3.850267379679157,27.519379844961243,False,-2.0555,2.4337,3,5,3,60.0,30.190104662581724,41.58730158730159,13.074866310160429,1.9251336898395692,历史3/5次成功; 当前距低点1.93%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
