rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.49697253199592,83.72734114526303,002041,登海种业,bottom_area,2025-09-08,9.68,2025-06-23,9.53,1.5739769150052505,7.345225603357829,29.719764011799416,True,0.4149,1.6383,2,2,2,100.0,18.2043468358871,21.395106715252467,13.426023084994748,1.5739769150052505,历史2/2次成功; 当前距低点1.57%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
2,83.41560343383462,74.68339150412191,302132,中航成飞,bottom_area,2025-09-08,81.25,2025-09-08,80.0,1.5625,3.687500000000003,27.140255009107467,False,-1.789,3.371,3,4,3,75.0,21.94027690388128,28.81165919282512,13.4375,1.5625,历史3/4次成功; 当前距低点1.56%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
3,79.61173682538949,75.01554621596674,300645,正元智慧,bottom_area,2025-09-08,18.9,2025-09-05,18.12,4.304635761589391,4.74613686534216,27.3164861612515,False,0.7463,4.9323,1,1,1,100.0,30.699547055863096,30.699547055863096,10.69536423841061,4.304635761589391,历史1/1次成功; 当前距低点4.30%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
4,79.5270986995377,74.45999256723228,688347,华虹公司,bottom_area,2025-09-08,70.05,2025-09-05,67.38,3.9626001780943927,8.029088750371047,28.258091993185698,False,-2.9106,7.4281,1,1,1,100.0,45.99312351229833,45.99312351229833,11.037399821905607,3.9626001780943927,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
5,76.83386665235791,71.53725284708955,300192,科德教育,bottom_area,2025-09-08,19.53,2025-09-05,18.84,3.662420382165612,5.732484076433131,32.18142548596112,False,-1.0137,7.5642,1,1,1,100.0,26.599845797995382,26.599845797995382,11.337579617834386,3.662420382165612,历史1/1次成功; 当前距低点3.66%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
6,76.73040879857322,70.91194954248141,603280,南方路机,bottom_area,2025-09-08,42.4,2025-09-04,41.06,3.2635168046760747,5.138821237213832,30.875420875420872,False,-1.5556,11.8683,1,1,1,100.0,18.348214285714302,18.348214285714302,11.736483195323924,3.2635168046760747,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
7,76.27308386805402,72.7602502793007,300510,金冠股份,bottom_area,2025-09-08,4.65,2025-09-03,4.43,4.966139954853288,4.966139954853288,30.01579778830964,False,1.7505,5.6442,3,4,3,75.0,30.849727829925854,40.000000000000014,10.033860045146712,4.966139954853288,历史3/4次成功; 当前距低点4.97%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
8,76.12383419147821,72.27949497066982,688552,航天南湖,bottom_area,2025-09-08,34.2,2025-09-04,32.66,4.7152480097979375,9.920391916717705,28.860814637333913,False,1.0041,7.4561,1,1,1,100.0,21.02290555381236,21.02290555381236,10.284751990202063,4.7152480097979375,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
9,72.57810445717188,67.44710013461052,688011,新光光电,bottom_area,2025-09-08,34.9,2025-09-08,33.7,3.5608308605341117,4.2729970326409425,30.010384215991685,False,0.1147,3.0927,3,5,3,60.0,17.558034928109123,19.069767441860456,11.439169139465887,3.5608308605341117,历史3/5次成功; 当前距低点3.56%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
10,71.20596344459243,65.82738446963448,603256,宏和科技,bottom_area,2025-09-08,35.26,2025-09-04,34.14,3.280609256004679,10.63268892794377,28.277310924369747,True,-3.2647,2.3734,3,5,3,60.0,28.909535340457776,47.511312217194565,11.71939074399532,3.280609256004679,历史3/5次成功; 当前距低点3.28%; 最新日涨幅-3.26%; 状态bottom_area; 底部已确认
11,70.78067574482263,64.01608901862745,002256,兆新股份,bottom_area,2025-09-08,2.91,2025-09-05,2.85,2.1052631578947385,6.666666666666665,28.571428571428577,False,-1.3559,13.7944,4,8,4,50.0,25.4090807453089,31.775700934579426,12.894736842105262,2.1052631578947385,历史4/8次成功; 当前距低点2.11%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
