rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.36833615546654,77.6622269533745,301386,未来电器,bottom_area,2023-07-31,27.13,2023-07-28,26.84,1.080476900149028,2.2727272727272707,28.13922356091031,False,-0.1105,10.4491,1,1,1,100.0,27.880184331797242,27.880184331797242,18.919523099850974,1.080476900149028,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
2,89.30819517600217,76.43921909440141,688143,长盈通,bottom_area,2023-07-31,30.59,2023-07-31,30.15,1.4593698175787773,3.2504145936981774,27.85355348169419,False,-0.5527,2.0369,1,1,1,100.0,25.949367088607595,25.949367088607595,18.540630182421225,1.4593698175787773,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
3,88.53402580748349,75.85078053731029,300515,三德科技,bottom_area,2023-07-31,13.42,2023-07-28,13.22,1.5128593040847147,2.7987897125567263,27.162534435261698,False,-0.4451,1.2686,1,1,1,100.0,23.441396508728182,23.441396508728182,18.487140695915286,1.5128593040847147,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
4,80.36902070613348,73.12469598555712,002045,国光电器,bottom_area,2023-07-31,13.95,2023-07-28,13.31,4.808414725770088,6.386175807663408,27.937195452084456,False,2.8003,3.6341,3,4,3,75.0,30.875707313510432,33.77563329312426,15.191585274229913,4.808414725770088,历史3/4次成功; 当前距低点4.81%; 最新日涨幅2.80%; 状态bottom_area; 底部未确认
5,79.83591900733884,72.62850965250965,002219,新里程,bottom_area,2023-07-31,3.93,2023-07-28,3.75,4.800000000000004,6.400000000000006,27.884615384615387,False,0.0,0.8036,1,1,1,100.0,23.938223938223942,23.938223938223942,15.199999999999998,4.800000000000004,历史1/1次成功; 当前距低点4.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,79.69007591038825,71.48566757382785,002755,奥赛康,bottom_area,2023-07-31,8.26,2023-07-17,7.94,4.030226700251881,6.171284634760696,28.853046594982075,False,-1.432,0.4136,1,1,1,100.0,30.831099195710454,30.831099195710454,15.96977329974812,4.030226700251881,历史1/1次成功; 当前距低点4.03%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
7,73.95506232436553,64.08626488075167,000037,深南电A,bottom_area,2023-07-31,10.52,2023-07-31,10.3,2.135922330097076,2.815533980582516,30.311231393775362,False,0.286,3.924,2,6,2,33.33333333333333,39.8001852690304,45.16765285996055,17.864077669902926,2.135922330097076,历史2/6次成功; 当前距低点2.14%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
8,68.90005577042211,58.8380507523953,688095,福昕软件,bottom_area,2023-07-31,99.42,2023-07-31,98.11,1.3352359596371444,5.279787993069012,27.325925925925926,False,-4.2565,6.2943,1,2,1,50.0,31.679509356817103,31.679509356817103,18.664764040362858,1.3352359596371444,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
9,64.4594468717562,54.62717626104217,688320,禾川科技,bottom_area,2023-07-31,35.18,2023-07-31,34.86,0.9179575444635694,4.67584624211131,31.3374039787276,False,-1.4842,4.1663,1,2,1,50.0,33.54902936784469,33.54902936784469,19.08204245553643,0.9179575444635694,历史1/2次成功; 当前距低点0.92%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
10,64.05471976341764,54.8687147228834,002829,星网宇达,bottom_area,2023-07-31,31.06,2023-07-28,30.6,1.5032679738562003,2.7450980392156854,31.6506589233862,False,-0.3849,2.2941,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,18.4967320261438,1.5032679738562003,历史1/3次成功; 当前距低点1.50%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
11,63.74942574976457,55.97163344858542,002403,爱仕达,bottom_area,2023-07-31,8.65,2023-07-28,8.41,2.8537455410225947,3.091557669441139,32.61217948717949,False,0.4646,1.8734,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,17.146254458977406,2.8537455410225947,历史1/3次成功; 当前距低点2.85%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
12,63.68212403642719,56.20418106892515,688027,国盾量子,bottom_area,2023-07-31,140.97,2023-07-28,136.68,3.138718173836693,3.7167105648229324,27.096223597183695,False,0.9452,0.8277,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,16.861281826163307,3.138718173836693,历史1/3次成功; 当前距低点3.14%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
13,61.66838436824347,55.10262587947915,688322,奥比中光,bottom_area,2023-07-31,34.56,2023-07-28,33.29,3.8149594472814754,5.407029137879256,27.6304347826087,False,2.0975,1.6714,1,3,1,33.33333333333333,28.749462827675128,28.749462827675128,16.185040552718526,3.8149594472814754,历史1/3次成功; 当前距低点3.81%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
14,60.30060207009212,50.61060304037047,603033,三维股份,bottom_area,2023-07-31,15.46,2023-07-31,15.4,0.3896103896103928,3.1168831168831197,28.60454334724154,False,-1.1509,0.218,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,19.610389610389607,0.3896103896103928,历史1/3次成功; 当前距低点0.39%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
15,58.310547400077255,51.643657163469136,300342,天银机电,bottom_area,2023-07-31,11.48,2023-07-28,11.11,3.330333033303339,4.230423042304237,28.368794326241137,False,-0.087,4.5173,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,16.66966696669666,3.330333033303339,历史1/3次成功; 当前距低点3.33%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
