rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.98202907528031,83.46661404995301,603319,美湖股份,bottom_area,2024-12-30,20.43,2024-12-30,20.1,1.6417910447761106,6.41791044776119,28.36778332145402,False,-3.8588,4.8324,4,4,4,100.0,26.182245333561973,43.981481481481474,8.358208955223889,1.6417910447761106,历史4/4次成功; 当前距低点1.64%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
2,87.58487644046447,83.73315147271937,000691,亚太实业,bottom_area,2024-12-30,3.5,2024-12-26,3.41,2.63929618768328,8.504398826979473,30.691056910569102,True,-3.5813,4.6107,4,4,4,100.0,30.64917623998521,76.05633802816902,7.360703812316721,2.63929618768328,历史4/4次成功; 当前距低点2.64%; 最新日涨幅-3.58%; 状态bottom_area; 底部已确认
3,87.19897241746298,83.35884581261229,002178,延华智能,bottom_area,2024-12-30,6.23,2024-12-25,6.07,2.6359143327841865,8.237232289950576,29.663962920046355,True,-2.044,3.1637,5,5,5,100.0,18.38027145892594,29.076086956521735,7.364085667215814,2.6359143327841865,历史5/5次成功; 当前距低点2.64%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
4,86.99937952397549,81.83109955225419,002146,荣盛发展,bottom_area,2024-12-30,1.71,2024-12-30,1.68,1.7857142857142874,5.952380952380958,29.707112970711304,False,-4.4693,5.0345,5,5,5,100.0,19.153377009047105,33.33333333333333,8.214285714285714,1.7857142857142874,历史5/5次成功; 当前距低点1.79%; 最新日涨幅-4.47%; 状态bottom_area; 底部未确认
5,86.1271654625519,80.25330643814314,000536,华映科技,bottom_area,2024-12-30,4.7,2024-12-30,4.64,1.2931034482758728,5.603448275862084,29.483282674772042,False,-2.0833,2.5269,3,3,3,100.0,11.083775807592168,11.280487804878053,8.706896551724128,1.2931034482758728,历史3/3次成功; 当前距低点1.29%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
6,84.65649261635048,84.05967352523736,300720,海川智能,bottom_area,2024-12-30,18.31,2024-12-26,17.5,4.628571428571422,9.199999999999998,27.476170741815164,True,-2.8132,2.5463,4,4,4,100.0,46.57428162569997,75.69193742478939,5.371428571428578,4.628571428571422,历史4/4次成功; 当前距低点4.63%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
7,84.43342273915228,80.91666019970364,600327,大东方,bottom_area,2024-12-30,5.2,2024-12-25,5.06,2.7667984189723436,7.1146245059288615,30.494505494505503,True,-2.2556,3.8374,3,3,3,100.0,23.521293521293522,33.030303030303024,7.233201581027656,2.7667984189723436,历史3/3次成功; 当前距低点2.77%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
8,84.42139871206633,79.29327301782915,300355,蒙草生态,bottom_area,2024-12-30,5.35,2024-12-25,5.26,1.711026615969579,7.604562737642592,29.58500669344043,False,-1.6544,3.3805,2,2,2,100.0,27.711901624945106,33.201581027668,8.28897338403042,1.711026615969579,历史2/2次成功; 当前距低点1.71%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
9,83.80783525625054,81.15328843817926,002836,新宏泽,bottom_area,2024-12-30,7.49,2024-12-25,7.25,3.31034482758621,7.5862068965517215,27.500000000000004,True,-2.7273,1.9284,3,3,3,100.0,31.456315296106556,59.30851063829788,6.689655172413792,3.31034482758621,历史3/3次成功; 当前距低点3.31%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
10,83.66347567811934,77.70068571428571,002016,世荣兆业,bottom_area,2024-12-30,6.32,2024-12-25,6.25,1.1200000000000045,3.840000000000003,28.160919540229877,False,-1.8634,0.6182,1,1,1,100.0,28.571428571428566,28.571428571428566,8.879999999999995,1.1200000000000045,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
11,83.08927224691807,79.72981836186587,603256,宏和科技,bottom_area,2024-12-30,8.71,2024-12-25,8.47,2.833530106257381,8.264462809917346,30.45977011494252,True,-1.693,0.7763,3,3,3,100.0,17.958424753401612,22.318339100346023,7.166469893742619,2.833530106257381,历史3/3次成功; 当前距低点2.83%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
