rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.43593262949622,80.76805634803,300712,永福股份,confirmed_rebound,2025-04-07,19.67,2025-04-07,19.46,1.0791366906474864,18.191161356628978,29.107468123861562,False,-19.1533,2.4731,4,4,4,100.0,14.991870982291754,25.401730531520393,6.920863309352514,1.0791366906474864,历史4/4次成功; 当前距低点1.08%; 最新日涨幅-19.15%; 状态confirmed_rebound; 底部未确认
2,85.08596830951703,80.92360557578144,300340,科恒股份,confirmed_rebound,2025-04-07,8.01,2025-04-07,7.9,1.392405063291132,17.341772151898724,29.652715939447905,False,-18.845,5.823,4,4,4,100.0,19.66822107572696,42.54473161033797,6.607594936708868,1.392405063291132,历史4/4次成功; 当前距低点1.39%; 最新日涨幅-18.84%; 状态confirmed_rebound; 底部未确认
3,85.05811897688518,80.52589742943165,300631,久吾高科,confirmed_rebound,2025-04-07,17.54,2025-04-07,17.34,1.1534025374855783,19.72318339100347,27.020202020202028,False,-19.0959,3.3441,4,4,4,100.0,14.600296854294406,23.04347826086956,6.8465974625144215,1.1534025374855783,历史4/4次成功; 当前距低点1.15%; 最新日涨幅-19.10%; 状态confirmed_rebound; 底部未确认
4,84.91507096156417,81.41910921016715,300473,德尔股份,confirmed_rebound,2025-04-07,23.01,2025-04-07,22.6,1.8141592920353988,16.28318584070796,30.26843566800369,False,-18.0264,8.7492,4,4,4,100.0,27.502109655956186,58.77022653721684,6.185840707964601,1.8141592920353988,历史4/4次成功; 当前距低点1.81%; 最新日涨幅-18.03%; 状态confirmed_rebound; 底部未确认
5,84.82870422441938,80.55609848253256,688127,蓝特光学,confirmed_rebound,2025-04-07,20.83,2025-04-07,20.56,1.3132295719844338,12.159533073929962,30.8675184936113,False,-18.9494,4.0705,4,4,4,100.0,16.721838207833606,34.095940959409596,6.686770428015566,1.3132295719844338,历史4/4次成功; 当前距低点1.31%; 最新日涨幅-18.95%; 状态confirmed_rebound; 底部未确认
6,84.77966523314447,80.24067013523609,300556,丝路视觉,confirmed_rebound,2025-04-07,15.09,2025-04-07,14.92,1.13941018766756,18.632707774798924,32.85328532853285,False,-19.0451,8.2053,4,4,4,100.0,12.895297651172626,16.233354470513625,6.8605898123324405,1.13941018766756,历史4/4次成功; 当前距低点1.14%; 最新日涨幅-19.05%; 状态confirmed_rebound; 底部未确认
7,84.53873573507741,78.35849139982079,300644,南京聚隆,confirmed_rebound,2025-04-07,18.43,2025-04-07,18.42,0.05428881650378941,16.612377850162858,27.136075949367083,False,-19.9392,7.2938,3,3,3,100.0,45.97994570671739,78.38246409674981,7.945711183496211,0.05428881650378941,历史3/3次成功; 当前距低点0.05%; 最新日涨幅-19.94%; 状态confirmed_rebound; 底部未确认
8,84.020902986637,77.79713239503425,002530,金财互联,bottom_area,2025-04-07,8.85,2025-04-07,8.85,0.0,4.971751412429374,29.200000000000003,False,-9.9695,2.5364,4,4,4,100.0,27.67275481201206,54.814814814814795,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
9,83.91327870237116,77.69748027997329,002536,飞龙股份,bottom_area,2025-04-07,13.09,2025-04-07,13.09,0.0,2.902979373567615,28.58701582105837,False,-9.9725,1.3958,4,4,4,100.0,27.136990752544577,55.505617977528075,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
10,83.58986039096894,77.39801888052679,000829,天音控股,bottom_area,2025-04-07,9.61,2025-04-07,9.61,0.0,5.098855359001043,30.76368876080692,False,-10.0187,1.7887,5,5,5,100.0,25.52698322863862,46.4765100671141,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
11,83.19736965269257,77.03460153027089,002137,实益达,bottom_area,2025-04-07,6.93,2025-04-07,6.93,0.0,3.03030303030303,27.052631578947373,False,-10.0,2.3652,3,3,3,100.0,40.23979317349941,89.3034825870647,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
