rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.80251967060548,79.05515254237288,688621,阳光诺和,bottom_area,2025-10-17,60.1,2025-10-14,59.0,1.8644067796610195,8.322033898305078,31.355439208842352,True,-3.3917,3.365,1,1,1,100.0,46.0,46.0,13.135593220338981,1.8644067796610195,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-3.39%; 状态bottom_area; 底部已确认
2,84.573879380593,76.04781390134528,002269,美邦服饰,bottom_area,2025-10-17,2.27,2025-10-13,2.23,1.793721973094172,8.520179372197308,30.529595015576323,True,-1.7316,3.4299,5,8,5,62.5,53.05273729474794,173.50993377483442,13.206278026905826,1.793721973094172,历史5/8次成功; 当前距低点1.79%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
3,83.71762280573236,76.91248916361991,301151,冠龙节能,bottom_area,2025-10-17,19.92,2025-10-13,19.35,2.9457364341085284,8.21705426356589,32.10526315789473,True,-2.1611,1.0992,1,1,1,100.0,37.520259319286865,37.520259319286865,12.054263565891471,2.9457364341085284,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
4,83.59630298868265,73.38891126903066,600706,曲江文旅,bottom_area,2025-10-17,9.85,2025-10-13,9.8,0.5102040816326422,4.59183673469387,31.420573827851634,False,-1.3026,4.0447,2,2,2,100.0,21.086970834156286,24.578313253012034,14.489795918367356,0.5102040816326422,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
5,83.559339169185,75.6368586982572,300049,福瑞医科,bottom_area,2025-10-17,66.51,2025-10-13,65.11,2.1502073414222176,8.692981108892637,28.19805910895457,True,-2.478,2.476,1,1,1,100.0,20.910384068278802,20.910384068278802,12.849792658577783,2.1502073414222176,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
6,83.38573770944511,75.98049578046553,300056,中创环保,bottom_area,2025-10-17,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,-0.5607,2.4183,1,1,1,100.0,27.10472279260781,27.10472279260781,12.495183044315993,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.56%; 状态bottom_area; 底部已确认
7,81.391534416728,71.78368307656189,688603,天承科技,bottom_area,2025-10-17,65.21,2025-10-17,64.72,0.7571075401730453,6.242274412855387,27.976852882261294,False,-4.9417,3.0909,1,1,1,100.0,42.364990689013034,42.364990689013034,14.242892459826953,0.7571075401730453,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
8,80.36162118227855,70.16483960111633,688662,富信科技,bottom_area,2025-10-17,41.4,2025-10-17,41.31,0.21786492374726774,6.4875332849189045,28.529411764705877,False,-5.3714,2.3653,1,1,1,100.0,27.051460361613344,27.051460361613344,14.78213507625273,0.21786492374726774,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-5.37%; 状态bottom_area; 底部未确认
9,79.43758527188915,69.71281749930624,301137,哈焊华通,bottom_area,2025-10-17,42.99,2025-10-17,42.78,0.4908835904628351,10.565684899485731,27.491525423728813,False,-6.9078,8.9908,1,1,1,100.0,27.967914438502678,27.967914438502678,14.509116409537166,0.4908835904628351,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-6.91%; 状态bottom_area; 底部未确认
10,78.36674474889863,72.46226461565588,002148,北纬科技,bottom_area,2025-10-17,9.1,2025-10-13,8.81,3.2917139614074817,8.286038592508497,29.236947791164653,True,-2.2556,3.169,3,4,3,75.0,22.002002406800756,27.823408624229966,11.708286038592517,3.2917139614074817,历史3/4次成功; 当前距低点3.29%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
11,77.81510176019015,67.66530587842622,688039,当虹科技,bottom_area,2025-10-17,49.0,2025-10-17,49.0,0.0,6.448979591836728,30.956742285472732,False,-5.7692,3.743,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,15.0,0.0,历史5/7次成功; 当前距低点0.00%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
12,74.50497930577635,64.78693852676204,002123,梦网科技,bottom_area,2025-10-17,12.2,2025-10-17,12.2,0.0,2.8688524590164053,29.68299711815563,False,-2.478,2.0883,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
13,73.56935227345599,65.6822580645161,002491,通鼎互联,bottom_area,2025-10-17,5.03,2025-10-13,4.96,1.4112903225806508,8.467741935483868,28.01161103047895,True,-2.1401,3.4133,1,2,1,50.0,52.39520958083833,52.39520958083833,13.588709677419347,1.4112903225806508,历史1/2次成功; 当前距低点1.41%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
14,72.11854397319458,63.84236223789025,603305,旭升集团,bottom_area,2025-10-17,14.78,2025-10-17,14.64,0.9562841530054562,5.669398907103825,27.881773399014776,False,-6.2183,4.8396,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,14.043715846994543,0.9562841530054562,历史4/6次成功; 当前距低点0.96%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
15,71.60166666666666,62.26231884057971,600376,首开股份,bottom_area,2025-10-17,5.81,2025-10-16,5.81,0.0,5.163511187607585,27.375000000000004,False,-1.692,5.4431,2,3,2,66.66666666666666,22.826086956521735,24.99999999999999,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
16,71.0131095599205,66.92888632376027,688519,南亚新材,confirmed_rebound,2025-10-17,66.45,2025-10-17,63.7,4.3171114599686025,19.466248037676596,28.103837471783287,False,-13.1259,4.675,1,1,1,100.0,30.27903469079939,30.27903469079939,10.682888540031396,4.3171114599686025,历史1/1次成功; 当前距低点4.32%; 最新日涨幅-13.13%; 状态confirmed_rebound; 底部未确认
17,70.3764048615872,63.28796622875004,002453,华软科技,bottom_area,2025-10-17,6.79,2025-10-17,6.67,1.799100449775114,5.6971514242878545,31.65983606557377,False,0.8915,9.5819,1,2,1,50.0,28.60169491525425,28.60169491525425,13.200899550224884,1.799100449775114,历史1/2次成功; 当前距低点1.80%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
18,69.26569844104839,64.254465042961,600232,金鹰股份,bottom_area,2025-10-17,6.27,2025-10-13,6.06,3.465346534653465,6.930693069306945,28.28402366863905,False,-0.7911,1.675,2,3,2,66.66666666666666,23.918217609162483,27.954545454545443,11.534653465346533,3.465346534653465,历史2/3次成功; 当前距低点3.47%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
19,67.52333286523087,59.38232292729868,300757,罗博特科,bottom_area,2025-10-17,208.25,2025-10-17,207.0,0.6038647342995169,6.666666666666672,31.606423048965844,False,-5.1555,3.5322,4,8,4,50.0,32.14588452420206,74.11052233156698,14.396135265700483,0.6038647342995169,历史4/8次成功; 当前距低点0.60%; 最新日涨幅-5.16%; 状态bottom_area; 底部未确认
20,67.18085440403382,60.58239024372951,000428,华天酒店,bottom_area,2025-10-17,3.14,2025-10-13,3.08,1.9480519480519498,5.194805194805199,28.70370370370371,False,-0.9464,2.0384,2,5,2,40.0,26.687896157462177,28.045977011494273,13.05194805194805,1.9480519480519498,历史2/5次成功; 当前距低点1.95%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
21,66.86402940436423,59.33872720731763,000096,广聚能源,bottom_area,2025-10-17,11.13,2025-09-23,11.01,1.0899182561307992,6.176203451407809,28.039215686274517,False,-1.4172,0.927,1,2,1,50.0,21.149144254278735,21.149144254278735,13.9100817438692,1.0899182561307992,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
22,65.7234640423724,57.38380848748636,000700,模塑科技,bottom_area,2025-10-17,9.21,2025-10-17,9.19,0.2176278563656295,5.114254624591955,30.060882800608834,False,-4.5596,2.8338,1,2,1,50.0,52.926829268292686,52.926829268292686,14.78237214363437,0.2176278563656295,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
23,65.43859112086767,61.102361580520956,605398,新炬网络,bottom_area,2025-10-17,29.38,2025-10-13,28.3,3.816254416961125,7.102473498233208,28.172588832487307,True,-1.4425,1.4114,2,4,2,50.0,21.523772318238297,22.15700660308142,11.183745583038874,3.816254416961125,历史2/4次成功; 当前距低点3.82%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
24,64.3805241777327,55.983064502376266,300563,神宇股份,bottom_area,2025-10-17,36.79,2025-10-17,36.79,0.0,7.039956509921183,28.563106796116504,False,-6.1001,6.6263,2,4,2,50.0,18.72615323858206,20.477137176938378,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
25,63.251612554112555,60.109523809523814,000718,苏宁环球,bottom_area,2025-10-17,2.64,2025-09-29,2.52,4.761904761904765,10.714285714285715,32.800000000000004,True,-2.2222,4.5512,2,4,2,50.0,27.77777777777778,36.111111111111114,10.238095238095235,4.761904761904765,历史2/4次成功; 当前距低点4.76%; 最新日涨幅-2.22%; 状态bottom_area; 底部已确认
26,62.140003347466134,58.49118048935289,002022,科华生物,bottom_area,2025-10-17,6.38,2025-10-13,6.12,4.248366013071892,6.04575163398693,27.573964497041416,False,-0.6231,0.8935,2,4,2,50.0,21.975564511595735,25.04038772213247,10.751633986928107,4.248366013071892,历史2/4次成功; 当前距低点4.25%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
