rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.14413789760988,89.83527918781726,002269,美邦服饰,bottom_area,2022-12-28,1.99,2022-12-23,1.97,1.0152284263959401,7.61421319796955,27.30627306273063,True,-1.9704,2.5549,3,3,3,100.0,67.6633252638804,173.50993377483442,6.98477157360406,1.0152284263959401,历史3/3次成功; 当前距低点1.02%; 最新日涨幅-1.97%; 状态bottom_area; 底部已确认
2,89.71212618619394,84.61092295126595,688075,安旭生物,bottom_area,2022-12-28,85.48,2022-12-28,84.67,0.9566552497933178,2.055037203259708,28.776917900403763,False,0.0351,4.0699,4,4,4,100.0,31.086542584917854,40.134529147982065,7.043344750206683,0.9566552497933178,历史4/4次成功; 当前距低点0.96%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
3,83.27285772624911,79.45069675170609,605289,罗曼股份,bottom_area,2022-12-28,20.87,2022-12-28,20.55,1.5571776155717774,3.0656934306569292,28.57142857142857,False,-1.3239,3.3483,3,3,3,100.0,10.005708146288955,11.881750994883456,6.442822384428223,1.5571776155717774,历史3/3次成功; 当前距低点1.56%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
4,83.21256321246061,79.09804602036965,000597,东北制药,bottom_area,2022-12-28,6.69,2022-12-27,6.6,1.363636363636375,7.727272727272738,29.032258064516135,False,1.0574,6.6793,1,1,1,100.0,16.59751037344398,16.59751037344398,6.636363636363625,1.363636363636375,历史1/1次成功; 当前距低点1.36%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
5,82.9895824719136,78.67893075077997,300542,新晨科技,bottom_area,2022-12-28,11.55,2022-12-28,11.41,1.2269938650306798,4.206836108676603,28.148614609571794,False,-2.1186,1.8143,2,2,2,100.0,18.47568152177371,21.587301587301592,6.77300613496932,1.2269938650306798,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
6,82.07024173297746,77.64562257647566,002693,双成药业,confirmed_rebound,2022-12-28,7.23,2022-12-27,7.15,1.1188811188811199,8.25174825174825,27.77777777777778,False,-1.0944,3.1667,2,2,2,100.0,21.810061975938755,34.61538461538462,6.881118881118881,1.1188811188811199,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-1.09%; 状态confirmed_rebound; 底部未确认
7,81.94083277785751,80.23975646826786,688185,康希诺,bottom_area,2022-12-28,147.51,2022-12-27,143.34,2.9091670154876432,6.732245011859918,30.417475728155335,False,-0.3445,4.2944,5,5,5,100.0,14.154071309568138,19.236097367900253,5.090832984512357,2.9091670154876432,历史5/5次成功; 当前距低点2.91%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
8,81.42463792312945,77.12118601999367,001332,锡装股份,bottom_area,2022-12-28,56.73,2022-12-23,56.07,1.1771000535045417,5.796326021045122,32.874416377349455,False,-2.7763,4.2808,1,1,1,100.0,26.155774956903304,26.155774956903304,6.8228999464954585,1.1771000535045417,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
9,81.31881142508303,77.12487637813749,603289,泰瑞机器,bottom_area,2022-12-28,8.93,2022-12-23,8.82,1.2471655328798121,5.555555555555558,29.888712241653415,False,-1.9759,1.2394,1,1,1,100.0,27.034482758620705,27.034482758620705,6.752834467120188,1.2471655328798121,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
10,80.98098617773022,77.0525507000423,001209,洪兴股份,bottom_area,2022-12-28,13.62,2022-12-28,13.43,1.4147431124348437,4.3186895011169035,29.091869060190078,False,-2.7143,12.5901,2,2,2,100.0,12.033145141901933,13.480885311871237,6.585256887565157,1.4147431124348437,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
11,80.4171591065024,74.70460335898352,000411,英特集团,bottom_area,2022-12-28,11.78,2022-12-28,11.76,0.1700680272108807,3.826530612244907,30.373001776198937,False,-3.3634,3.0859,2,2,2,100.0,34.206228285076975,47.98426745329401,7.82993197278912,0.1700680272108807,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
