rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.87662089102565,78.34138466302349,688018,乐鑫科技,bottom_area,2022-09-21,83.61,2022-09-21,82.51,1.3331717367591738,3.38140831414373,29.47863247863247,False,-1.6353,0.8826,1,1,1,100.0,34.629119477604306,34.629119477604306,13.666828263240827,1.3331717367591738,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
2,86.45529192605397,78.34385542168678,002110,三钢闽光,bottom_area,2022-09-21,5.09,2022-09-21,4.98,2.2088353413654502,2.4096385542168517,32.97442799461641,False,0.5929,0.2512,1,1,1,100.0,22.90322580645161,22.90322580645161,12.79116465863455,2.2088353413654502,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,84.20658597784269,76.85543975881193,688010,福光股份,bottom_area,2022-09-21,20.57,2022-09-21,20.05,2.593516209476307,4.239401496259341,28.341672623302355,False,-0.3391,0.1327,1,1,1,100.0,42.08955223880597,42.08955223880597,12.406483790523692,2.593516209476307,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
4,82.74711795112258,76.50642449512877,688183,生益电子,bottom_area,2022-09-21,9.74,2022-09-21,9.43,3.287380699893961,4.029692470837761,28.883861236802417,False,0.9326,0.4293,1,1,1,100.0,26.24544349939247,26.24544349939247,11.71261930010604,3.287380699893961,历史1/1次成功; 当前距低点3.29%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
5,82.42158811160971,75.88496261871084,600130,波导股份,bottom_area,2022-09-21,4.04,2022-09-19,3.92,3.061224489795921,4.33673469387755,27.541589648798524,False,0.2481,3.8955,1,1,1,100.0,20.13201320132014,20.13201320132014,11.93877551020408,3.061224489795921,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,82.0305990629196,77.20348877228021,603315,福鞍股份,bottom_area,2022-09-21,20.4,2022-09-19,19.57,4.241185487991815,6.6428206438426205,29.324665944384254,False,1.0401,0.4983,1,1,1,100.0,41.68490153172865,41.68490153172865,10.758814512008186,4.241185487991815,历史1/1次成功; 当前距低点4.24%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
7,81.69676863320419,76.77382507121942,600215,派斯林,bottom_area,2022-09-21,7.01,2022-09-16,6.73,4.1604754829123225,4.606240713224363,29.1578947368421,False,1.5942,1.1323,2,2,2,100.0,21.718866517524237,23.993288590604024,10.839524517087677,4.1604754829123225,历史2/2次成功; 当前距低点4.16%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
8,81.57478703915656,76.30674795443608,000591,太阳能,bottom_area,2022-09-21,7.17,2022-09-19,6.9,3.913043478260863,4.347826086956519,27.672955974842754,False,1.1283,1.1124,1,1,1,100.0,32.84132841328414,32.84132841328414,11.086956521739136,3.913043478260863,历史1/1次成功; 当前距低点3.91%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
9,81.10510564906951,75.36915521153077,002451,摩恩电气,bottom_area,2022-09-21,6.11,2022-09-19,5.9,3.5593220338983045,4.23728813559322,29.59427207637232,False,0.4934,0.8066,1,1,1,100.0,23.464566929133863,23.464566929133863,11.440677966101696,3.5593220338983045,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
10,80.84125000856427,74.8305549682875,603186,华正新材,bottom_area,2022-09-21,21.6,2022-09-19,20.9,3.3492822966507316,4.25837320574163,29.795095733960363,False,0.232,0.8421,1,1,1,100.0,17.994186046511643,17.994186046511643,11.650717703349267,3.3492822966507316,历史1/1次成功; 当前距低点3.35%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
11,78.47835274214262,73.32491385990267,300437,清水源,bottom_area,2022-09-21,18.07,2022-09-19,17.4,3.850574712643688,4.540229885057487,29.354445797807553,False,-0.0553,1.4511,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,11.149425287356312,3.850574712643688,历史5/6次成功; 当前距低点3.85%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
12,78.15646823788809,74.35012454561708,002283,天润工业,bottom_area,2022-09-21,5.44,2022-09-19,5.19,4.816955684007707,5.202312138728315,27.816411682892905,False,2.0638,0.6591,1,1,1,100.0,33.402061855670105,33.402061855670105,10.183044315992293,4.816955684007707,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
13,77.81086211192004,72.99453906819215,603192,汇得科技,bottom_area,2022-09-21,19.96,2022-09-19,19.18,4.066736183524511,4.848800834202293,27.595318988297468,False,0.0501,0.4373,1,1,1,100.0,16.917728852838945,16.917728852838945,10.933263816475488,4.066736183524511,历史1/1次成功; 当前距低点4.07%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
14,77.34000556894003,72.2320554442491,688280,精进电动,bottom_area,2022-09-21,9.22,2022-09-19,8.88,3.828828828828827,5.292792792792779,29.411764705882348,False,-0.1083,1.1554,1,1,1,100.0,32.37518910741301,32.37518910741301,11.171171171171173,3.828828828828827,历史1/1次成功; 当前距低点3.83%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
