rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.09861264528126,77.88492829178601,000691,亚太实业,bottom_area,2024-04-30,3.57,2024-04-30,3.56,0.2808988764044884,9.550561797752804,28.799999999999997,False,-8.2262,10.849,3,3,3,100.0,35.99665446230238,76.05633802816902,14.71910112359551,0.2808988764044884,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-8.23%; 状态bottom_area; 底部未确认
2,83.48737793036855,72.71888991023833,300536,农尚环境,bottom_area,2024-04-30,11.22,2024-04-30,11.21,0.08920606601248694,10.883140053523627,28.825396825396822,False,-19.9143,8.819,3,4,3,75.0,43.372471724445234,60.27027027027027,14.910793933987513,0.08920606601248694,历史3/4次成功; 当前距低点0.09%; 最新日涨幅-19.91%; 状态bottom_area; 底部未确认
3,73.02065474457382,69.19169235268475,002835,同为股份,bottom_area,2024-04-30,18.17,2024-04-25,17.37,4.605641911341396,12.262521588946452,27.805486284289273,True,-1.6775,11.5799,1,1,1,100.0,16.35782747603834,16.35782747603834,10.394358088658603,4.605641911341396,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
4,72.3900269891553,65.64948654216538,688276,百克生物,bottom_area,2024-04-30,39.07,2024-04-26,38.21,2.250719706883013,5.469772310913363,30.778985507246382,False,-2.3006,1.5808,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,12.749280293116986,2.250719706883013,历史2/3次成功; 当前距低点2.25%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
5,65.16049066639331,57.65613293051357,002432,九安医疗,bottom_area,2024-04-30,40.09,2024-04-17,39.72,0.9315206445115927,6.948640483383681,27.75554747180793,False,-2.5523,2.7285,1,2,1,50.0,65.03496503496503,65.03496503496503,14.068479355488407,0.9315206445115927,历史1/2次成功; 当前距低点0.93%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
