rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.16571673819743,83.42,600246,万通发展,bottom_area,2025-09-29,11.65,2025-09-26,11.4,2.1929824561403506,6.8421052631578885,29.28039702233251,False,2.193,4.9367,1,1,1,100.0,64.73317865429235,64.73317865429235,17.80701754385965,2.1929824561403506,历史1/1次成功; 当前距低点2.19%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
2,90.96395696294951,79.75914559187794,301151,冠龙节能,bottom_area,2025-09-29,20.7,2025-09-29,20.14,2.780536246276061,3.5749751737835096,29.333333333333332,False,1.0742,3.999,1,1,1,100.0,37.520259319286865,37.520259319286865,17.21946375372394,2.780536246276061,历史1/1次成功; 当前距低点2.78%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
3,89.76941505823275,78.3983850931677,301009,可靠股份,bottom_area,2025-09-29,13.21,2025-09-23,12.88,2.5621118012422364,4.5807453416149055,30.566037735849054,False,-0.7513,1.7749,1,1,1,100.0,53.96648044692738,53.96648044692738,17.437888198757765,2.5621118012422364,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
4,86.69114149558129,74.2388172204681,300111,向日葵,bottom_area,2025-09-29,7.5,2025-09-29,7.39,1.488497970230045,9.33694181326117,28.11284046692607,False,-4.2146,23.4974,1,1,1,100.0,24.691358024691343,24.691358024691343,18.511502029769954,1.488497970230045,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
5,84.1744299777258,76.49359193936938,002269,美邦服饰,bottom_area,2025-09-29,2.43,2025-09-29,2.32,4.741379310344842,6.034482758620696,27.725856697819317,False,2.5316,6.7272,2,2,2,100.0,27.33299337072922,31.08108108108108,15.258620689655158,4.741379310344842,历史2/2次成功; 当前距低点4.74%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
6,81.26539932934678,73.23176536740061,000545,金浦钛业,bottom_area,2025-09-29,2.68,2025-09-29,2.57,4.280155642023359,4.669260700389109,32.36842105263158,False,3.4749,8.6604,1,1,1,100.0,20.80924855491329,20.80924855491329,15.719844357976642,4.280155642023359,历史1/1次成功; 当前距低点4.28%; 最新日涨幅3.47%; 状态bottom_area; 底部未确认
7,71.09349477894298,62.33208167437334,688205,德科立,bottom_area,2025-09-29,120.66,2025-09-29,117.4,2.7768313458262273,3.466780238500846,27.441285537700864,False,0.802,6.5382,1,2,1,50.0,35.44761904761904,35.44761904761904,17.223168654173772,2.7768313458262273,历史1/2次成功; 当前距低点2.78%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
8,67.1871301350601,60.35160755853759,603839,安正时尚,bottom_area,2025-09-29,8.37,2025-09-23,8.04,4.1044776119403,9.328358208955224,30.569948186528507,True,0.601,2.0562,1,2,1,50.0,31.88073394495412,31.88073394495412,15.895522388059701,4.1044776119403,历史1/2次成功; 当前距低点4.10%; 最新日涨幅0.60%; 状态bottom_area; 底部已确认
9,61.965992832191596,52.31859275053302,301551,无线传媒,bottom_area,2025-09-29,38.07,2025-09-29,37.8,0.7142857142857226,5.820105820105828,27.90387182910548,False,-7.5971,7.4795,1,2,1,50.0,28.855721393034813,28.855721393034813,19.285714285714278,0.7142857142857226,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-7.60%; 状态bottom_area; 底部未确认
