rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.7268463583949,85.11540872698019,002728,特一药业,bottom_area,2025-12-23,11.24,2025-12-19,10.91,3.024747937671861,4.12465627864344,27.508305647840537,False,0.6267,10.179,4,4,4,100.0,19.310935617591518,39.3073593073593,4.975252062328139,3.024747937671861,历史4/4次成功; 当前距低点3.02%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
2,86.14046663307099,82.8735084400655,603038,华立股份,bottom_area,2025-12-23,15.89,2025-12-17,15.58,1.989730423620029,5.0064184852374805,29.661399548532724,False,-0.5009,1.5351,4,4,4,100.0,17.04351508558693,28.753412192902637,6.010269576379971,1.989730423620029,历史4/4次成功; 当前距低点1.99%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
3,85.35694948282591,84.26445998322754,603327,福蓉科技,bottom_area,2025-12-23,10.86,2025-12-19,10.51,3.3301617507136028,7.4215033301617455,29.651941097724226,False,-1.4519,3.3437,7,7,7,100.0,40.952842875562084,129.39632545931758,4.669838249286397,3.3301617507136028,历史7/7次成功; 当前距低点3.33%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
4,85.32344939254459,80.99346389076096,600048,保利发展,bottom_area,2025-12-23,6.27,2025-12-17,6.19,1.292407108239082,2.9079159935379595,27.60233918128655,False,-1.1041,0.6806,2,2,2,100.0,31.721247836269217,31.987577639751546,6.7075928917609176,1.292407108239082,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
5,84.05717817839233,82.3832886286719,300598,诚迈科技,bottom_area,2025-12-23,44.61,2025-12-17,43.33,2.9540733902607923,4.661897069005316,32.296875,False,-0.8667,1.7373,5,5,5,100.0,26.22890300250812,45.24950099800398,5.045926609739208,2.9540733902607923,历史5/5次成功; 当前距低点2.95%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
6,83.78991614703547,78.87627227791941,603322,超讯通信,bottom_area,2025-12-23,38.77,2025-12-23,38.44,0.858480749219577,4.214360041623321,30.500813596094744,False,-2.6369,6.5881,7,7,7,100.0,21.524776269570104,39.45833333333333,7.141519250780423,0.858480749219577,历史7/7次成功; 当前距低点0.86%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
7,83.55824591386653,78.72552045253002,300609,汇纳科技,bottom_area,2025-12-23,35.76,2025-12-17,35.44,0.9029345372460504,6.997742663656896,28.20097244732577,False,-2.3751,2.7471,5,5,5,100.0,21.25919998629576,49.87035436473638,7.0970654627539504,0.9029345372460504,历史5/5次成功; 当前距低点0.90%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
8,82.71669332677519,80.95546511427297,300768,迪普科技,bottom_area,2025-12-23,18.57,2025-12-17,18.05,2.880886426592795,4.653739612188365,29.43706020328381,False,-0.2685,1.2828,3,3,3,100.0,34.32196863927173,47.28781110402041,5.119113573407205,2.880886426592795,历史3/3次成功; 当前距低点2.88%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
9,81.83829881405124,81.20669121570685,603030,全筑股份,confirmed_rebound,2025-12-23,2.88,2025-12-17,2.78,3.5971223021582768,10.071942446043176,30.845771144278604,True,-2.7027,2.6889,7,7,7,100.0,28.80715088509532,51.87969924812029,4.402877697841723,3.5971223021582768,历史7/7次成功; 当前距低点3.60%; 最新日涨幅-2.70%; 状态confirmed_rebound; 底部已确认
10,81.79119076452483,82.90104971582237,002679,福建金森,bottom_area,2025-12-23,12.25,2025-12-18,11.7,4.700854700854707,7.521367521367528,28.308823529411768,True,0.2455,5.5258,4,4,4,100.0,18.758056095543544,33.50951374207188,3.299145299145293,4.700854700854707,历史4/4次成功; 当前距低点4.70%; 最新日涨幅0.25%; 状态bottom_area; 底部已确认
11,81.56786376669702,79.62337708421923,002632,道明光学,bottom_area,2025-12-23,12.35,2025-12-19,12.02,2.7454242928452586,4.908485856905157,27.28372655777375,False,0.4882,6.0595,2,2,2,100.0,19.693249848959194,25.259515570934255,5.254575707154742,2.7454242928452586,历史2/2次成功; 当前距低点2.75%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
