rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.02281758502824,85.04289940261131,002137,实益达,bottom_area,2023-12-12,7.29,2023-11-30,7.05,3.404255319148939,5.6737588652482325,27.31958762886598,False,0.5517,5.5274,3,3,3,100.0,40.23979317349941,89.3034825870647,4.595744680851062,3.404255319148939,历史3/3次成功; 当前距低点3.40%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
2,85.67058062215831,82.66715940531124,000301,东方盛虹,bottom_area,2023-12-12,9.05,2023-12-12,8.86,2.1444695259593827,4.966139954853288,28.14274128142742,False,-2.4784,0.8035,5,5,5,100.0,17.830913572573255,28.337639965546952,5.855530474040617,2.1444695259593827,历史5/5次成功; 当前距低点2.14%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
3,84.13067047545968,81.53928498019857,300538,同益股份,bottom_area,2023-12-12,18.98,2023-12-11,18.54,2.3732470334412152,5.285868392664512,29.23664122137405,False,0.5297,7.1739,2,2,2,100.0,25.431657077658826,30.150753768844226,5.626752966558785,2.3732470334412152,历史2/2次成功; 当前距低点2.37%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
4,82.50911266997036,78.20578247803978,688303,大全能源,bottom_area,2023-12-12,29.15,2023-12-07,28.8,1.2152777777777704,3.819444444444437,32.10749646393211,False,-1.487,1.0727,1,1,1,100.0,32.45492371705965,32.45492371705965,6.784722222222229,1.2152777777777704,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
5,78.2390851100541,76.7065636289469,603211,晋拓股份,bottom_area,2023-12-12,19.06,2023-12-07,18.51,2.9713668287412056,6.050783360345744,28.200155159038008,False,-1.5496,22.5119,3,3,3,100.0,12.587526873531388,15.200000000000008,5.028633171258795,2.9713668287412056,历史3/3次成功; 当前距低点2.97%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
6,77.86370256362109,73.45867900236857,603032,德新科技,bottom_area,2023-12-12,17.65,2023-12-12,17.48,0.9725400457665798,2.1739130434782554,28.213552361396303,False,-1.0095,2.4354,3,3,3,100.0,10.462743584496554,12.354085603112855,7.02745995423342,0.9725400457665798,历史3/3次成功; 当前距低点0.97%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
7,77.8104517217299,76.14296336206895,605188,国光连锁,bottom_area,2023-12-12,8.95,2023-12-08,8.7,2.873563218390805,5.40229885057472,27.680798004987533,False,1.1299,1.5946,1,1,1,100.0,19.218749999999993,19.218749999999993,5.126436781609195,2.873563218390805,历史1/1次成功; 当前距低点2.87%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
8,76.71550103406719,75.96011984230209,601628,中国人寿,bottom_area,2023-12-12,28.8,2023-12-11,27.83,3.4854473589651547,4.132231404958685,27.41262389149714,False,0.1043,0.0437,1,1,1,100.0,25.736235595390532,25.736235595390532,4.514552641034846,3.4854473589651547,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
9,75.52256338216161,74.57380766204078,300683,海特生物,bottom_area,2023-12-12,37.1,2023-12-11,35.9,3.342618384401122,3.4261838440111534,30.48024786986832,False,1.3938,1.1141,1,1,1,100.0,16.532137518684582,16.532137518684582,4.6573816155988785,3.342618384401122,历史1/1次成功; 当前距低点3.34%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
10,75.47218988323534,74.19738910399884,601933,永辉超市,bottom_area,2023-12-12,2.98,2023-12-11,2.89,3.1141868512110675,3.806228373702418,27.56892230576441,False,0.3367,0.4356,1,1,1,100.0,11.70825335892515,11.70825335892515,4.885813148788933,3.1141868512110675,历史1/1次成功; 当前距低点3.11%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
11,74.84123130817997,74.21785244427622,002369,卓翼科技,bottom_area,2023-12-12,5.81,2023-12-11,5.61,3.5650623885917874,3.5650623885917874,27.984595635430036,False,1.3962,4.3553,1,1,1,100.0,17.345132743362825,17.345132743362825,4.434937611408213,3.5650623885917874,历史1/1次成功; 当前距低点3.57%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
12,72.15502789660475,73.31259518906366,002142,宁波银行,bottom_area,2023-12-12,21.28,2023-12-11,20.3,4.827586206896553,5.123152709359601,30.19257221458046,False,2.0134,0.6598,1,1,1,100.0,27.95425667090217,27.95425667090217,3.172413793103447,4.827586206896553,历史1/1次成功; 当前距低点4.83%; 最新日涨幅2.01%; 状态bottom_area; 底部未确认
13,70.52352658001963,69.58363062382213,002508,老板电器,bottom_area,2023-12-12,22.21,2023-12-11,21.5,3.302325581395353,4.37209302325582,30.533117932148624,False,-0.8482,0.6877,1,1,1,100.0,11.682435211846977,11.682435211846977,4.697674418604647,3.302325581395353,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
