rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.99335007808861,82.5343440080792,300409,道氏技术,bottom_area,2023-05-29,12.56,2023-04-26,12.28,2.2801302931596186,8.876221498371335,28.811594202898554,True,-2.7111,0.9686,2,2,2,100.0,42.9195756800168,50.03460207612457,17.71986970684038,2.2801302931596186,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-2.71%; 状态bottom_area; 底部已确认
2,89.21248491682113,75.11305174087948,688289,圣湘生物,bottom_area,2023-05-29,17.9,2023-05-29,17.8,0.5617977528089768,1.68539325842697,27.789046653144013,False,0.3363,0.7422,1,1,1,100.0,25.182530200451346,25.182530200451346,19.438202247191025,0.5617977528089768,历史1/1次成功; 当前距低点0.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
3,87.6997476583635,76.84475438202195,002041,登海种业,bottom_area,2023-05-29,15.73,2023-05-26,15.31,2.743305029392553,3.1352057478771957,27.783018867924525,False,1.615,0.4037,1,1,1,100.0,21.395106715252467,21.395106715252467,17.256694970607448,2.743305029392553,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
4,86.56649257574004,76.10637472283813,000890,法尔胜,bottom_area,2023-05-29,4.22,2023-05-19,4.1,2.926829268292686,7.56097560975611,27.689594356261026,True,-2.5404,2.0296,1,1,1,100.0,32.954545454545446,32.954545454545446,17.073170731707314,2.926829268292686,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-2.54%; 状态bottom_area; 底部已确认
5,86.1731381182812,75.22033860153584,300762,上海瀚讯,bottom_area,2023-05-29,11.73,2023-05-10,11.44,2.534965034965043,6.206293706293714,27.50316856780735,False,-0.4244,0.8696,1,1,1,100.0,32.580961727183514,32.580961727183514,17.46503496503496,2.534965034965043,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,85.08940688098305,75.63126165397338,688075,安旭生物,bottom_area,2023-05-29,66.93,2023-05-10,64.65,3.5266821345707666,7.6566125290023015,30.37906525953047,True,-0.1045,0.9607,4,5,4,80.0,31.086542584917854,40.134529147982065,16.473317865429234,3.5266821345707666,历史4/5次成功; 当前距低点3.53%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
7,82.00944747651901,73.79180019373952,001332,锡装股份,bottom_area,2023-05-29,44.18,2023-05-24,42.4,4.1981132075471725,6.556603773584908,32.290003193867776,False,-1.6255,1.434,2,2,2,100.0,28.620958639500337,31.086142322097377,15.80188679245283,4.1981132075471725,历史2/2次成功; 当前距低点4.20%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
8,81.93192188525013,69.38373243676818,688028,沃尔德,bottom_area,2023-05-29,21.83,2023-05-26,21.64,0.8780036968576604,4.852125693160817,32.35386058143169,False,-2.1515,0.7782,1,1,1,100.0,20.728929384965834,20.728929384965834,19.121996303142343,0.8780036968576604,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
9,81.10857610020948,71.10915155023098,600256,广汇能源,bottom_area,2023-05-29,7.41,2023-05-29,7.21,2.773925104022194,5.547850208044388,29.10521140609636,False,-3.3898,2.9013,1,1,1,100.0,23.62204724409449,23.62204724409449,17.226074895977806,2.773925104022194,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
10,66.10976291106475,58.7537885807543,300758,七彩化学,bottom_area,2023-05-29,10.0,2023-04-26,9.66,3.5196687370600404,9.523809523809524,30.252707581227433,True,-1.4778,0.8698,1,2,1,50.0,38.59480269489894,38.59480269489894,16.480331262939963,3.5196687370600404,历史1/2次成功; 当前距低点3.52%; 最新日涨幅-1.48%; 状态bottom_area; 底部已确认
11,64.25860277693734,54.02069454634385,000792,盐湖股份,bottom_area,2023-05-29,18.89,2023-05-29,18.8,0.47872340425531834,1.2765957446808427,28.353658536585357,False,-0.2113,0.3445,1,2,1,50.0,24.904214559386965,24.904214559386965,19.521276595744684,0.47872340425531834,历史1/2次成功; 当前距低点0.48%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
