rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.05499679806675,83.85799726298396,600009,上海机场,bottom_area,2023-06-29,45.42,2023-06-06,44.82,1.3386880856760406,8.366800535475234,29.83719474013776,True,-2.0276,0.4707,3,3,3,100.0,21.829065044759854,27.704918032786885,13.66131191432396,1.3386880856760406,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
2,90.85058921557676,80.62122897947175,002041,登海种业,bottom_area,2023-06-29,14.88,2023-06-29,14.72,1.0869565217391313,2.377717391304345,30.56603773584905,False,0.1346,0.4276,1,1,1,100.0,21.395106715252467,21.395106715252467,13.913043478260867,1.0869565217391313,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,87.59368184145073,77.74400144196107,600935,华塑股份,bottom_area,2023-06-29,3.69,2023-06-27,3.65,1.0958904109589052,1.9178082191780899,28.571428571428577,False,-0.8065,0.1659,1,1,1,100.0,28.50877192982458,28.50877192982458,13.904109589041095,1.0958904109589052,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
4,86.30747734594141,79.3416095723365,002299,圣农发展,bottom_area,2023-06-29,19.01,2023-06-26,18.46,2.979414951245941,4.1170097508125565,27.00672202451561,False,0.9559,0.5187,2,2,2,100.0,21.046643339662563,26.73830594184577,12.020585048754057,2.979414951245941,历史2/2次成功; 当前距低点2.98%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
5,84.76326369961924,76.80494576524906,688302,海创药业,bottom_area,2023-06-29,53.77,2023-06-26,52.61,2.2049040106443716,5.873408097319908,29.70336718332443,False,-0.4075,0.8138,1,1,1,100.0,37.054445750097926,37.054445750097926,12.795095989355628,2.2049040106443716,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
6,84.57781004925833,76.46127190637557,603322,超讯通信,bottom_area,2023-06-29,29.42,2023-06-29,28.82,2.081887578070789,3.712699514226233,30.201017195446838,False,-0.5409,10.038,2,2,2,100.0,17.03212679772567,18.007915567282325,12.918112421929209,2.081887578070789,历史2/2次成功; 当前距低点2.08%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
7,82.24353501738882,73.93695740365112,601669,中国电建,bottom_area,2023-06-29,5.71,2023-06-07,5.61,1.7825311942958937,4.812834224598923,29.78723404255319,False,-0.6957,0.591,1,1,1,100.0,16.457680250783696,16.457680250783696,13.217468805704105,1.7825311942958937,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
8,82.04041844645562,78.034130937154,688048,长光华芯,bottom_area,2023-06-29,93.27,2023-06-28,88.99,4.809529160579841,11.866501854140918,28.04237082558422,False,0.5498,6.2024,3,3,3,100.0,19.78417969503248,23.810089020771517,10.190470839420158,4.809529160579841,历史3/3次成功; 当前距低点4.81%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
9,81.58456500197117,77.83939119911251,600421,退市华嵘,bottom_area,2023-06-29,10.34,2023-06-28,9.85,4.974619289340104,7.106598984771585,29.94310099573258,True,0.3883,1.7844,1,1,1,100.0,44.900662251655625,44.900662251655625,10.025380710659896,4.974619289340104,历史1/1次成功; 当前距低点4.97%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
10,80.63147274744234,73.73892251092688,600995,南网储能,bottom_area,2023-06-29,11.03,2023-06-07,10.74,2.7001862197392845,6.983240223463687,32.7909887359199,False,-1.6057,1.2915,1,1,1,100.0,26.64165103189493,26.64165103189493,12.299813780260715,2.7001862197392845,历史1/1次成功; 当前距低点2.70%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
11,78.72840166338707,72.17321935499741,002481,双塔食品,bottom_area,2023-06-29,4.36,2023-06-26,4.24,2.8301886792452855,5.896226415094339,31.61290322580645,False,-2.0225,0.7122,1,1,1,100.0,19.817470664928287,19.817470664928287,12.169811320754715,2.8301886792452855,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
