rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.80314015531278,85.77885963511059,688221,前沿生物,bottom_area,2023-03-14,13.59,2023-03-14,13.45,1.0408921933085544,2.9739776951672887,27.688172043010763,False,-0.5852,1.8993,5,5,5,100.0,21.032762558355284,34.87394957983194,6.9591078066914465,1.0408921933085544,历史5/5次成功; 当前距低点1.04%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
2,85.72898185962794,83.70508385760134,300707,威唐工业,bottom_area,2023-03-14,15.65,2023-03-14,15.23,2.757715036112934,5.97504924491136,31.6427289048474,False,-2.1875,3.157,4,4,4,100.0,30.92835559106886,59.14285714285715,5.242284963887066,2.757715036112934,历史4/4次成功; 当前距低点2.76%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
3,83.88494158389119,81.33487226386116,300382,斯莱克,bottom_area,2023-03-14,15.82,2023-03-14,15.45,2.3948220064724985,3.754045307443378,29.836512261580385,False,-1.0632,1.2268,3,3,3,100.0,30.403583003325068,49.70059880239522,5.605177993527502,2.3948220064724985,历史3/3次成功; 当前距低点2.39%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
4,82.86374012954442,78.73638740208068,002660,茂硕电源,bottom_area,2023-03-14,9.05,2023-03-14,8.93,1.343784994400907,3.5834266517357256,28.15768302493966,False,-2.6882,3.0896,2,2,2,100.0,20.21622144792876,24.71428571428572,6.656215005599093,1.343784994400907,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
5,81.99691479522556,79.83407918386973,300681,英搏尔,bottom_area,2023-03-14,32.63,2023-03-14,31.8,2.610062893081767,6.572327044025157,28.054298642533936,False,-3.1176,4.494,4,4,4,100.0,18.521626774710526,27.487589035182385,5.389937106918233,2.610062893081767,历史4/4次成功; 当前距低点2.61%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
6,80.23418282173543,78.73150625697221,300745,欣锐科技,bottom_area,2023-03-14,39.61,2023-03-14,38.45,3.0169050715214474,4.7594278283485,29.604540461369456,False,-1.2219,2.2301,3,3,3,100.0,24.03252591419949,36.150000000000006,4.983094928478553,3.0169050715214474,历史3/3次成功; 当前距低点3.02%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
7,79.96188872551171,77.3157306211539,600152,维科技术,bottom_area,2023-03-14,11.36,2023-03-14,11.11,2.25022502250225,4.590459045904589,27.33812949640288,False,-1.645,2.9795,2,2,2,100.0,23.6894821099949,24.87644151565074,5.74977497749775,2.25022502250225,历史2/2次成功; 当前距低点2.25%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
8,78.62716772689033,76.17824738161627,002708,光洋股份,bottom_area,2023-03-14,6.52,2023-03-14,6.37,2.354788069073775,4.866562009419146,31.65236051502146,False,-1.6591,2.3624,1,1,1,100.0,35.522388059701484,35.522388059701484,5.645211930926225,2.354788069073775,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
9,78.3753246757282,79.77996279848062,601689,拓普集团,bottom_area,2023-03-14,54.98,2023-03-14,52.4,4.923664122137401,6.660305343511454,29.2942922682499,False,0.1092,1.4348,3,3,3,100.0,30.569446220182318,47.99107142857144,3.076335877862599,4.923664122137401,历史3/3次成功; 当前距低点4.92%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
10,76.93722979767891,72.61190010943143,002347,泰尔股份,bottom_area,2023-03-14,5.09,2023-03-14,5.04,0.9920634920634885,3.3730158730158712,28.8135593220339,False,-2.3033,2.6444,2,2,2,100.0,22.816155222237516,29.585798816568047,7.0079365079365115,0.9920634920634885,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
11,75.55786549452499,72.43369433558964,002767,先锋电子,bottom_area,2023-03-14,13.54,2023-03-14,13.3,1.804511278195477,3.9097744360902222,29.963138493944168,False,-2.2383,2.4847,1,1,1,100.0,8.645054031587705,8.645054031587705,6.195488721804524,1.804511278195477,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
12,75.45628627496235,73.27410844676668,300473,德尔股份,bottom_area,2023-03-14,17.81,2023-03-14,17.38,2.4741081703107004,4.718066743383201,29.919354838709683,False,-1.765,3.2503,1,1,1,100.0,21.37137137137137,21.37137137137137,5.5258918296893,2.4741081703107004,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
13,75.19614316040682,73.95604814510963,300759,康龙化成,bottom_area,2023-03-14,56.25,2023-03-13,54.54,3.135313531353137,4.400440044004398,29.770795776461494,False,2.1056,1.8174,1,1,1,100.0,10.669693530079462,10.669693530079462,4.864686468646863,3.135313531353137,历史1/1次成功; 当前距低点3.14%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
