rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.93725942414724,79.23386302448405,002564,天沃科技,bottom_area,2026-03-30,6.1,8.27,2026-03-27,5.99,1.8363939899832962,4.0066777963272155,27.569528415961297,26.239419588875457,False,-1.9293,2.0139,2,2,2,100.0,28.92925441745143,29.903536977491967,18.163606010016707,1.8363939899832962,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
2,91.0667997834494,77.39662150935887,001328,登康口腔,bottom_area,2026-03-30,32.0,44.35,2026-03-30,31.66,1.073910296904611,4.67466835123184,28.613303269447577,27.84667418263811,False,-3.5564,4.2736,1,1,1,100.0,36.58675799086758,36.58675799086758,18.92608970309539,1.073910296904611,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-3.56%; 状态bottom_area; 底部未确认
3,90.77518224229918,77.53040476210607,001391,国货航,bottom_area,2026-03-30,5.28,7.73,2026-03-23,5.21,1.3435700575815794,4.222648752399227,32.60025873221217,31.69469598965071,False,-0.7519,1.0679,1,1,1,100.0,30.39647577092513,30.39647577092513,18.65642994241842,1.3435700575815794,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
4,90.68016295818474,80.77028838556612,300643,万通智控,bottom_area,2026-03-30,16.79,23.66,2026-03-23,16.2,3.6419753086419746,7.839506172839504,31.53000845308538,29.0363482671175,True,1.2055,1.6305,2,2,2,100.0,27.655871447687197,31.090289608177173,16.358024691358025,3.6419753086419746,历史2/2次成功; 当前距低点3.64%; 最新日涨幅1.21%; 状态bottom_area; 底部已确认
5,89.86435570758273,78.81554519427402,688568,中科星图,bottom_area,2026-03-30,60.32,80.75,2026-03-30,58.68,2.7948193592365382,3.6128152692569824,27.3312693498452,25.300309597523217,False,0.8021,1.1135,1,1,1,100.0,32.62222222222222,32.62222222222222,17.205180640763462,2.7948193592365382,历史1/1次成功; 当前距低点2.79%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
6,88.1162403995152,76.41417917448405,301687,新广益,bottom_area,2026-03-30,54.46,74.4,2026-03-30,53.3,2.17636022514072,4.052532833020646,28.360215053763447,26.801075268817208,False,-2.4364,9.2772,1,1,1,100.0,34.60365853658537,34.60365853658537,17.82363977485928,2.17636022514072,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
7,85.33193036001346,77.57003304692665,603610,麒盛科技,bottom_area,2026-03-30,15.85,20.92,2026-03-30,15.13,4.758757435558485,5.1553205551883625,27.67686424474188,24.23518164435947,False,0.3165,1.8504,1,1,1,100.0,82.78301886792451,82.78301886792451,15.241242564441515,4.758757435558485,历史1/1次成功; 当前距低点4.76%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
8,85.32160892641895,77.28643189529573,301117,佳缘科技,bottom_area,2026-03-30,42.61,59.95,2026-03-24,40.75,4.564417177914109,6.331288343558278,32.02668890742286,28.924103419516268,False,1.9622,5.5505,2,2,2,100.0,29.426360542687625,31.299904183966788,15.435582822085891,4.564417177914109,历史2/2次成功; 当前距低点4.56%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
9,85.1562683425489,74.10307811892736,600611,大众交通,bottom_area,2026-03-30,4.76,6.6,2026-03-23,4.65,2.36559139784945,7.3118279569892435,29.545454545454536,27.878787878787882,False,-0.2096,0.8579,1,1,1,100.0,24.497991967871478,24.497991967871478,17.63440860215055,2.36559139784945,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
10,84.51652678713599,76.02312962330716,600843,上工申贝,bottom_area,2026-03-30,9.47,12.64,2026-03-23,9.09,4.180418041804189,5.830583058305824,28.085443037974688,25.079113924050635,False,0.852,1.2527,1,1,1,100.0,34.59399332591768,34.59399332591768,15.81958195819581,4.180418041804189,历史1/1次成功; 当前距低点4.18%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
11,84.45183198092914,75.11713775401073,605089,味知香,bottom_area,2026-03-30,23.24,33.37,2026-03-27,22.44,3.5650623885917874,4.278074866310148,32.75397063230446,30.356607731495355,False,0.3888,1.0508,1,1,1,100.0,22.180000000000007,22.180000000000007,16.434937611408213,3.5650623885917874,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
