rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.36085470614415,83.31498632290753,603185,弘元绿能,bottom_area,2022-09-02,136.57,2022-09-01,134.62,1.4485217649680497,4.969543901351952,29.065233428179997,False,-1.9739,1.5827,3,3,3,100.0,29.449548102336955,43.51028702057404,18.55147823503195,1.4485217649680497,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
2,94.40884088632846,85.1468416620028,001212,中旗新材,bottom_area,2022-09-02,28.94,2022-08-31,27.74,4.325883201153579,10.598413842826249,28.72559095580679,True,0.9066,6.5302,3,3,3,100.0,42.90244817544601,82.06521739130437,15.674116798846422,4.325883201153579,历史3/3次成功; 当前距低点4.33%; 最新日涨幅0.91%; 状态bottom_area; 底部已确认
3,93.2480214088398,79.21955801104974,300611,美力科技,bottom_area,2022-09-02,9.6,2022-08-31,9.5,1.0526315789473648,11.789473684210519,31.70381020848311,False,-0.2079,3.5072,1,1,1,100.0,35.911602209944746,35.911602209944746,18.947368421052634,1.0526315789473648,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
4,91.72960844256602,81.07627694605915,605258,协和电子,bottom_area,2022-09-02,23.09,2022-09-01,22.37,3.2185963343763917,3.933839964237814,28.98412698412698,False,2.5311,2.0823,1,1,1,100.0,49.971379507727534,49.971379507727534,16.78140366562361,3.2185963343763917,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
5,91.48702634016925,78.84633185448094,002735,王子新材,bottom_area,2022-09-02,19.96,2022-09-02,19.6,1.8367346938775482,3.1122448979591804,27.808471454880284,False,0.5035,1.1724,1,1,1,100.0,21.043478260869563,21.043478260869563,18.163265306122454,1.8367346938775482,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,90.35694451734044,80.22287149790147,002045,国光电器,bottom_area,2022-09-02,12.84,2022-09-02,12.41,3.464947622884768,5.882352941176474,29.166666666666664,False,2.0668,16.4507,2,2,2,100.0,31.73630149504698,33.77563329312426,16.535052377115235,3.464947622884768,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
7,87.27110405758879,77.1522486381487,002801,微光股份,bottom_area,2022-09-02,28.76,2022-09-01,27.86,3.2304379038047455,4.845656855707112,27.636363636363637,False,1.1607,1.5801,1,1,1,100.0,29.019607843137262,29.019607843137262,16.769562096195255,3.2304379038047455,历史1/1次成功; 当前距低点3.23%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
8,86.45611551675725,76.277621072833,688237,超卓航科,bottom_area,2022-09-02,56.19,2022-09-02,54.49,3.119838502477511,4.569645806570003,29.417098445595858,False,1.426,4.0539,1,1,1,100.0,22.961574507966244,22.961574507966244,16.88016149752249,3.119838502477511,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
9,86.17080507924052,76.05308886971528,603178,圣龙股份,bottom_area,2022-09-02,11.17,2022-09-02,10.83,3.1394275161588165,4.247460757156039,28.373015873015866,False,1.9161,1.6235,1,1,1,100.0,21.994535519125673,21.994535519125673,16.860572483841185,3.1394275161588165,历史1/1次成功; 当前距低点3.14%; 最新日涨幅1.92%; 状态bottom_area; 底部未确认
10,83.66599048504685,70.4669825918762,002110,三钢闽光,bottom_area,2022-09-02,5.2,2022-08-31,5.17,0.5802707930367553,1.547388781431336,30.41722745625841,False,-0.3831,0.2944,1,1,1,100.0,22.90322580645161,22.90322580645161,19.419729206963247,0.5802707930367553,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
11,82.9695762341912,72.80222543613849,002350,北京科锐,bottom_area,2022-09-02,8.75,2022-09-02,8.51,2.8202115158636922,6.580493537015282,30.813008130081304,False,-0.7937,9.0726,1,1,1,100.0,23.07692307692308,23.07692307692308,17.17978848413631,2.8202115158636922,历史1/1次成功; 当前距低点2.82%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
