rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.90014252414139,77.05667126704661,002355,兴民智通,bottom_area,2024-01-17,4.83,2024-01-17,4.78,1.0460251046025069,3.7656903765690317,31.024531024531015,False,-2.621,1.7274,4,5,4,80.0,17.535529599679155,21.138211382113823,13.953974895397492,1.0460251046025069,历史4/5次成功; 当前距低点1.05%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
2,85.88438415388754,74.68207317729352,000070,特发信息,bottom_area,2024-01-17,7.17,2024-01-17,7.17,0.0,2.7894002789400303,30.858244937319185,False,-1.6461,0.9397,2,2,2,100.0,34.04340417899739,50.60532687651331,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
3,84.97402057072009,74.43050187101035,600996,贵广网络,bottom_area,2024-01-17,7.73,2024-01-17,7.7,0.3896103896103928,4.155844155844148,32.03883495145631,False,-3.736,0.9229,2,2,2,100.0,35.42372881355932,40.00000000000001,14.610389610389607,0.3896103896103928,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
4,84.19675957225911,73.52799209221259,688010,福光股份,bottom_area,2024-01-17,21.93,2024-01-17,21.88,0.2285191956124347,6.627056672760509,27.066666666666674,False,-5.27,0.9876,2,2,2,100.0,28.59685945273632,42.08955223880597,14.771480804387565,0.2285191956124347,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-5.27%; 状态bottom_area; 底部未确认
5,83.5475,72.65,603013,亚普股份,bottom_area,2024-01-17,16.0,2024-01-17,16.0,0.0,4.062499999999991,29.67032967032967,False,-3.5564,0.5196,1,1,1,100.0,53.30739299610896,53.30739299610896,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.56%; 状态bottom_area; 底部未确认
6,82.92081995599324,72.20955035429061,000021,深科技,bottom_area,2024-01-17,12.92,2024-01-16,12.91,0.07745933384972724,5.03485670023238,27.471910112359556,False,-2.1953,1.8246,1,1,1,100.0,26.108374384236456,26.108374384236456,14.922540666150272,0.07745933384972724,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
7,82.58718118377855,74.5629756501067,600006,东风股份,bottom_area,2024-01-17,5.58,2024-01-10,5.47,2.0109689213894026,4.021937842778805,27.645502645502646,False,-0.3571,0.8498,1,1,1,100.0,22.6235741444867,22.6235741444867,12.989031078610596,2.0109689213894026,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
8,82.40837994691121,72.87594594594596,600172,黄河旋风,bottom_area,2024-01-17,3.36,2024-01-17,3.33,0.900900900900895,4.204204204204208,31.762295081967213,False,-3.17,1.3482,1,1,1,100.0,51.074589127686465,51.074589127686465,14.099099099099105,0.900900900900895,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
9,81.21802763819096,70.62437185929649,002413,雷科防务,bottom_area,2024-01-17,4.9,2024-01-17,4.9,0.0,2.4489795918367188,28.779069767441857,False,-2.1956,0.9868,1,1,1,100.0,28.894472361809044,28.894472361809044,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
10,81.10961533929701,70.57033690597683,601995,中金公司,bottom_area,2024-01-17,32.79,2024-01-15,32.78,0.030506406345326448,2.104942037827937,27.63796909492273,False,-1.8263,0.3353,1,1,1,100.0,16.719846841097638,16.719846841097638,14.969493593654674,0.030506406345326448,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
11,80.31140978819624,69.836008511475,002041,登海种业,bottom_area,2024-01-17,11.86,2024-01-17,11.86,0.0,3.709949409780787,29.780935464772064,False,-3.2626,0.4194,2,2,2,100.0,18.2043468358871,21.395106715252467,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
12,79.41460424710425,69.05617760617761,600981,苏豪汇鸿,bottom_area,2024-01-17,2.75,2024-01-17,2.75,0.0,3.2727272727272676,29.48717948717949,False,-2.1352,0.7993,1,1,1,100.0,20.463320463320475,20.463320463320475,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
13,78.82813291139239,68.54620253164556,002195,岩山科技,bottom_area,2024-01-17,2.73,2024-01-17,2.73,0.0,2.9304029304029333,30.0,False,-2.5,1.3497,1,1,1,100.0,17.72151898734177,17.72151898734177,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
14,78.36309854014598,68.14182481751826,001366,播恩集团,bottom_area,2024-01-17,14.98,2024-01-17,14.98,0.0,3.2042723631508707,27.911453320500485,False,-2.7273,5.8762,1,1,1,100.0,15.547445255474459,15.547445255474459,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
15,78.11033486784336,68.65832795946568,002385,大北农,bottom_area,2024-01-17,5.23,2024-01-17,5.2,0.5769230769230818,4.4230769230769145,30.201342281879196,False,-3.3272,1.1905,1,1,1,100.0,23.353293413173663,23.353293413173663,14.42307692307692,0.5769230769230818,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
16,74.29776850667659,64.9722613815951,605218,伟时电子,bottom_area,2024-01-17,19.94,2024-01-16,19.88,0.3018108651911583,3.571428571428576,31.941116056145162,False,-1.725,2.6155,2,3,2,66.66666666666666,28.83722305142083,42.36874236874236,14.698189134808842,0.3018108651911583,历史2/3次成功; 当前距低点0.30%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
17,68.1319651006847,59.58205966401835,688079,美迪凯,bottom_area,2024-01-17,9.92,2024-01-17,9.89,0.3033367037411462,3.6400404448938257,29.758522727272723,False,-3.2195,1.5682,2,4,2,50.0,29.53584595993638,30.064655172413808,14.696663296258853,0.3033367037411462,历史2/4次成功; 当前距低点0.30%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
18,67.7317056001587,58.897135304485836,300609,汇纳科技,bottom_area,2024-01-17,23.39,2024-01-17,23.39,0.0,3.8905515177426255,29.33534743202417,False,-3.8635,1.93,2,4,2,50.0,34.393200561751826,49.87035436473638,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
19,67.47525970777684,58.67413887632769,300454,深信服,bottom_area,2024-01-17,62.5,2024-01-17,62.5,0.0,4.6400000000000095,31.303583205100026,False,-2.8749,1.1503,2,4,2,50.0,22.979241270579003,29.49391262831224,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
