rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.95005089951154,83.69064014104039,603132,金徽股份,bottom_area,2024-09-03,10.83,2024-09-03,10.7,1.2149532710280448,2.4299065420560897,28.61907938625751,False,0.6506,1.3599,2,2,2,100.0,22.799643005292072,33.20754716981132,8.785046728971956,1.2149532710280448,历史2/2次成功; 当前距低点1.21%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
2,89.33924508174127,83.8207138718079,000532,华金资本,bottom_area,2024-09-03,10.45,2024-09-03,10.28,1.653696498054474,2.1400778210116793,27.50352609308886,False,0.0,2.7827,2,2,2,100.0,28.877106921355356,32.044198895027606,8.346303501945526,1.653696498054474,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,88.94412906820128,82.94176452985641,300562,乐心医疗,bottom_area,2024-09-03,12.16,2024-09-03,12.0,1.3333333333333344,6.916666666666667,29.988331388564767,False,-5.4432,37.2332,4,4,4,100.0,19.57937919277642,22.71604938271605,8.666666666666668,1.3333333333333344,历史4/4次成功; 当前距低点1.33%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
4,86.97695252984175,83.6594236605443,002219,新里程,bottom_area,2024-09-03,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.578,0.6547,2,2,2,100.0,34.81175156302061,45.685279187817265,7.0414201183431935,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
5,86.54857219613125,80.77979519869561,301333,诺思格,bottom_area,2024-09-03,38.2,2024-08-29,37.68,1.380042462845019,6.661358811040334,28.744326777609686,False,0.7916,1.8802,1,1,1,100.0,25.840279645065877,25.840279645065877,8.619957537154981,1.380042462845019,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
6,85.42083954069135,82.91946840357632,000597,东北制药,bottom_area,2024-09-03,4.21,2024-08-26,4.07,3.4398034398034314,5.65110565110564,32.053422370617696,False,0.7177,1.5494,3,3,3,100.0,29.259248636172746,61.02150537634409,6.560196560196569,3.4398034398034314,历史3/3次成功; 当前距低点3.44%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
7,84.61663666152985,79.25189312679308,002357,富临运业,bottom_area,2024-09-03,5.2,2024-08-29,5.12,1.5625000000000013,4.492187499999991,28.08988764044944,False,0.3861,2.1814,3,4,3,75.0,24.02899530533914,31.941031941031934,8.4375,1.5625000000000013,历史3/4次成功; 当前距低点1.56%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
8,84.5021115693193,79.1516681664443,001218,丽臣实业,bottom_area,2024-09-03,13.61,2024-08-30,13.4,1.5671641791044706,4.850746268656718,32.323232323232325,False,-0.1467,0.7037,2,2,2,100.0,25.18711018711019,29.999999999999993,8.43283582089553,1.5671641791044706,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
9,83.35965093215303,79.4308664666403,600262,北方股份,bottom_area,2024-09-03,15.79,2024-08-29,15.41,2.4659312134977225,6.55418559377029,31.48065807025344,False,1.871,1.8984,2,2,2,100.0,15.232202330188693,17.269624573378834,7.534068786502278,2.4659312134977225,历史2/2次成功; 当前距低点2.47%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
10,82.86775750050293,79.12495834180045,002674,兴业科技,bottom_area,2024-09-03,7.97,2024-08-21,7.77,2.5740025740025763,6.30630630630631,31.72231985940247,False,0.1256,0.4144,1,1,1,100.0,31.578947368421055,31.578947368421055,7.425997425997425,2.5740025740025763,历史1/1次成功; 当前距低点2.57%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
11,82.69037850957949,78.0341675829417,603069,海汽集团,bottom_area,2024-09-03,15.1,2024-08-29,14.81,1.958136394328151,6.819716407832543,27.966926070038905,False,-1.8205,1.5651,5,6,5,83.33333333333334,26.74938294987391,76.0375880971026,8.04186360567185,1.958136394328151,历史5/6次成功; 当前距低点1.96%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
12,82.66248498869811,79.11058133684001,600956,新天绿能,bottom_area,2024-09-03,6.86,2024-08-29,6.68,2.694610778443123,7.035928143712584,28.860489882854107,True,-2.8329,0.354,2,2,2,100.0,29.592978019840494,41.27358490566036,7.305389221556878,2.694610778443123,历史2/2次成功; 当前距低点2.69%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
13,81.72623153477278,80.62558619688762,002545,东方铁塔,bottom_area,2024-09-03,6.08,2024-07-25,5.83,4.288164665523156,7.375643224699823,29.247572815533985,True,0.1647,0.5592,3,3,3,100.0,18.132266850969987,28.468653648509758,5.711835334476845,4.288164665523156,历史3/3次成功; 当前距低点4.29%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
14,81.47707195711286,75.60418693152002,000708,中信特钢,bottom_area,2024-09-03,11.29,2024-08-30,11.17,1.0743061772605123,4.834377797672345,31.472392638036812,False,-0.5286,0.1132,1,1,1,100.0,16.739811912225715,16.739811912225715,8.92569382273949,1.0743061772605123,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
15,81.14101200595904,77.89071637084686,603291,联合水务,bottom_area,2024-09-03,9.37,2024-08-28,9.11,2.8540065861690427,5.92755214050495,29.65250965250965,False,0.3212,0.712,2,2,2,100.0,11.708878426410102,12.102772143340088,7.145993413830958,2.8540065861690427,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
