rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
45,77.53208401737966,74.52463996665429,002601,龙佰集团,bottom_area,2024-07-25,16.9,2024-07-25,16.42,2.9232643118148407,3.410475030450662,29.224137931034473,False,0.6552,0.5783,1,1,1,100.0,11.127325793506023,11.127325793506023,7.07673568818516,2.9232643118148407,历史1/1次成功; 当前距低点2.92%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
46,77.4582904983742,74.33965146145465,002706,良信股份,bottom_area,2024-07-25,6.15,2024-07-25,5.98,2.8428093645484935,4.1806020066889635,32.42937853107344,False,1.8212,1.237,3,4,3,75.0,13.31320867002797,14.727153188691638,7.157190635451507,2.8428093645484935,历史3/4次成功; 当前距低点2.84%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
47,76.70207488460423,72.277152615127,002346,柘中股份,bottom_area,2024-07-25,7.04,2024-07-25,6.91,1.8813314037626612,2.6049204052098367,29.989868287740624,False,1.5873,0.2372,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,8.11866859623734,1.8813314037626612,历史2/3次成功; 当前距低点1.88%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
48,76.55789919675723,71.5963946548837,002044,美年健康,bottom_area,2024-07-25,3.42,2024-07-25,3.37,1.4836795252225465,2.6706231454005893,31.083844580777086,False,0.885,0.6132,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,8.516320474777455,1.4836795252225465,历史2/3次成功; 当前距低点1.48%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
49,76.30245017763141,70.21154341454037,600970,中材国际,bottom_area,2024-07-25,9.51,2024-07-25,9.45,0.6349206349206402,2.010582010582024,30.206794682422455,False,-0.8342,0.4787,1,1,1,100.0,22.19979818365287,22.19979818365287,9.36507936507936,0.6349206349206402,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
50,76.15511654177544,72.14695251326094,603220,中贝通信,bottom_area,2024-07-25,18.9,2024-07-25,18.5,2.1621621621621547,4.054054054054054,31.379821958456976,False,-0.8395,1.8953,1,1,1,100.0,11.487538940809966,11.487538940809966,7.837837837837847,2.1621621621621547,历史1/1次成功; 当前距低点2.16%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
51,75.9029793507639,71.11459651851709,002043,兔宝宝,bottom_area,2024-07-25,9.0,2024-07-25,8.86,1.5801354401805936,2.8216704288939054,31.84615384615385,False,0.8969,0.7093,2,3,2,66.66666666666666,15.218487394957986,15.96638655462185,8.419864559819407,1.5801354401805936,历史2/3次成功; 当前距低点1.58%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
52,74.91210194997677,68.75934579840039,600997,开滦股份,bottom_area,2024-07-25,5.99,2024-07-25,5.96,0.5033557046979908,1.8456375838926227,29.88235294117647,False,-0.9917,0.3508,1,1,1,100.0,12.77955271565495,12.77955271565495,9.496644295302008,0.5033557046979908,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
53,74.52307370458793,71.22858870594023,000697,炼石航空,bottom_area,2024-07-25,5.47,2024-07-18,5.33,2.626641651031889,7.129455909943713,30.144167758846656,True,0.1832,0.8428,2,3,2,66.66666666666666,19.465940879711173,27.861771058315338,7.373358348968112,2.626641651031889,历史2/3次成功; 当前距低点2.63%; 最新日涨幅0.18%; 状态bottom_area; 底部已确认
54,74.1898296854101,73.12739153939722,002335,科华数据,bottom_area,2024-07-25,19.41,2024-07-10,18.62,4.242749731471531,8.37808807733619,32.24163027656477,True,2.1579,2.0288,1,1,1,100.0,10.596026490066222,10.596026490066222,5.75725026852847,4.242749731471531,历史1/1次成功; 当前距低点4.24%; 最新日涨幅2.16%; 状态bottom_area; 底部已确认
55,73.60329785377533,66.91208895797757,300573,兴齐眼药,bottom_area,2024-07-25,115.38,2024-07-25,115.38,0.0,7.236956144912471,28.627984659161203,False,-7.3997,5.3205,3,4,3,75.0,23.31768256977187,42.86062675283501,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-7.40%; 状态bottom_area; 底部未确认
