rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.04888821863634,78.9460253678336,688621,阳光诺和,bottom_area,2025-10-13,60.31,2025-10-13,59.13,1.9956029088449174,3.39928970065956,31.204188481675395,False,-1.4381,2.2866,1,1,1,100.0,46.0,46.0,6.004397091155083,1.9956029088449174,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
2,80.64722416577278,80.59800401065178,000718,苏宁环球,bottom_area,2025-10-13,2.62,2025-09-29,2.52,3.9682539682539715,7.1428571428571495,32.800000000000004,True,-0.7576,3.01,4,4,4,100.0,19.86894117349903,36.111111111111114,4.031746031746029,3.9682539682539715,历史4/4次成功; 当前距低点3.97%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
3,80.29201435832049,77.71905184604273,301488,豪恩汽电,bottom_area,2025-10-13,154.8,2025-10-13,151.31,2.306523032185585,4.3552970722358095,31.90981909819098,False,-2.6415,14.4621,2,2,2,100.0,26.547980427020796,41.61702127659575,5.693476967814415,2.306523032185585,历史2/2次成功; 当前距低点2.31%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
4,78.93714326935175,78.57089155438955,002022,科华生物,bottom_area,2025-10-13,6.35,2025-10-13,6.12,3.758169934640515,3.921568627450984,27.573964497041416,False,-0.4702,1.4107,4,4,4,100.0,15.588811856827467,25.04038772213247,4.241830065359485,3.758169934640515,历史4/4次成功; 当前距低点3.76%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
5,76.34860410395001,74.98258473841841,600706,曲江文旅,bottom_area,2025-10-13,10.1,2025-10-13,9.8,3.061224489795907,3.4693877551020393,31.420573827851634,False,-1.0774,5.932,2,2,2,100.0,21.086970834156286,24.578313253012034,4.938775510204093,3.061224489795907,历史2/2次成功; 当前距低点3.06%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
6,75.58255562174394,73.31588131567783,603228,景旺电子,bottom_area,2025-10-13,58.48,2025-10-13,57.1,2.416812609457085,5.954465849387038,29.861196413217044,False,-4.3194,3.1594,2,2,2,100.0,14.442011103440802,14.566719829877735,5.583187390542915,2.416812609457085,历史2/2次成功; 当前距低点2.42%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
7,75.50786403356629,76.17145442179797,688195,腾景科技,bottom_area,2025-10-13,103.4,2025-10-13,98.99,4.454995454086283,5.950095969289828,31.946926990237873,False,-3.0019,6.0443,10,10,10,100.0,21.445398156530597,49.70800412229474,3.5450045459137174,4.454995454086283,历史10/10次成功; 当前距低点4.45%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
8,75.43995244535961,74.12849848104301,000096,广聚能源,bottom_area,2025-10-13,11.35,2025-09-23,11.01,3.0881017257039045,6.176203451407809,28.039215686274517,False,-1.7316,1.4494,2,2,2,100.0,16.82457212713937,21.149144254278735,4.911898274296096,3.0881017257039045,历史2/2次成功; 当前距低点3.09%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
9,74.85848939431234,76.20094650236851,600400,红豆股份,bottom_area,2025-10-13,2.77,2025-10-13,2.64,4.92424242424242,4.92424242424242,31.249999999999993,False,-1.773,4.0403,4,4,4,100.0,17.140963600221585,25.943396226415082,3.0757575757575797,4.92424242424242,历史4/4次成功; 当前距低点4.92%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
10,74.72577002689722,73.57131628649324,301191,菲菱科思,bottom_area,2025-10-13,99.62,2025-10-13,96.54,3.190387404184792,4.091568261860356,27.890648341798617,False,-1.6584,6.1369,1,1,1,100.0,31.749460043196553,31.749460043196553,4.809612595815208,3.190387404184792,历史1/1次成功; 当前距低点3.19%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
11,74.63089289719916,75.04888669652159,600232,金鹰股份,bottom_area,2025-10-13,6.32,2025-10-13,6.06,4.290429042904302,4.785478547854787,28.28402366863905,False,-0.6289,2.4304,3,3,3,100.0,19.844435023351593,27.954545454545443,3.709570957095698,4.290429042904302,历史3/3次成功; 当前距低点4.29%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
