rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.06073749543626,83.22666666666665,002584,西陇科学,confirmed_rebound,2022-01-26,9.13,2022-01-25,9.0,1.444444444444453,11.444444444444438,27.942353883106485,False,1.4444,11.4149,1,1,1,100.0,68.08510638297875,68.08510638297875,8.555555555555546,1.444444444444453,历史1/1次成功; 当前距低点1.44%; 最新日涨幅1.44%; 状态confirmed_rebound; 底部未确认
2,86.96157591034755,80.60015844620494,603368,柳药集团,bottom_area,2022-01-26,16.94,2022-01-26,16.77,1.0137149672033494,4.114490161001797,28.27202737382378,False,-1.2821,1.9765,1,1,1,100.0,42.85714285714285,42.85714285714285,8.986285032796651,1.0137149672033494,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
3,86.41244752403415,81.96334849127136,300511,雪榕生物,bottom_area,2022-01-26,6.89,2022-01-26,6.74,2.22551928783382,2.9673590504451064,30.371900826446275,False,1.3235,2.9998,2,2,2,100.0,25.900712191034756,29.220779220779214,7.774480712166181,2.22551928783382,历史2/2次成功; 当前距低点2.23%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
4,85.64138569264064,80.75790752024024,002342,巨力索具,bottom_area,2022-01-26,4.25,2022-01-25,4.17,1.9184652278177474,6.474820143884903,28.10344827586207,False,1.6746,2.198,2,2,2,100.0,15.655958277767192,19.889502762430933,8.081534772182252,1.9184652278177474,历史2/2次成功; 当前距低点1.92%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
5,85.436645124419,81.44580088123833,601778,晶科科技,bottom_area,2022-01-26,7.0,2022-01-25,6.83,2.4890190336749622,4.831625183016106,29.948717948717945,False,2.1898,1.386,2,2,2,100.0,26.348195043103452,42.344827586206904,7.510980966325039,2.4890190336749622,历史2/2次成功; 当前距低点2.49%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
6,84.79654895456308,78.63430139250727,300639,凯普生物,bottom_area,2022-01-26,28.15,2022-01-26,27.86,1.040918880114857,2.7638190954773854,27.16339869281046,False,0.1779,1.8527,1,1,1,100.0,10.14836795252224,10.14836795252224,8.959081119885143,1.040918880114857,历史1/1次成功; 当前距低点1.04%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
7,84.36185586851778,80.39743083098965,600217,中再资环,bottom_area,2022-01-26,5.8,2022-01-26,5.66,2.473498233215542,3.1802120141342707,28.894472361809044,False,1.0453,1.1956,1,1,1,100.0,37.18820861678004,37.18820861678004,7.526501766784459,2.473498233215542,历史1/1次成功; 当前距低点2.47%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
8,84.15877101663014,77.47743077817515,605162,新中港,bottom_area,2022-01-26,10.68,2022-01-25,10.61,0.6597549481621139,5.843543826578709,28.067796610169495,False,0.565,2.0135,2,2,2,100.0,22.428344408520275,26.46502835538753,9.340245051837886,0.6597549481621139,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
9,84.11637824640526,79.65134158696003,300433,蓝思科技,bottom_area,2022-01-26,18.16,2022-01-26,17.78,2.1372328458942573,3.3183352080989867,29.999999999999993,False,0.4981,0.7292,2,2,2,100.0,12.388346643005029,14.217687074829932,7.862767154105743,2.1372328458942573,历史2/2次成功; 当前距低点2.14%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
10,84.0396712587163,78.0927299033509,001216,华瓷股份,confirmed_rebound,2022-01-26,14.97,2022-01-25,14.8,1.1486486486486482,10.4054054054054,27.093596059113302,False,0.4024,6.3268,1,1,1,100.0,18.77230549607424,18.77230549607424,8.851351351351353,1.1486486486486482,历史1/1次成功; 当前距低点1.15%; 最新日涨幅0.40%; 状态confirmed_rebound; 底部未确认
11,83.50783131398441,79.20489091885547,600391,航发科技,bottom_area,2022-01-26,21.61,2022-01-26,21.14,2.22327341532639,3.831598864711441,28.38753387533875,False,1.1704,1.8056,1,1,1,100.0,27.709431751611014,27.709431751611014,7.77672658467361,2.22327341532639,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
