rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.37046468064455,85.35679615619867,002006,精工科技,bottom_area,2023-04-10,22.5,2023-04-06,22.27,1.0327795240233517,3.996407723394704,27.765163801492047,False,-2.2589,0.9639,3,3,3,100.0,35.330825112752166,61.48648648648647,6.9672204759766485,1.0327795240233517,历史3/3次成功; 当前距低点1.03%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
2,85.30053986971532,81.95502369480319,300763,锦浪科技,bottom_area,2023-04-10,129.54,2023-04-10,127.1,1.9197482297403603,2.3446105428796367,28.025369499971692,False,1.5363,1.6692,2,2,2,100.0,22.10779386350115,35.693617021276594,6.08025177025964,1.9197482297403603,历史2/2次成功; 当前距低点1.92%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
3,82.82160441801754,78.36676634595788,601958,金钼股份,bottom_area,2023-04-10,10.78,2023-04-06,10.66,1.1257035647279476,3.2833020637898653,30.86900129701686,False,0.1859,0.8889,1,1,1,100.0,9.749303621169918,9.749303621169918,6.874296435272052,1.1257035647279476,历史1/1次成功; 当前距低点1.13%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
4,82.63113255631397,80.10027557164683,002192,融捷股份,bottom_area,2023-04-10,76.06,2023-04-06,74.29,2.3825548526046516,3.0825144703190093,29.43579027355623,False,1.3863,3.5491,2,2,2,100.0,17.809143202072256,25.707231766279197,5.617445147395348,2.3825548526046516,历史2/2次成功; 当前距低点2.38%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
5,81.71125699969218,77.38351241640441,002374,中锐股份,bottom_area,2023-04-10,4.32,2023-04-07,4.27,1.1709601873536468,4.215456674473082,30.90614886731392,False,-1.3699,1.2402,2,2,2,100.0,10.82420238478892,12.068965517241388,6.829039812646354,1.1709601873536468,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
6,80.84665667764541,77.30161448471577,300767,震安科技,bottom_area,2023-04-10,40.82,2023-03-28,40.15,1.6687422166874264,4.209215442092167,28.9128895184136,False,0.815,0.4943,1,1,1,100.0,10.679283541737075,10.679283541737075,6.331257783312575,1.6687422166874264,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
7,80.81057598172193,75.2458806239507,000983,山西焦煤,bottom_area,2023-04-10,10.32,2023-04-10,10.29,0.29154518950438424,3.790087463556857,27.433004231311713,False,-3.8211,1.8787,3,3,3,100.0,21.938729333444627,27.212389380530986,7.708454810495616,0.29154518950438424,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
8,80.59353203379149,78.89160086897762,000887,中鼎股份,bottom_area,2023-04-10,12.46,2023-04-06,12.11,2.890173410404636,3.3856317093311326,28.512396694214885,False,0.4839,0.745,2,2,2,100.0,17.53331314354936,23.84615384615385,5.1098265895953645,2.890173410404636,历史2/2次成功; 当前距低点2.89%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
9,79.21335796321569,73.93165611100558,002347,泰尔股份,bottom_area,2023-04-10,4.86,2023-04-10,4.84,0.41322314049587733,3.305785123966945,31.63841807909605,False,-2.2133,2.3027,2,2,2,100.0,22.816155222237516,29.585798816568047,7.5867768595041225,0.41322314049587733,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
10,77.86712805235577,72.31613269530783,002329,皇氏集团,bottom_area,2023-04-10,6.42,2023-04-10,6.41,0.15600624024960666,2.9641185647425816,27.733934611048472,False,-2.5797,2.3802,1,1,1,100.0,27.644230769230756,27.644230769230756,7.8439937597503935,0.15600624024960666,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
11,77.58788762967842,77.18430954057736,603356,华菱精工,bottom_area,2023-04-10,12.24,2023-04-06,11.8,3.7288135593220293,7.711864406779662,30.3834808259587,True,-1.3699,1.55,2,2,2,100.0,31.91400245070737,38.38297872340427,4.271186440677971,3.7288135593220293,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
12,76.58454112934707,71.60460291646338,603030,全筑股份,bottom_area,2023-04-10,1.99,2023-04-10,1.98,0.5050505050505055,5.555555555555549,30.526315789473685,False,-3.8647,3.1908,2,2,2,100.0,21.645796064400706,27.906976744186036,7.494949494949495,0.5050505050505055,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
13,75.78767877195253,73.03761573170718,001299,美能能源,bottom_area,2023-04-10,16.7,2023-03-31,16.36,2.078239608801955,4.217603911980448,27.610619469026553,False,-0.1793,4.2959,1,1,1,100.0,15.247322794492616,15.247322794492616,5.921760391198045,2.078239608801955,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
14,73.88594311981207,68.84908873351789,001227,兰州银行,bottom_area,2023-04-10,3.04,2023-04-10,3.03,0.3300330033003377,1.3201320132013215,27.857142857142865,False,-0.3279,1.0866,1,1,1,100.0,11.137440758293856,11.137440758293856,7.669966996699662,0.3300330033003377,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
