rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.96228326348547,88.22360838614003,603322,超讯通信,bottom_area,2025-12-30,38.7,2025-12-26,38.0,1.8421052631579022,3.157894736842113,31.29632977761707,False,0.2071,4.1689,7,7,7,100.0,21.524776269570104,39.45833333333333,6.157894736842098,1.8421052631579022,历史7/7次成功; 当前距低点1.84%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,90.97193668278669,87.44310197048357,001330,博纳影业,bottom_area,2025-12-30,7.87,2025-12-29,7.72,1.9430051813471552,4.533678756476691,29.62625341841386,False,1.943,10.5306,4,4,4,100.0,18.565342924489666,35.637149028077765,6.0569948186528455,1.9430051813471552,历史4/4次成功; 当前距低点1.94%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
3,90.74719209435311,89.09526873679555,603327,福蓉科技,bottom_area,2025-12-30,10.83,2025-12-19,10.51,3.044719314938157,7.4215033301617455,29.651941097724226,False,1.1204,2.2586,7,7,7,100.0,40.952842875562084,129.39632545931758,4.955280685061843,3.044719314938157,历史7/7次成功; 当前距低点3.04%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
4,90.30552477462767,85.35344635468354,300705,九典制药,bottom_area,2025-12-30,15.14,2025-12-30,14.98,1.0680907877169568,1.1348464619492653,27.49273959341723,False,0.3979,1.3581,2,2,2,100.0,29.939211562786006,41.42097631706138,6.931909212283044,1.0680907877169568,历史2/2次成功; 当前距低点1.07%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
5,89.42195426654315,84.8844656038194,002728,特一药业,bottom_area,2025-12-30,10.97,2025-12-30,10.83,1.2927054478301068,2.585410895660197,28.039867109634553,False,-0.724,6.4135,4,4,4,100.0,19.310935617591518,39.3073593073593,6.707294552169893,1.2927054478301068,历史4/4次成功; 当前距低点1.29%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
6,86.15777971614337,80.14410287954907,600325,华发股份,bottom_area,2025-12-30,4.19,2025-12-30,4.18,0.23923444976078173,1.4354066985646052,27.177700348432065,False,-1.1792,0.8803,4,4,4,100.0,20.75030873657876,32.553606237816766,7.760765550239218,0.23923444976078173,历史4/4次成功; 当前距低点0.24%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
7,85.34992602181326,82.47125458795719,300768,迪普科技,bottom_area,2025-12-30,18.45,2025-12-17,18.05,2.216066481994452,5.7063711911357204,29.43706020328381,False,-1.0724,1.3161,3,3,3,100.0,34.32196863927173,47.28781110402041,5.783933518005548,2.216066481994452,历史3/3次成功; 当前距低点2.22%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
8,84.92342949389058,81.36192630470354,601566,九牧王,bottom_area,2025-12-30,13.78,2025-12-30,13.54,1.7725258493353047,4.726735598227479,27.51605995717345,False,-1.5714,5.9034,3,3,3,100.0,22.920888393484073,38.914728682170555,6.227474150664696,1.7725258493353047,历史3/3次成功; 当前距低点1.77%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
9,84.52696376386534,79.19573844420657,600250,南京商旅,bottom_area,2025-12-30,11.48,2025-12-30,11.41,0.6134969325153399,2.5416301489921045,29.042288557213926,False,-2.1313,5.8898,7,7,7,100.0,20.239308872803957,53.93258426966293,7.386503067484661,0.6134969325153399,历史7/7次成功; 当前距低点0.61%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
10,81.18170603256459,82.74701280046777,000430,张家界,bottom_area,2025-12-30,7.57,2025-12-29,7.21,4.993065187239949,4.993065187239949,28.543111992071356,False,4.9931,0.0126,4,4,4,100.0,30.705384018144333,53.99999999999999,3.006934812760051,4.993065187239949,历史4/4次成功; 当前距低点4.99%; 最新日涨幅4.99%; 状态bottom_area; 底部未确认
11,80.19016426534975,74.25015209754606,600048,保利发展,bottom_area,2025-12-30,6.09,2025-12-30,6.09,0.0,1.4778325123152687,28.77192982456141,False,-1.6155,0.958,2,2,2,100.0,31.721247836269217,31.987577639751546,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
12,80.10740532713345,79.82629770187566,002317,众生药业,confirmed_rebound,2025-12-30,19.31,2025-12-23,18.6,3.817204301075254,9.408602150537634,31.617647058823522,True,-1.1771,4.1301,5,5,5,100.0,24.08345972218942,58.31999999999999,4.182795698924746,3.817204301075254,历史5/5次成功; 当前距低点3.82%; 最新日涨幅-1.18%; 状态confirmed_rebound; 底部已确认
