rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.0128303600554,78.19682141646902,001391,国货航,bottom_area,2026-04-08,5.35,7.73,2026-04-03,5.2,2.8846153846153744,2.8846153846153744,32.729624838292374,30.789133247089275,False,2.4904,1.7363,1,1,1,100.0,30.39647577092513,30.39647577092513,17.115384615384627,2.8846153846153744,历史1/1次成功; 当前距低点2.88%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
2,85.65383435965032,77.59889230653816,000567,海德股份,bottom_area,2026-04-08,5.26,7.02,2026-03-23,5.03,4.572564612326034,7.355864811133203,28.347578347578338,25.07122507122507,True,2.3346,0.6255,1,1,1,100.0,38.67924528301886,38.67924528301886,15.427435387673965,4.572564612326034,历史1/1次成功; 当前距低点4.57%; 最新日涨幅2.33%; 状态bottom_area; 底部已确认
3,84.73977208420206,75.31610396996928,600163,中闽能源,bottom_area,2026-04-08,6.17,8.82,2026-04-07,5.96,3.523489932885906,4.362416107382547,32.426303854875286,30.045351473922903,False,0.817,3.2985,1,1,1,100.0,22.740112994350277,22.740112994350277,16.476510067114095,3.523489932885906,历史1/1次成功; 当前距低点3.52%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
4,82.69094884075012,75.13396333743665,001328,登康口腔,bottom_area,2026-04-08,32.75,44.35,2026-04-07,31.27,4.732970898624882,4.924848097217789,29.492671927846676,26.155580608793688,False,3.4755,2.3008,1,1,1,100.0,36.58675799086758,36.58675799086758,15.267029101375119,4.732970898624882,历史1/1次成功; 当前距低点4.73%; 最新日涨幅3.48%; 状态bottom_area; 底部未确认
5,79.5985576203118,72.52995983935745,600611,大众交通,bottom_area,2026-04-08,4.72,6.6,2026-04-07,4.5,4.888888888888884,4.888888888888884,31.818181818181813,28.484848484848484,False,2.6087,1.5751,1,1,1,100.0,24.497991967871478,24.497991967871478,15.111111111111116,4.888888888888884,历史1/1次成功; 当前距低点4.89%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
6,79.0593532534897,69.90577230582159,000966,长源电力,bottom_area,2026-04-08,4.46,5.95,2026-04-03,4.32,3.240740740740733,4.86111111111111,27.394957983193276,25.042016806722696,False,2.0595,2.2021,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,16.759259259259267,3.240740740740733,历史2/3次成功; 当前距低点3.24%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
7,73.16534866586244,66.58301442138585,002150,正泰电源,bottom_area,2026-04-08,29.8,39.51,2026-04-07,28.43,4.818853323953574,5.065072106929304,28.043533282713234,24.576056694507713,False,2.7941,5.713,2,4,2,50.0,103.59229727074349,164.87025948103792,15.181146676046428,4.818853323953574,历史2/4次成功; 当前距低点4.82%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
8,68.74991235167224,60.22886331516255,000625,长安汽车,bottom_area,2026-04-08,10.15,13.84,2026-03-30,9.88,2.732793522267202,3.1376518218623346,28.612716763005775,26.661849710982654,False,1.7034,0.8094,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,17.2672064777328,2.732793522267202,历史1/3次成功; 当前距低点2.73%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
9,66.824173345897,59.07942299914175,001258,立新能源,bottom_area,2026-04-08,8.62,12.33,2026-04-07,8.35,3.233532934131732,4.071856287425148,32.27899432278994,30.089213300892144,False,1.771,2.9733,1,2,1,50.0,23.55848434925864,23.55848434925864,16.76646706586827,3.233532934131732,历史1/2次成功; 当前距低点3.23%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
10,65.94435684647301,54.95363070539418,000818,航锦科技,bottom_area,2026-04-08,15.62,21.96,2026-04-08,15.62,0.0,0.0,28.870673952641173,28.870673952641173,False,-10.023,3.0163,1,2,1,50.0,46.52489626556016,46.52489626556016,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
11,65.41543963539728,59.600197675924484,002117,东港股份,bottom_area,2026-04-08,9.88,12.99,2026-04-03,9.42,4.883227176220816,5.0955414012738895,27.48267898383372,23.941493456505,False,4.1096,1.5646,1,2,1,50.0,46.5804066543438,46.5804066543438,15.116772823779185,4.883227176220816,历史1/2次成功; 当前距低点4.88%; 最新日涨幅4.11%; 状态bottom_area; 底部未确认
