rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.31994514069835,84.5672527269676,300699,光威复材,bottom_area,2023-04-03,51.38,2023-04-03,50.5,1.7425742574257477,1.9405940594059343,31.067431067431073,False,0.6267,2.1763,2,2,2,100.0,33.98022598870056,49.6271186440678,6.257425742574252,1.7425742574257477,历史2/2次成功; 当前距低点1.74%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
2,84.35171690206184,81.46778893508119,002347,泰尔股份,bottom_area,2023-04-03,5.13,2023-03-20,5.02,2.191235059760963,6.175298804780887,29.09604519774012,False,0.5882,2.0165,2,2,2,100.0,22.816155222237516,29.585798816568047,5.808764940239037,2.191235059760963,历史2/2次成功; 当前距低点2.19%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,83.30066222675455,80.31972401585678,603051,鹿山新材,bottom_area,2023-04-03,48.5,2023-04-03,47.5,2.1052631578947367,2.378947368421058,29.1044776119403,False,0.5598,5.1387,2,2,2,100.0,15.58991406374611,18.738110336081178,5.894736842105264,2.1052631578947367,历史2/2次成功; 当前距低点2.11%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,81.31915371598443,78.2039402081083,603315,福鞍股份,bottom_area,2023-04-03,14.5,2023-03-31,14.22,1.969057665260192,4.219409282700419,28.398791540785496,False,-0.0689,0.9621,1,1,1,100.0,41.68490153172865,41.68490153172865,6.030942334739809,1.969057665260192,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
5,80.88469448481933,76.9084740573638,002374,中锐股份,bottom_area,2023-04-03,4.41,2023-03-30,4.35,1.3793103448275978,2.7586206896551753,29.611650485436897,False,-0.6757,1.0725,2,2,2,100.0,10.82420238478892,12.068965517241388,6.620689655172403,1.3793103448275978,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
6,80.36460690926533,75.24590520024844,603356,华菱精工,bottom_area,2023-04-03,12.16,2023-03-31,12.09,0.5789909015715491,2.481389578163778,28.672566371681413,False,-0.8157,2.925,2,2,2,100.0,31.91400245070737,38.38297872340427,7.421009098428451,0.5789909015715491,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
7,79.4400575474572,73.77867361306676,002708,光洋股份,bottom_area,2023-04-03,6.37,2023-03-20,6.36,0.15723270440251236,6.132075471698108,31.759656652360512,False,-1.3932,1.5532,1,1,1,100.0,35.522388059701484,35.522388059701484,7.842767295597487,0.15723270440251236,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
8,76.69633112121983,74.85977139629733,300767,震安科技,bottom_area,2023-04-03,41.25,2023-03-28,40.15,2.739726027397264,4.109589041095886,28.9128895184136,False,0.365,0.806,1,1,1,100.0,10.679283541737075,10.679283541737075,5.260273972602736,2.739726027397264,历史1/1次成功; 当前距低点2.74%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
9,75.8987380650267,74.70905827449447,001299,美能能源,bottom_area,2023-04-03,16.88,2023-03-31,16.36,3.178484107579459,3.484107579462105,27.610619469026553,False,0.5959,3.4853,1,1,1,100.0,15.247322794492616,15.247322794492616,4.821515892420541,3.178484107579459,历史1/1次成功; 当前距低点3.18%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
10,75.40569925709481,74.26001325763553,002729,好利科技,bottom_area,2023-04-03,21.26,2023-03-29,20.6,3.203883495145632,3.737864077669901,30.49932523616734,False,0.5201,2.6197,1,1,1,100.0,13.144449605202036,13.144449605202036,4.796116504854369,3.203883495145632,历史1/1次成功; 当前距低点3.20%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
11,75.06419256471804,76.4309579300555,002660,茂硕电源,bottom_area,2023-04-03,9.35,2023-03-20,8.91,4.938271604938266,7.519640852974185,28.31858407079646,True,1.5201,2.1672,2,2,2,100.0,20.21622144792876,24.71428571428572,3.0617283950617344,4.938271604938266,历史2/2次成功; 当前距低点4.94%; 最新日涨幅1.52%; 状态bottom_area; 底部已确认
