rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.11767011000218,78.19490347490347,002482,广田集团,bottom_area,2022-04-19,2.65,2022-04-19,2.59,2.316602316602319,3.8610038610038644,29.619565217391315,False,1.145,1.7728,1,1,1,100.0,23.423423423423422,23.423423423423422,12.68339768339768,2.316602316602319,历史1/1次成功; 当前距低点2.32%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
2,80.82154824529762,73.32247391533318,000788,北大医药,bottom_area,2022-04-19,9.01,2022-04-18,8.81,2.2701475595913654,4.994324631101016,31.65244375484872,False,-0.989,3.4427,1,1,1,100.0,19.13123844731978,19.13123844731978,12.729852440408635,2.2701475595913654,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
3,80.54359772817651,73.44296275657103,002825,纳尔股份,bottom_area,2022-04-19,14.92,2022-04-18,14.55,2.5429553264604756,5.567010309278341,31.14055844770468,False,-1.2574,3.2302,1,1,1,100.0,23.123123123123136,23.123123123123136,12.457044673539524,2.5429553264604756,历史1/1次成功; 当前距低点2.54%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
4,80.26392252688575,75.96996782380133,000863,三湘印象,bottom_area,2022-04-19,3.68,2022-04-18,3.52,4.545454545454549,6.818181818181812,32.95238095238095,False,2.2222,3.5847,2,2,2,100.0,22.116151545363905,25.588235294117638,10.45454545454545,4.545454545454549,历史2/2次成功; 当前距低点4.55%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
5,80.07271666811741,72.99038954602663,300663,科蓝软件,bottom_area,2022-04-19,15.83,2022-04-18,15.44,2.525906735751299,5.181347150259061,27.341176470588234,False,-0.8145,2.3734,1,1,1,100.0,20.480951094298856,20.480951094298856,12.474093264248701,2.525906735751299,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
6,79.8805475754413,74.06916639424648,300386,飞天诚信,bottom_area,2022-04-19,11.42,2022-04-18,11.04,3.442028985507254,4.438405797101452,27.368421052631582,False,0.1754,1.445,1,1,1,100.0,15.037593984962406,15.037593984962406,11.557971014492747,3.442028985507254,历史1/1次成功; 当前距低点3.44%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
7,78.10690291924817,73.68160343035343,002235,安妮股份,bottom_area,2022-04-19,5.02,2022-04-18,4.81,4.365904365904365,6.6528066528066585,28.101644245142015,False,1.4141,7.0006,1,1,1,100.0,24.27884615384615,24.27884615384615,10.634095634095635,4.365904365904365,历史1/1次成功; 当前距低点4.37%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
8,77.11230533204665,70.9269149134819,000856,冀东装备,bottom_area,2022-04-19,8.56,2022-04-18,8.31,3.0084235860409145,5.535499398315271,27.29658792650918,False,-1.0405,3.6026,1,1,1,100.0,15.301724137931036,15.301724137931036,11.991576413959084,3.0084235860409145,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
9,75.4313887761727,70.06633663366337,002530,金财互联,bottom_area,2022-04-19,7.32,2022-04-18,7.07,3.536067892503536,6.364922206506354,27.78345250255362,False,-0.1364,3.2076,1,1,1,100.0,17.142857142857135,17.142857142857135,11.463932107496463,3.536067892503536,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
10,64.78996110080293,57.97466864090721,688185,康希诺,bottom_area,2022-04-19,184.89,2022-04-19,182.1,1.532125205930803,5.161998901702365,32.550559300688946,False,-2.4276,2.7562,1,2,1,50.0,19.236097367900253,19.236097367900253,13.467874794069196,1.532125205930803,历史1/2次成功; 当前距低点1.53%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
11,61.189787239770034,57.63760505219633,688288,鸿泉技术,bottom_area,2022-04-19,20.68,2022-04-18,19.83,4.286434694906715,9.329299041855782,30.51857042747022,True,-2.5907,1.1132,1,2,1,50.0,41.992882562277565,41.992882562277565,10.713565305093283,4.286434694906715,历史1/2次成功; 当前距低点4.29%; 最新日涨幅-2.59%; 状态bottom_area; 底部已确认
12,59.5995671551258,54.57422086460396,603123,翠微股份,bottom_area,2022-04-19,15.22,2022-04-18,14.81,2.7683997299122223,6.347062795408505,31.435185185185187,False,-0.6527,5.3081,1,2,1,50.0,16.108452950558224,16.108452950558224,12.231600270087778,2.7683997299122223,历史1/2次成功; 当前距低点2.77%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
13,57.834125003243,53.987006246508564,300339,润和软件,bottom_area,2022-04-19,16.11,2022-04-18,15.52,3.8015463917525762,5.412371134020618,30.403587443946194,False,-0.8005,2.3226,1,2,1,50.0,25.615763546798025,25.615763546798025,11.198453608247423,3.8015463917525762,历史1/2次成功; 当前距低点3.80%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
