rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.67073550984178,82.28035971223022,601567,三星电气,bottom_area,2021-10-19,13.94,2021-10-13,13.68,1.900584795321636,7.0906432748538055,27.42705570291778,True,0.36,1.2015,1,1,1,100.0,31.09512390087929,31.09512390087929,6.0994152046783645,1.900584795321636,历史1/1次成功; 当前距低点1.90%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
2,80.89523862576148,78.39358719460824,001212,中旗新材,bottom_area,2021-10-19,30.71,2021-10-12,30.0,2.3666666666666694,6.733333333333344,32.65993265993266,False,0.2612,1.8416,1,1,1,100.0,25.105307497893843,25.105307497893843,5.63333333333333,2.3666666666666694,历史1/1次成功; 当前距低点2.37%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
3,79.92498703421025,79.49426115702478,000789,万年青,bottom_area,2021-10-19,12.55,2021-10-14,12.1,3.719008264462819,4.545454545454551,28.44470727380249,False,0.0797,1.4926,1,1,1,100.0,47.599999999999994,47.599999999999994,4.280991735537181,3.719008264462819,历史1/1次成功; 当前距低点3.72%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
4,77.40134033027115,75.34073892380803,605589,圣泉集团,bottom_area,2021-10-19,30.42,2021-09-29,29.65,2.5969645868465534,6.239460370994946,28.69167869167869,False,0.2967,4.5749,1,1,1,100.0,11.515151515151507,11.515151515151507,5.403035413153447,2.5969645868465534,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
5,77.16700001891166,75.97179520728247,002833,弘亚数控,bottom_area,2021-10-19,31.07,2021-10-13,30.11,3.18830953171704,7.871139156426428,30.86107921928817,True,-0.4805,1.6543,1,1,1,100.0,35.43624161073825,35.43624161073825,4.81169046828296,3.18830953171704,历史1/1次成功; 当前距低点3.19%; 最新日涨幅-0.48%; 状态bottom_area; 底部已确认
6,76.88594890106536,75.57329702251269,605365,立达信,bottom_area,2021-10-19,18.93,2021-09-28,18.36,3.1045751633986947,7.6797385620915035,29.68211413251628,True,0.2648,1.6077,1,1,1,100.0,9.794238683127569,9.794238683127569,4.895424836601306,3.1045751633986947,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.26%; 状态bottom_area; 底部已确认
7,72.00900625283974,72.58353877881227,600409,三友化工,bottom_area,2021-10-19,10.41,2021-10-14,9.97,4.413239719157467,5.115346038114341,30.084151472650767,False,0.1925,3.2971,1,1,1,100.0,18.95551257253386,18.95551257253386,3.586760280842533,4.413239719157467,历史1/1次成功; 当前距低点4.41%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
8,68.10937566423186,68.55445083801591,300516,久之洋,bottom_area,2021-10-19,29.82,2021-09-30,28.58,4.338698390482863,6.0531840447865655,27.590575120344567,False,-0.996,0.383,1,1,1,100.0,18.853135313531354,18.853135313531354,3.6613016095171376,4.338698390482863,历史1/1次成功; 当前距低点4.34%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
