rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,73.86932712859891,74.66810217512347,603222,济民健康,confirmed_rebound,2021-03-30,13.76,2021-03-25,13.16,4.559270516717322,8.35866261398176,31.458333333333332,True,0.2915,5.9766,2,2,2,100.0,16.307736307736306,21.904761904761898,3.4407294832826785,4.559270516717322,历史2/2次成功; 当前距低点4.56%; 最新日涨幅0.29%; 状态confirmed_rebound; 底部已确认
2,72.42316772498948,72.10851239816114,002416,爱施德,bottom_area,2021-03-30,8.25,2021-03-25,7.95,3.773584905660375,6.037735849056598,27.06422018348624,False,0.243,1.8418,1,1,1,100.0,8.56067732831607,8.56067732831607,4.226415094339625,3.773584905660375,历史1/1次成功; 当前距低点3.77%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,69.64785753275635,67.64046314271451,600292,电投水电,confirmed_rebound,2021-03-30,7.44,2021-03-30,7.26,2.4793388429752152,9.504132231404965,28.543307086614178,False,-7.8067,8.0887,1,1,1,100.0,11.577181208053698,11.577181208053698,5.520661157024785,2.4793388429752152,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-7.81%; 状态confirmed_rebound; 底部未确认
