rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.37239954075778,87.6046153846154,300735,光弘科技,bottom_area,2024-01-23,18.09,2024-01-22,17.55,3.0769230769230718,8.660968660968658,27.178423236514526,False,2.6092,3.0496,3,3,3,100.0,50.43111523258737,93.48973607038124,16.92307692307693,3.0769230769230718,历史3/3次成功; 当前距低点3.08%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
2,94.69987438543649,80.99829383886255,002657,中科金财,bottom_area,2024-01-23,14.98,2024-01-23,14.77,1.4218009478673044,3.114421123899803,31.110074626865682,False,-0.1333,2.7015,1,1,1,100.0,56.540447504302946,56.540447504302946,18.578199052132696,1.4218009478673044,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
3,94.69917509956716,82.65376623376626,002577,雷柏科技,bottom_area,2024-01-23,15.0,2024-01-22,14.63,2.5290498974709448,10.731373889268616,28.634146341463413,False,0.0667,2.4463,1,1,1,100.0,50.0,50.0,17.470950102529056,2.5290498974709448,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
4,94.54705384615383,82.57384615384615,002426,胜利精密,bottom_area,2024-01-23,2.0,2024-01-23,1.95,2.5641025641025665,3.076923076923068,29.090909090909093,False,0.5025,0.8667,1,1,1,100.0,51.31578947368419,51.31578947368419,17.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
5,92.63021906756309,79.9177251184834,300636,同和药业,bottom_area,2024-01-23,8.6,2024-01-23,8.44,1.8957345971564,3.31753554502371,29.9585062240664,False,-0.6928,1.0403,1,1,1,100.0,122.63187748156552,122.63187748156552,18.104265402843602,1.8957345971564,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
6,92.4004520685496,79.67593133016854,688155,先惠技术,bottom_area,2024-01-23,45.86,2024-01-22,45.02,1.865837405597504,11.594846734784536,27.79470729751403,False,-0.7574,0.4686,2,2,2,100.0,31.66688502650995,38.11460912628228,18.134162594402497,1.865837405597504,历史2/2次成功; 当前距低点1.87%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
7,92.29447940111254,81.3805488850772,300580,贝斯特,bottom_area,2024-01-23,24.04,2024-01-23,23.32,3.0874785591766676,4.2024013722126945,27.779498296686278,False,1.1785,1.4289,1,1,1,100.0,53.89266817838245,53.89266817838245,16.912521440823333,3.0874785591766676,历史1/1次成功; 当前距低点3.09%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
8,91.96179489337887,79.48557764307364,002609,捷顺科技,bottom_area,2024-01-23,8.69,2024-01-22,8.52,1.995305164319248,8.802816901408452,31.345688960515716,False,1.1641,2.6287,1,1,1,100.0,26.42405063291139,26.42405063291139,18.004694835680755,1.995305164319248,历史1/1次成功; 当前距低点2.00%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
9,91.79011354249344,81.11079627714581,000029,深深房A,bottom_area,2024-01-23,9.98,2024-01-23,9.67,3.205791106515,3.826266804550147,27.727952167414056,False,1.1145,0.4363,1,1,1,100.0,52.42165242165242,52.42165242165242,16.794208893485003,3.205791106515,历史1/1次成功; 当前距低点3.21%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
10,91.26495855421898,79.23510343427125,603289,泰瑞机器,bottom_area,2024-01-23,8.22,2024-01-23,8.04,2.2388059701492726,3.9800995024875663,30.32928942807626,False,-2.0262,2.134,2,2,2,100.0,33.86871530221285,40.702947845804985,17.76119402985073,2.2388059701492726,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
11,90.6925357484701,78.74616615178472,002676,顺威股份,bottom_area,2024-01-23,4.1,2024-01-23,4.01,2.244389027431418,3.740648379052378,31.217838765008583,False,-1.4423,1.6978,2,2,2,100.0,31.308457711442777,39.33333333333333,17.755610972568583,2.244389027431418,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
